analysisDate,analysisWdid,analysisStructureName,analysisOutOfPriorityPercentOfDay,locationWdid,locationStructure,priorityWdid,priorityStructure
2011-08-18T00:00:00.0000000,4503576,BATTLEMENT NO 5 RES,100,4500514,BATTLEMENT DITCH,4500514,BATTLEMENT DITCH
2011-08-19T00:00:00.0000000,4503576,BATTLEMENT NO 5 RES,100,4500514,BATTLEMENT DITCH,4500514,BATTLEMENT DITCH
2011-08-20T00:00:00.0000000,4503576,BATTLEMENT NO 5 RES,100,4500514,BATTLEMENT DITCH,4500514,BATTLEMENT DITCH
2011-08-21T00:00:00.0000000,4503576,BATTLEMENT NO 5 RES,100,4500514,BATTLEMENT DITCH,4500514,BATTLEMENT DITCH
2011-08-22T00:00:00.0000000,4503576,BATTLEMENT NO 5 RES,100,4500514,BATTLEMENT DITCH,4500514,BATTLEMENT DITCH
2011-08-23T00:00:00.0000000,4503576,BATTLEMENT NO 5 RES,100,4500514,BATTLEMENT DITCH,4500514,BATTLEMENT DITCH
2011-08-24T00:00:00.0000000,4503576,BATTLEMENT NO 5 RES,100,4500514,BATTLEMENT DITCH,4500514,BATTLEMENT DITCH
2011-08-25T00:00:00.0000000,4503576,BATTLEMENT NO 5 RES,100,4500514,BATTLEMENT DITCH,4500514,BATTLEMENT DITCH
2011-08-26T00:00:00.0000000,4503576,BATTLEMENT NO 5 RES,100,4500514,BATTLEMENT DITCH,4500514,BATTLEMENT DITCH
2011-08-27T00:00:00.0000000,4503576,BATTLEMENT NO 5 RES,100,4500514,BATTLEMENT DITCH,4500514,BATTLEMENT DITCH
2011-08-28T00:00:00.0000000,4503576,BATTLEMENT NO 5 RES,100,4500514,BATTLEMENT DITCH,4500514,BATTLEMENT DITCH
2011-08-29T00:00:00.0000000,4503576,BATTLEMENT NO 5 RES,100,4500514,BATTLEMENT DITCH,4500514,BATTLEMENT DITCH
2011-08-30T00:00:00.0000000,4503576,BATTLEMENT NO 5 RES,100,4500514,BATTLEMENT DITCH,4500514,BATTLEMENT DITCH
2011-08-31T00:00:00.0000000,4503576,BATTLEMENT NO 5 RES,100,4500514,BATTLEMENT DITCH,4500514,BATTLEMENT DITCH
