analysisWdid,locationWdid,sum_wtd_count
3703545,7200645,82.56400000000001
3703546,5300584,27.333
3703546,7200645,41.282000000000004
3703547,5300584,27.333
3703547,7200645,41.282000000000004
3703550,5300584,27.333
3703550,7200645,41.282000000000004
3703551,5300584,27.333
3703551,7200645,41.282000000000004
3703552,5300584,27.333
3703552,7200645,41.282000000000004
3703554,5300584,27.333
3703554,7200645,41.282000000000004
3703556,5300584,27.333
3703556,7200645,41.282000000000004
3703569,5300584,27.333
3703569,7200645,41.282000000000004
3703580,5300584,27.333
3703580,7200645,41.282000000000004
3703590,5300584,27.333
3703590,7200645,41.282000000000004
3703591,5300584,27.333
3703591,7200645,41.282000000000004
3703594,5300584,27.333
3703594,7200645,41.282000000000004
3703595,5300584,27.333
3703595,7200645,41.282000000000004
3703596,5300584,81.999
3703596,7200645,123.846
3703597,5300584,27.333
3703597,7200645,41.282000000000004
3703598,5300584,27.333
3703598,7200645,41.282000000000004
3703600,5300584,54.666
3703600,7200645,82.56400000000001
3703601,5300584,27.333
3703601,7200645,41.282000000000004
3703603,5300584,27.333
3703603,7200645,41.282000000000004
3703604,5300584,27.333
3703604,7200645,41.282000000000004
3703605,5300584,27.333
3703605,7200645,41.282000000000004
3703606,5300584,27.333
3703606,7200645,41.282000000000004
3703607,5300584,27.333
3703607,7200645,41.282000000000004
3703608,5300584,54.666
3703608,7200645,82.56400000000001
3703614,5300584,27.333
3703614,7200645,41.282000000000004
3703616,5300584,27.333
3703616,7200645,41.282000000000004
3703627,5300584,27.333
3703627,7200645,41.282000000000004
3703630,5300584,27.333
3703630,7200645,41.282000000000004
3703635,5300584,27.333
3703635,7200645,41.282000000000004
3703644,5300584,27.333
3703644,7200645,41.282000000000004
3703645,5300584,27.333
3703645,7200645,41.282000000000004
3703659,5300584,54.666
3703659,7200645,82.56400000000001
3703665,5300584,27.333
3703665,7200645,41.282000000000004
3703681,5300584,27.333
3703681,7200645,41.282000000000004
3703682,5300584,27.333
3703682,7200645,41.282000000000004
3703683,5300584,27.333
3703683,7200645,41.282000000000004
3703684,5300584,54.666
3703684,7200645,82.56400000000001
3703686,5300584,27.333
3703686,7200645,41.282000000000004
3703688,5300584,27.333
3703688,7200645,41.282000000000004
3703689,5300584,54.666
3703689,7200645,82.56400000000001
3703690,5300584,27.333
3703690,7200645,41.282000000000004
3703695,5300584,27.333
3703695,7200645,41.282000000000004
3703696,5300584,27.333
3703696,7200645,41.282000000000004
3703697,5300584,27.333
3703697,7200645,41.282000000000004
3703699,5300584,27.333
3703699,7200645,41.282000000000004
3703703,5300584,27.333
3703703,7200645,41.282000000000004
3703704,5300584,27.333
3703704,7200645,41.282000000000004
3703706,5300584,27.333
3703706,7200645,41.282000000000004
3703718,5300584,27.333
3703718,7200645,41.282000000000004
3703723,5300584,27.333
3703723,7200645,41.282000000000004
3703724,5300584,27.333
3703724,7200645,41.282000000000004
3703727,5300584,27.333
3703727,7200645,41.282000000000004
3703730,5300584,27.333
3703730,7200645,41.282000000000004
3703731,5300584,27.333
3703731,7200645,41.282000000000004
3703732,5300584,27.333
3703732,7200645,41.282000000000004
3703735,5300584,27.333
3703735,7200645,41.282000000000004
3703736,5300584,27.333
3703736,7200645,41.282000000000004
3703742,5300584,27.333
3703742,7200645,41.282000000000004
3703743,5300584,27.333
3703743,7200645,41.282000000000004
3703744,5300584,27.333
3703744,7200645,41.282000000000004
3703745,5300584,27.333
3703745,7200645,41.282000000000004
3703746,5300584,27.333
3703746,7200645,41.282000000000004
3703747,5300584,27.333
3703747,7200645,41.282000000000004
3703748,5300584,27.333
3703748,7200645,41.282000000000004
3703750,5300584,27.333
3703750,7200645,41.282000000000004
3703751,5300584,27.333
3703751,7200645,41.282000000000004
3703753,5300584,27.333
3703753,7200645,41.282000000000004
3703754,5300584,27.333
3703754,7200645,41.282000000000004
3703755,5300584,27.333
3703755,7200645,41.282000000000004
