analysisWdid,analysisStructure,priorityWdid,priorityStructure,sum_wtd_count
5102046,MIN LEVEL PARIKA LAKE,5300584,SHOSHONE POWER PLANT,167.208
5102045,MIN LEVEL GOURD LAKE,5300584,SHOSHONE POWER PLANT,167.208
5102044,MIN LEVEL CRATER LAKE,5300584,SHOSHONE POWER PLANT,167.208
5103732,GAYLORD RESERVOIR,5300584,SHOSHONE POWER PLANT,167.208
5103737,TWINFLOWER LAKE,5300584,SHOSHONE POWER PLANT,167.208
5103739,VILLAGE LAKE AT WINTER PARK RANCH,5300584,SHOSHONE POWER PLANT,167.208
5103740,VILLAGE LAKE NO 2 AT WINTER PARK RANCH,5300584,SHOSHONE POWER PLANT,167.208
5203961,OLSEN RESERVOIR NO 2,5300584,SHOSHONE POWER PLANT,167.208
5003670,PINNEY RANCH RESERVOIR,5300584,SHOSHONE POWER PLANT,167.208
5203960,OLSEN RESERVOIR NO 1.5,5300584,SHOSHONE POWER PLANT,167.208
5203959,OLSEN RESERVOIR NO 1,5300584,SHOSHONE POWER PLANT,167.208
5203949,ROCK GAP DAM,5300584,SHOSHONE POWER PLANT,167.208
5003671,BUCHER POND,5300584,SHOSHONE POWER PLANT,167.208
5203939,HURT RESERVOIR,5300584,SHOSHONE POWER PLANT,167.208
5203937,CHRISTENSEN DAM,5300584,SHOSHONE POWER PLANT,167.208
5003672,RAWALT STOCK RES NO 1,5300584,SHOSHONE POWER PLANT,167.208
5200662,BEST DITCH,5300584,SHOSHONE POWER PLANT,167.208
5200632,SCHLEGAL DITCH (ALKALI),5300584,SHOSHONE POWER PLANT,167.208
5003673,RAWALT STOCK RES NO 2,5300584,SHOSHONE POWER PLANT,167.208
5104062,KESSLER RESERVOIR,5300584,SHOSHONE POWER PLANT,167.208
5104057,CORRAL CREEK POND,5300584,SHOSHONE POWER PLANT,167.208
5104054,ECKER POND,5300584,SHOSHONE POWER PLANT,167.208
5203962,OLSEN RESERVOIR NO 3,5300584,SHOSHONE POWER PLANT,167.208
5203963,OLSEN RESERVOIR NO 4,5300584,SHOSHONE POWER PLANT,167.208
5203964,OLSEN RESERVOIR NO 5,5300584,SHOSHONE POWER PLANT,167.208
5203983,WHEELOCK POND NO 1,5300584,SHOSHONE POWER PLANT,167.208
5204002,NELKREPI24 RESERVOIR,5300584,SHOSHONE POWER PLANT,167.208
5204000,MONIGFLAT RESERVOIR,5300584,SHOSHONE POWER PLANT,167.208
5203996,FILBUR RESERVOIR,5300584,SHOSHONE POWER PLANT,167.208
5203994,EDWARDS RESERVOIR,5300584,SHOSHONE POWER PLANT,167.208
5203990,COX RESERVOIR,5300584,SHOSHONE POWER PLANT,167.208
5203984,WHEELOCK POND NO 2,5300584,SHOSHONE POWER PLANT,167.208
5203982,MARMA LAKE,5300584,SHOSHONE POWER PLANT,167.208
5203967,GORE CANYON RANCH LAKE 1,5300584,SHOSHONE POWER PLANT,167.208
5203978,HARTMAN RESERVOIR,5300584,SHOSHONE POWER PLANT,167.208
5203975,PINEY PEAK POND NO 5,5300584,SHOSHONE POWER PLANT,167.208
5203974,PINEY PEAK POND NO 4,5300584,SHOSHONE POWER PLANT,167.208
3703907,HARDESTY POND 4,5300584,SHOSHONE POWER PLANT,167.208
5203972,PINEY PEAK POND NO 2,5300584,SHOSHONE POWER PLANT,167.208
5203971,PINEY PEAK POND NO 1,5300584,SHOSHONE POWER PLANT,167.208
5104053,OURAY RESERVOIR NO 1,5300584,SHOSHONE POWER PLANT,167.208
5104052,OURAY RESERVOIR NO 2,5300584,SHOSHONE POWER PLANT,167.208
5104051,SUN VALLEY RESERVOIR,5300584,SHOSHONE POWER PLANT,167.208
5104012,COTTONWOOD RESERVOIR,5300584,SHOSHONE POWER PLANT,167.208
5104023,PASCAL POND NO 2,5300584,SHOSHONE POWER PLANT,167.208
5104022,PASCAL POND NO 1,5300584,SHOSHONE POWER PLANT,167.208
5104020,LITTLE HO RESERVOIR,5300584,SHOSHONE POWER PLANT,167.208
5104019,KOVACS POND NO 2,5300584,SHOSHONE POWER PLANT,167.208
5104018,KOVACS POND NO 1,5300584,SHOSHONE POWER PLANT,167.208
5104013,DOE CREEK RESERVOIR,5300584,SHOSHONE POWER PLANT,167.208
5104010,MURPHY RESERVOIR,5300584,SHOSHONE POWER PLANT,167.208
5104025,ROBINSON SWAN DITCH NO 1 POND 1,5300584,SHOSHONE POWER PLANT,167.208
5104006,BULL RUN CREEK RESERVOIR,5300584,SHOSHONE POWER PLANT,167.208
5103748,LEWIS POND EMPOUNDMENT,5300584,SHOSHONE POWER PLANT,167.208
5103747,DIXON NORTHROP RESERVOIR,5300584,SHOSHONE POWER PLANT,167.208
5103746,ALLEN'S RESERVOIR AND DITCH,5300584,SHOSHONE POWER PLANT,167.208
5103745,POLE CREEK MEADOWS RESERVOIR NO 1,5300584,SHOSHONE POWER PLANT,167.208
5103742,WINDY GAP RESERVOIR,5300584,SHOSHONE POWER PLANT,167.208
5104024,PICKERING RESERVOIR,5300584,SHOSHONE POWER PLANT,167.208
5104026,ROBINSON SWAN DITCH NO 2 POND 1,5300584,SHOSHONE POWER PLANT,167.208
5104049,NORGREN RESERVOIR,5300584,SHOSHONE POWER PLANT,167.208
5104040,KLEINS FISH POND NO 1,5300584,SHOSHONE POWER PLANT,167.208
5003674,FETTERS STOCK RES NO 1,5300584,SHOSHONE POWER PLANT,167.208
5104048,NIELSEN RESERVOIR,5300584,SHOSHONE POWER PLANT,167.208
5104047,NEVER SUMMER LAKE,5300584,SHOSHONE POWER PLANT,167.208
5104043,KLEINS FISH POND NO 4,5300584,SHOSHONE POWER PLANT,167.208
5104042,KLEINS FISH POND NO 3,5300584,SHOSHONE POWER PLANT,167.208
5104041,KLEINS FISH POND NO 2,5300584,SHOSHONE POWER PLANT,167.208
5104039,HEBERTON RESERVOIR,5300584,SHOSHONE POWER PLANT,167.208
5104027,ROBINSON SWAN DITCH NO 1 POND 2,5300584,SHOSHONE POWER PLANT,167.208
5104038,GORE RESERVOIR NO 1,5300584,SHOSHONE POWER PLANT,167.208
