,analysisDate,analysisWdid,analysisStructureName,analysisOutOfPriorityPercentOfDay,priorityWdid,priorityStructure
1901,1999-04-15T00:00:00.0000000,3601052,FREMONT NO 1 DITCH - NORTH FORK,100.0,5300584,SHOSHONE POWER PLANT
1902,1999-04-16T00:00:00.0000000,3601052,FREMONT NO 1 DITCH - NORTH FORK,100.0,5300584,SHOSHONE POWER PLANT
1903,1999-04-17T00:00:00.0000000,3601052,FREMONT NO 1 DITCH - NORTH FORK,100.0,5300584,SHOSHONE POWER PLANT
1904,1999-04-18T00:00:00.0000000,3601052,FREMONT NO 1 DITCH - NORTH FORK,100.0,5300584,SHOSHONE POWER PLANT
1905,1999-04-19T00:00:00.0000000,3601052,FREMONT NO 1 DITCH - NORTH FORK,100.0,5300584,SHOSHONE POWER PLANT
1906,1999-04-20T00:00:00.0000000,3601052,FREMONT NO 1 DITCH - NORTH FORK,100.0,5300584,SHOSHONE POWER PLANT
1907,1999-04-21T00:00:00.0000000,3601052,FREMONT NO 1 DITCH - NORTH FORK,33.3,5300584,SHOSHONE POWER PLANT
1908,1999-01-01T00:00:00.0000000,3604923,CLIMAX INTEGRATED WATER SYSTEM,100.0,5300584,SHOSHONE POWER PLANT
1909,1999-01-02T00:00:00.0000000,3604923,CLIMAX INTEGRATED WATER SYSTEM,100.0,5300584,SHOSHONE POWER PLANT
1910,1999-01-03T00:00:00.0000000,3604923,CLIMAX INTEGRATED WATER SYSTEM,100.0,5300584,SHOSHONE POWER PLANT
1911,1999-01-04T00:00:00.0000000,3604923,CLIMAX INTEGRATED WATER SYSTEM,33.3,5300584,SHOSHONE POWER PLANT
1933,1999-04-12T00:00:00.0000000,3604923,CLIMAX INTEGRATED WATER SYSTEM,66.7,5300584,SHOSHONE POWER PLANT
1935,1999-04-13T00:00:00.0000000,3604923,CLIMAX INTEGRATED WATER SYSTEM,100.0,5300584,SHOSHONE POWER PLANT
1936,1999-04-14T00:00:00.0000000,3604923,CLIMAX INTEGRATED WATER SYSTEM,100.0,5300584,SHOSHONE POWER PLANT
1937,1999-04-15T00:00:00.0000000,3604923,CLIMAX INTEGRATED WATER SYSTEM,100.0,5300584,SHOSHONE POWER PLANT
1938,1999-04-16T00:00:00.0000000,3604923,CLIMAX INTEGRATED WATER SYSTEM,100.0,5300584,SHOSHONE POWER PLANT
1939,1999-04-17T00:00:00.0000000,3604923,CLIMAX INTEGRATED WATER SYSTEM,100.0,5300584,SHOSHONE POWER PLANT
1940,1999-04-18T00:00:00.0000000,3604923,CLIMAX INTEGRATED WATER SYSTEM,100.0,5300584,SHOSHONE POWER PLANT
1941,1999-04-19T00:00:00.0000000,3604923,CLIMAX INTEGRATED WATER SYSTEM,100.0,5300584,SHOSHONE POWER PLANT
1942,1999-04-20T00:00:00.0000000,3604923,CLIMAX INTEGRATED WATER SYSTEM,100.0,5300584,SHOSHONE POWER PLANT
1943,1999-04-21T00:00:00.0000000,3604923,CLIMAX INTEGRATED WATER SYSTEM,33.3,5300584,SHOSHONE POWER PLANT
1944,1999-01-01T00:00:00.0000000,3604923,CLIMAX INTEGRATED WATER SYSTEM,100.0,5300584,SHOSHONE POWER PLANT
1945,1999-01-02T00:00:00.0000000,3604923,CLIMAX INTEGRATED WATER SYSTEM,100.0,5300584,SHOSHONE POWER PLANT
1946,1999-01-03T00:00:00.0000000,3604923,CLIMAX INTEGRATED WATER SYSTEM,100.0,5300584,SHOSHONE POWER PLANT
1947,1999-01-04T00:00:00.0000000,3604923,CLIMAX INTEGRATED WATER SYSTEM,33.3,5300584,SHOSHONE POWER PLANT
1969,1999-04-12T00:00:00.0000000,3604923,CLIMAX INTEGRATED WATER SYSTEM,66.7,5300584,SHOSHONE POWER PLANT
1971,1999-04-13T00:00:00.0000000,3604923,CLIMAX INTEGRATED WATER SYSTEM,100.0,5300584,SHOSHONE POWER PLANT
1972,1999-04-14T00:00:00.0000000,3604923,CLIMAX INTEGRATED WATER SYSTEM,100.0,5300584,SHOSHONE POWER PLANT
1973,1999-04-15T00:00:00.0000000,3604923,CLIMAX INTEGRATED WATER SYSTEM,100.0,5300584,SHOSHONE POWER PLANT
1974,1999-04-16T00:00:00.0000000,3604923,CLIMAX INTEGRATED WATER SYSTEM,100.0,5300584,SHOSHONE POWER PLANT
1975,1999-04-17T00:00:00.0000000,3604923,CLIMAX INTEGRATED WATER SYSTEM,100.0,5300584,SHOSHONE POWER PLANT
1976,1999-04-18T00:00:00.0000000,3604923,CLIMAX INTEGRATED WATER SYSTEM,100.0,5300584,SHOSHONE POWER PLANT
1977,1999-04-19T00:00:00.0000000,3604923,CLIMAX INTEGRATED WATER SYSTEM,100.0,5300584,SHOSHONE POWER PLANT
1978,1999-04-20T00:00:00.0000000,3604923,CLIMAX INTEGRATED WATER SYSTEM,100.0,5300584,SHOSHONE POWER PLANT
1979,1999-04-21T00:00:00.0000000,3604923,CLIMAX INTEGRATED WATER SYSTEM,33.3,5300584,SHOSHONE POWER PLANT
1980,1999-01-01T00:00:00.0000000,5203948,PRICE RESERVOIR,100.0,5300584,SHOSHONE POWER PLANT
1981,1999-01-02T00:00:00.0000000,5203948,PRICE RESERVOIR,100.0,5300584,SHOSHONE POWER PLANT
1982,1999-01-03T00:00:00.0000000,5203948,PRICE RESERVOIR,100.0,5300584,SHOSHONE POWER PLANT
1983,1999-01-04T00:00:00.0000000,5203948,PRICE RESERVOIR,33.3,5300584,SHOSHONE POWER PLANT
2005,1999-04-12T00:00:00.0000000,5203948,PRICE RESERVOIR,66.7,5300584,SHOSHONE POWER PLANT
2007,1999-04-13T00:00:00.0000000,5203948,PRICE RESERVOIR,100.0,5300584,SHOSHONE POWER PLANT
2008,1999-04-14T00:00:00.0000000,5203948,PRICE RESERVOIR,100.0,5300584,SHOSHONE POWER PLANT
2009,1999-04-15T00:00:00.0000000,5203948,PRICE RESERVOIR,100.0,5300584,SHOSHONE POWER PLANT
2010,1999-04-16T00:00:00.0000000,5203948,PRICE RESERVOIR,100.0,5300584,SHOSHONE POWER PLANT
2011,1999-04-17T00:00:00.0000000,5203948,PRICE RESERVOIR,100.0,5300584,SHOSHONE POWER PLANT
2012,1999-04-18T00:00:00.0000000,5203948,PRICE RESERVOIR,100.0,5300584,SHOSHONE POWER PLANT
2013,1999-04-19T00:00:00.0000000,5203948,PRICE RESERVOIR,100.0,5300584,SHOSHONE POWER PLANT
2014,1999-04-20T00:00:00.0000000,5203948,PRICE RESERVOIR,100.0,5300584,SHOSHONE POWER PLANT
2015,1999-04-21T00:00:00.0000000,5203948,PRICE RESERVOIR,33.3,5300584,SHOSHONE POWER PLANT
2016,1999-01-01T00:00:00.0000000,3703842,HELLSHOLE RESERVOIR,100.0,5300584,SHOSHONE POWER PLANT
2017,1999-01-02T00:00:00.0000000,3703842,HELLSHOLE RESERVOIR,100.0,5300584,SHOSHONE POWER PLANT
2018,1999-01-03T00:00:00.0000000,3703842,HELLSHOLE RESERVOIR,100.0,5300584,SHOSHONE POWER PLANT
2019,1999-01-04T00:00:00.0000000,3703842,HELLSHOLE RESERVOIR,33.3,5300584,SHOSHONE POWER PLANT
2041,1999-04-12T00:00:00.0000000,3703842,HELLSHOLE RESERVOIR,66.7,5300584,SHOSHONE POWER PLANT
2043,1999-04-13T00:00:00.0000000,3703842,HELLSHOLE RESERVOIR,100.0,5300584,SHOSHONE POWER PLANT
2044,1999-04-14T00:00:00.0000000,3703842,HELLSHOLE RESERVOIR,100.0,5300584,SHOSHONE POWER PLANT
2045,1999-04-15T00:00:00.0000000,3703842,HELLSHOLE RESERVOIR,100.0,5300584,SHOSHONE POWER PLANT
2046,1999-04-16T00:00:00.0000000,3703842,HELLSHOLE RESERVOIR,100.0,5300584,SHOSHONE POWER PLANT
2047,1999-04-17T00:00:00.0000000,3703842,HELLSHOLE RESERVOIR,100.0,5300584,SHOSHONE POWER PLANT
2048,1999-04-18T00:00:00.0000000,3703842,HELLSHOLE RESERVOIR,100.0,5300584,SHOSHONE POWER PLANT
2049,1999-04-19T00:00:00.0000000,3703842,HELLSHOLE RESERVOIR,100.0,5300584,SHOSHONE POWER PLANT
2050,1999-04-20T00:00:00.0000000,3703842,HELLSHOLE RESERVOIR,100.0,5300584,SHOSHONE POWER PLANT
2051,1999-04-21T00:00:00.0000000,3703842,HELLSHOLE RESERVOIR,33.3,5300584,SHOSHONE POWER PLANT
2052,1999-01-01T00:00:00.0000000,3604923,CLIMAX INTEGRATED WATER SYSTEM,100.0,5300584,SHOSHONE POWER PLANT
2053,1999-01-02T00:00:00.0000000,3604923,CLIMAX INTEGRATED WATER SYSTEM,100.0,5300584,SHOSHONE POWER PLANT
2054,1999-01-03T00:00:00.0000000,3604923,CLIMAX INTEGRATED WATER SYSTEM,100.0,5300584,SHOSHONE POWER PLANT
2055,1999-01-04T00:00:00.0000000,3604923,CLIMAX INTEGRATED WATER SYSTEM,33.3,5300584,SHOSHONE POWER PLANT
2077,1999-04-12T00:00:00.0000000,3604923,CLIMAX INTEGRATED WATER SYSTEM,66.7,5300584,SHOSHONE POWER PLANT
2079,1999-04-13T00:00:00.0000000,3604923,CLIMAX INTEGRATED WATER SYSTEM,100.0,5300584,SHOSHONE POWER PLANT
2080,1999-04-14T00:00:00.0000000,3604923,CLIMAX INTEGRATED WATER SYSTEM,100.0,5300584,SHOSHONE POWER PLANT
2081,1999-04-15T00:00:00.0000000,3604923,CLIMAX INTEGRATED WATER SYSTEM,100.0,5300584,SHOSHONE POWER PLANT
2082,1999-04-16T00:00:00.0000000,3604923,CLIMAX INTEGRATED WATER SYSTEM,100.0,5300584,SHOSHONE POWER PLANT
2083,1999-04-17T00:00:00.0000000,3604923,CLIMAX INTEGRATED WATER SYSTEM,100.0,5300584,SHOSHONE POWER PLANT
2084,1999-04-18T00:00:00.0000000,3604923,CLIMAX INTEGRATED WATER SYSTEM,100.0,5300584,SHOSHONE POWER PLANT
2085,1999-04-19T00:00:00.0000000,3604923,CLIMAX INTEGRATED WATER SYSTEM,100.0,5300584,SHOSHONE POWER PLANT
2086,1999-04-20T00:00:00.0000000,3604923,CLIMAX INTEGRATED WATER SYSTEM,100.0,5300584,SHOSHONE POWER PLANT
2087,1999-04-21T00:00:00.0000000,3604923,CLIMAX INTEGRATED WATER SYSTEM,33.3,5300584,SHOSHONE POWER PLANT
2088,1999-01-01T00:00:00.0000000,5303991,REID NO 1 RESERVOIR,100.0,5300584,SHOSHONE POWER PLANT
2089,1999-01-02T00:00:00.0000000,5303991,REID NO 1 RESERVOIR,100.0,5300584,SHOSHONE POWER PLANT
2090,1999-01-03T00:00:00.0000000,5303991,REID NO 1 RESERVOIR,100.0,5300584,SHOSHONE POWER PLANT
2091,1999-01-04T00:00:00.0000000,5303991,REID NO 1 RESERVOIR,33.3,5300584,SHOSHONE POWER PLANT
2113,1999-04-12T00:00:00.0000000,5303991,REID NO 1 RESERVOIR,66.7,5300584,SHOSHONE POWER PLANT
2115,1999-04-13T00:00:00.0000000,5303991,REID NO 1 RESERVOIR,100.0,5300584,SHOSHONE POWER PLANT
2116,1999-04-14T00:00:00.0000000,5303991,REID NO 1 RESERVOIR,100.0,5300584,SHOSHONE POWER PLANT
2117,1999-04-15T00:00:00.0000000,5303991,REID NO 1 RESERVOIR,100.0,5300584,SHOSHONE POWER PLANT
2118,1999-04-16T00:00:00.0000000,5303991,REID NO 1 RESERVOIR,100.0,5300584,SHOSHONE POWER PLANT
2119,1999-04-17T00:00:00.0000000,5303991,REID NO 1 RESERVOIR,100.0,5300584,SHOSHONE POWER PLANT
2120,1999-04-18T00:00:00.0000000,5303991,REID NO 1 RESERVOIR,100.0,5300584,SHOSHONE POWER PLANT
2121,1999-04-19T00:00:00.0000000,5303991,REID NO 1 RESERVOIR,100.0,5300584,SHOSHONE POWER PLANT
2122,1999-04-20T00:00:00.0000000,5303991,REID NO 1 RESERVOIR,100.0,5300584,SHOSHONE POWER PLANT
2123,1999-04-21T00:00:00.0000000,5303991,REID NO 1 RESERVOIR,33.3,5300584,SHOSHONE POWER PLANT
2124,1999-01-01T00:00:00.0000000,3603538,CATARACT LAKE,100.0,5300584,SHOSHONE POWER PLANT
2125,1999-01-02T00:00:00.0000000,3603538,CATARACT LAKE,100.0,5300584,SHOSHONE POWER PLANT
2126,1999-01-03T00:00:00.0000000,3603538,CATARACT LAKE,100.0,5300584,SHOSHONE POWER PLANT
2127,1999-01-04T00:00:00.0000000,3603538,CATARACT LAKE,33.3,5300584,SHOSHONE POWER PLANT
2149,1999-04-12T00:00:00.0000000,3603538,CATARACT LAKE,66.7,5300584,SHOSHONE POWER PLANT
2151,1999-04-13T00:00:00.0000000,3603538,CATARACT LAKE,100.0,5300584,SHOSHONE POWER PLANT
2152,1999-04-14T00:00:00.0000000,3603538,CATARACT LAKE,100.0,5300584,SHOSHONE POWER PLANT
2153,1999-04-15T00:00:00.0000000,3603538,CATARACT LAKE,100.0,5300584,SHOSHONE POWER PLANT
2154,1999-04-16T00:00:00.0000000,3603538,CATARACT LAKE,100.0,5300584,SHOSHONE POWER PLANT
2155,1999-04-17T00:00:00.0000000,3603538,CATARACT LAKE,100.0,5300584,SHOSHONE POWER PLANT
2156,1999-04-18T00:00:00.0000000,3603538,CATARACT LAKE,100.0,5300584,SHOSHONE POWER PLANT
2157,1999-04-19T00:00:00.0000000,3603538,CATARACT LAKE,100.0,5300584,SHOSHONE POWER PLANT
2158,1999-04-20T00:00:00.0000000,3603538,CATARACT LAKE,100.0,5300584,SHOSHONE POWER PLANT
2159,1999-04-21T00:00:00.0000000,3603538,CATARACT LAKE,33.3,5300584,SHOSHONE POWER PLANT
2160,1999-01-01T00:00:00.0000000,3604685,BOREAS NO 2 DITCH,100.0,5300584,SHOSHONE POWER PLANT
2161,1999-01-02T00:00:00.0000000,3604685,BOREAS NO 2 DITCH,100.0,5300584,SHOSHONE POWER PLANT
2162,1999-01-03T00:00:00.0000000,3604685,BOREAS NO 2 DITCH,100.0,5300584,SHOSHONE POWER PLANT
2163,1999-01-04T00:00:00.0000000,3604685,BOREAS NO 2 DITCH,33.3,5300584,SHOSHONE POWER PLANT
2185,1999-04-12T00:00:00.0000000,3604685,BOREAS NO 2 DITCH,66.7,5300584,SHOSHONE POWER PLANT
2187,1999-04-13T00:00:00.0000000,3604685,BOREAS NO 2 DITCH,100.0,5300584,SHOSHONE POWER PLANT
2188,1999-04-14T00:00:00.0000000,3604685,BOREAS NO 2 DITCH,100.0,5300584,SHOSHONE POWER PLANT
2189,1999-04-15T00:00:00.0000000,3604685,BOREAS NO 2 DITCH,100.0,5300584,SHOSHONE POWER PLANT
2190,1999-04-16T00:00:00.0000000,3604685,BOREAS NO 2 DITCH,100.0,5300584,SHOSHONE POWER PLANT
2191,1999-04-17T00:00:00.0000000,3604685,BOREAS NO 2 DITCH,100.0,5300584,SHOSHONE POWER PLANT
2192,1999-04-18T00:00:00.0000000,3604685,BOREAS NO 2 DITCH,100.0,5300584,SHOSHONE POWER PLANT
2193,1999-04-19T00:00:00.0000000,3604685,BOREAS NO 2 DITCH,100.0,5300584,SHOSHONE POWER PLANT
2194,1999-04-20T00:00:00.0000000,3604685,BOREAS NO 2 DITCH,100.0,5300584,SHOSHONE POWER PLANT
2195,1999-04-21T00:00:00.0000000,3604685,BOREAS NO 2 DITCH,33.3,5300584,SHOSHONE POWER PLANT
2196,1999-01-01T00:00:00.0000000,3600660,HIGH MILLER DITCH,100.0,5300584,SHOSHONE POWER PLANT
2197,1999-01-02T00:00:00.0000000,3600660,HIGH MILLER DITCH,100.0,5300584,SHOSHONE POWER PLANT
2198,1999-01-03T00:00:00.0000000,3600660,HIGH MILLER DITCH,100.0,5300584,SHOSHONE POWER PLANT
2199,1999-01-04T00:00:00.0000000,3600660,HIGH MILLER DITCH,33.3,5300584,SHOSHONE POWER PLANT
2221,1999-04-12T00:00:00.0000000,3600660,HIGH MILLER DITCH,66.7,5300584,SHOSHONE POWER PLANT
2223,1999-04-13T00:00:00.0000000,3600660,HIGH MILLER DITCH,100.0,5300584,SHOSHONE POWER PLANT
2224,1999-04-14T00:00:00.0000000,3600660,HIGH MILLER DITCH,100.0,5300584,SHOSHONE POWER PLANT
2225,1999-04-15T00:00:00.0000000,3600660,HIGH MILLER DITCH,100.0,5300584,SHOSHONE POWER PLANT
2226,1999-04-16T00:00:00.0000000,3600660,HIGH MILLER DITCH,100.0,5300584,SHOSHONE POWER PLANT
2227,1999-04-17T00:00:00.0000000,3600660,HIGH MILLER DITCH,100.0,5300584,SHOSHONE POWER PLANT
2228,1999-04-18T00:00:00.0000000,3600660,HIGH MILLER DITCH,100.0,5300584,SHOSHONE POWER PLANT
2229,1999-04-19T00:00:00.0000000,3600660,HIGH MILLER DITCH,100.0,5300584,SHOSHONE POWER PLANT
2230,1999-04-20T00:00:00.0000000,3600660,HIGH MILLER DITCH,100.0,5300584,SHOSHONE POWER PLANT
2231,1999-04-21T00:00:00.0000000,3600660,HIGH MILLER DITCH,33.3,5300584,SHOSHONE POWER PLANT
2232,1999-01-01T00:00:00.0000000,3604692,CON-HOOSIER - EAST HOOSIER DITCH CLAIM 1,100.0,5300584,SHOSHONE POWER PLANT
2233,1999-01-02T00:00:00.0000000,3604692,CON-HOOSIER - EAST HOOSIER DITCH CLAIM 1,100.0,5300584,SHOSHONE POWER PLANT
2234,1999-01-03T00:00:00.0000000,3604692,CON-HOOSIER - EAST HOOSIER DITCH CLAIM 1,100.0,5300584,SHOSHONE POWER PLANT
2235,1999-01-04T00:00:00.0000000,3604692,CON-HOOSIER - EAST HOOSIER DITCH CLAIM 1,33.3,5300584,SHOSHONE POWER PLANT
2257,1999-04-12T00:00:00.0000000,3604692,CON-HOOSIER - EAST HOOSIER DITCH CLAIM 1,66.7,5300584,SHOSHONE POWER PLANT
2259,1999-04-13T00:00:00.0000000,3604692,CON-HOOSIER - EAST HOOSIER DITCH CLAIM 1,100.0,5300584,SHOSHONE POWER PLANT
2260,1999-04-14T00:00:00.0000000,3604692,CON-HOOSIER - EAST HOOSIER DITCH CLAIM 1,100.0,5300584,SHOSHONE POWER PLANT
2261,1999-04-15T00:00:00.0000000,3604692,CON-HOOSIER - EAST HOOSIER DITCH CLAIM 1,100.0,5300584,SHOSHONE POWER PLANT
2262,1999-04-16T00:00:00.0000000,3604692,CON-HOOSIER - EAST HOOSIER DITCH CLAIM 1,100.0,5300584,SHOSHONE POWER PLANT
2263,1999-04-17T00:00:00.0000000,3604692,CON-HOOSIER - EAST HOOSIER DITCH CLAIM 1,100.0,5300584,SHOSHONE POWER PLANT
2264,1999-04-18T00:00:00.0000000,3604692,CON-HOOSIER - EAST HOOSIER DITCH CLAIM 1,100.0,5300584,SHOSHONE POWER PLANT
2265,1999-04-19T00:00:00.0000000,3604692,CON-HOOSIER - EAST HOOSIER DITCH CLAIM 1,100.0,5300584,SHOSHONE POWER PLANT
2266,1999-04-20T00:00:00.0000000,3604692,CON-HOOSIER - EAST HOOSIER DITCH CLAIM 1,100.0,5300584,SHOSHONE POWER PLANT
2267,1999-04-21T00:00:00.0000000,3604692,CON-HOOSIER - EAST HOOSIER DITCH CLAIM 1,33.3,5300584,SHOSHONE POWER PLANT
2268,1999-01-01T00:00:00.0000000,3600709,LOBACK DITCH,100.0,5300584,SHOSHONE POWER PLANT
2269,1999-01-02T00:00:00.0000000,3600709,LOBACK DITCH,100.0,5300584,SHOSHONE POWER PLANT
2270,1999-01-03T00:00:00.0000000,3600709,LOBACK DITCH,100.0,5300584,SHOSHONE POWER PLANT
2271,1999-01-04T00:00:00.0000000,3600709,LOBACK DITCH,33.3,5300584,SHOSHONE POWER PLANT
2293,1999-04-12T00:00:00.0000000,3600709,LOBACK DITCH,66.7,5300584,SHOSHONE POWER PLANT
2295,1999-04-13T00:00:00.0000000,3600709,LOBACK DITCH,100.0,5300584,SHOSHONE POWER PLANT
2296,1999-04-14T00:00:00.0000000,3600709,LOBACK DITCH,100.0,5300584,SHOSHONE POWER PLANT
2297,1999-04-15T00:00:00.0000000,3600709,LOBACK DITCH,100.0,5300584,SHOSHONE POWER PLANT
2298,1999-04-16T00:00:00.0000000,3600709,LOBACK DITCH,100.0,5300584,SHOSHONE POWER PLANT
2299,1999-04-17T00:00:00.0000000,3600709,LOBACK DITCH,100.0,5300584,SHOSHONE POWER PLANT
2300,1999-04-18T00:00:00.0000000,3600709,LOBACK DITCH,100.0,5300584,SHOSHONE POWER PLANT
2301,1999-04-19T00:00:00.0000000,3600709,LOBACK DITCH,100.0,5300584,SHOSHONE POWER PLANT
2302,1999-04-20T00:00:00.0000000,3600709,LOBACK DITCH,100.0,5300584,SHOSHONE POWER PLANT
2303,1999-04-21T00:00:00.0000000,3600709,LOBACK DITCH,33.3,5300584,SHOSHONE POWER PLANT
2304,1999-01-01T00:00:00.0000000,3703524,SYLVAN LAKE,100.0,5300584,SHOSHONE POWER PLANT
2305,1999-01-02T00:00:00.0000000,3703524,SYLVAN LAKE,100.0,5300584,SHOSHONE POWER PLANT
2306,1999-01-03T00:00:00.0000000,3703524,SYLVAN LAKE,100.0,5300584,SHOSHONE POWER PLANT
2307,1999-01-04T00:00:00.0000000,3703524,SYLVAN LAKE,33.3,5300584,SHOSHONE POWER PLANT
2329,1999-04-12T00:00:00.0000000,3703524,SYLVAN LAKE,66.7,5300584,SHOSHONE POWER PLANT
2331,1999-04-13T00:00:00.0000000,3703524,SYLVAN LAKE,100.0,5300584,SHOSHONE POWER PLANT
2332,1999-04-14T00:00:00.0000000,3703524,SYLVAN LAKE,100.0,5300584,SHOSHONE POWER PLANT
2333,1999-04-15T00:00:00.0000000,3703524,SYLVAN LAKE,100.0,5300584,SHOSHONE POWER PLANT
2334,1999-04-16T00:00:00.0000000,3703524,SYLVAN LAKE,100.0,5300584,SHOSHONE POWER PLANT
2335,1999-04-17T00:00:00.0000000,3703524,SYLVAN LAKE,100.0,5300584,SHOSHONE POWER PLANT
2336,1999-04-18T00:00:00.0000000,3703524,SYLVAN LAKE,100.0,5300584,SHOSHONE POWER PLANT
2337,1999-04-19T00:00:00.0000000,3703524,SYLVAN LAKE,100.0,5300584,SHOSHONE POWER PLANT
2338,1999-04-20T00:00:00.0000000,3703524,SYLVAN LAKE,100.0,5300584,SHOSHONE POWER PLANT
2339,1999-04-21T00:00:00.0000000,3703524,SYLVAN LAKE,33.3,5300584,SHOSHONE POWER PLANT
2340,1999-01-01T00:00:00.0000000,3703524,SYLVAN LAKE,100.0,5300584,SHOSHONE POWER PLANT
2341,1999-01-02T00:00:00.0000000,3703524,SYLVAN LAKE,100.0,5300584,SHOSHONE POWER PLANT
2342,1999-01-03T00:00:00.0000000,3703524,SYLVAN LAKE,100.0,5300584,SHOSHONE POWER PLANT
