,analysisDate,analysisWdid,analysisStructureName,analysisOutOfPriorityPercentOfDay,priorityWdid,priorityStructure
1534,2011-07-27T00:00:00.0000000,4503576,BATTLEMENT NO 5 RES,100.0,4500732,R F DITCH
1535,2011-07-28T00:00:00.0000000,4503576,BATTLEMENT NO 5 RES,100.0,4500732,R F DITCH
1536,2011-07-29T00:00:00.0000000,4503576,BATTLEMENT NO 5 RES,100.0,4500732,R F DITCH
1537,2011-07-30T00:00:00.0000000,4503576,BATTLEMENT NO 5 RES,100.0,4500732,R F DITCH
1538,2011-07-31T00:00:00.0000000,4503576,BATTLEMENT NO 5 RES,100.0,4500732,R F DITCH
1539,2011-08-01T00:00:00.0000000,4503576,BATTLEMENT NO 5 RES,100.0,4500732,R F DITCH
1540,2011-08-02T00:00:00.0000000,4503576,BATTLEMENT NO 5 RES,100.0,4500732,R F DITCH
1541,2011-08-03T00:00:00.0000000,4503576,BATTLEMENT NO 5 RES,100.0,4500732,R F DITCH
1542,2011-08-04T00:00:00.0000000,4503576,BATTLEMENT NO 5 RES,100.0,4500732,R F DITCH
1543,2011-08-05T00:00:00.0000000,4503576,BATTLEMENT NO 5 RES,100.0,4500732,R F DITCH
1544,2011-08-06T00:00:00.0000000,4503576,BATTLEMENT NO 5 RES,100.0,4500732,R F DITCH
1545,2011-08-07T00:00:00.0000000,4503576,BATTLEMENT NO 5 RES,100.0,4500732,R F DITCH
1546,2011-08-08T00:00:00.0000000,4503576,BATTLEMENT NO 5 RES,100.0,4500732,R F DITCH
1547,2011-08-09T00:00:00.0000000,4503576,BATTLEMENT NO 5 RES,100.0,4500732,R F DITCH
1548,2011-08-10T00:00:00.0000000,4503576,BATTLEMENT NO 5 RES,100.0,4500732,R F DITCH
1549,2011-08-11T00:00:00.0000000,4503576,BATTLEMENT NO 5 RES,100.0,4500732,R F DITCH
1550,2011-08-12T00:00:00.0000000,4503576,BATTLEMENT NO 5 RES,100.0,4500732,R F DITCH
1551,2011-08-13T00:00:00.0000000,4503576,BATTLEMENT NO 5 RES,33.3,4500732,R F DITCH
1552,2011-08-13T00:00:00.0000000,4503576,BATTLEMENT NO 5 RES,66.7,4500570,DOBEY DITCH
1553,2011-08-14T00:00:00.0000000,4503576,BATTLEMENT NO 5 RES,100.0,4500570,DOBEY DITCH
1554,2011-08-15T00:00:00.0000000,4503576,BATTLEMENT NO 5 RES,66.7,4500514,BATTLEMENT DITCH
1555,2011-08-15T00:00:00.0000000,4503576,BATTLEMENT NO 5 RES,33.3,4500570,DOBEY DITCH
1556,2011-08-16T00:00:00.0000000,4503576,BATTLEMENT NO 5 RES,100.0,4500514,BATTLEMENT DITCH
1557,2011-08-17T00:00:00.0000000,4503576,BATTLEMENT NO 5 RES,100.0,4500514,BATTLEMENT DITCH
1558,2011-08-18T00:00:00.0000000,4503576,BATTLEMENT NO 5 RES,100.0,4500514,BATTLEMENT DITCH
1559,2011-08-19T00:00:00.0000000,4503576,BATTLEMENT NO 5 RES,100.0,4500514,BATTLEMENT DITCH
1560,2011-08-20T00:00:00.0000000,4503576,BATTLEMENT NO 5 RES,100.0,4500514,BATTLEMENT DITCH
1561,2011-08-21T00:00:00.0000000,4503576,BATTLEMENT NO 5 RES,100.0,4500514,BATTLEMENT DITCH
1562,2011-08-22T00:00:00.0000000,4503576,BATTLEMENT NO 5 RES,100.0,4500514,BATTLEMENT DITCH
1563,2011-08-23T00:00:00.0000000,4503576,BATTLEMENT NO 5 RES,100.0,4500514,BATTLEMENT DITCH
1564,2011-08-24T00:00:00.0000000,4503576,BATTLEMENT NO 5 RES,100.0,4500514,BATTLEMENT DITCH
1565,2011-08-25T00:00:00.0000000,4503576,BATTLEMENT NO 5 RES,100.0,4500514,BATTLEMENT DITCH
1566,2011-08-26T00:00:00.0000000,4503576,BATTLEMENT NO 5 RES,100.0,4500514,BATTLEMENT DITCH
1567,2011-08-27T00:00:00.0000000,4503576,BATTLEMENT NO 5 RES,100.0,4500514,BATTLEMENT DITCH
1568,2011-08-28T00:00:00.0000000,4503576,BATTLEMENT NO 5 RES,100.0,4500514,BATTLEMENT DITCH
1569,2011-08-29T00:00:00.0000000,4503576,BATTLEMENT NO 5 RES,100.0,4500514,BATTLEMENT DITCH
1570,2011-08-30T00:00:00.0000000,4503576,BATTLEMENT NO 5 RES,100.0,4500514,BATTLEMENT DITCH
1571,2011-08-31T00:00:00.0000000,4503576,BATTLEMENT NO 5 RES,100.0,4500514,BATTLEMENT DITCH
1572,2011-09-01T00:00:00.0000000,4503576,BATTLEMENT NO 5 RES,100.0,4500514,BATTLEMENT DITCH
1573,2011-09-02T00:00:00.0000000,4503576,BATTLEMENT NO 5 RES,100.0,4500514,BATTLEMENT DITCH
1574,2011-09-03T00:00:00.0000000,4503576,BATTLEMENT NO 5 RES,100.0,4500514,BATTLEMENT DITCH
1575,2011-09-04T00:00:00.0000000,4503576,BATTLEMENT NO 5 RES,100.0,4500514,BATTLEMENT DITCH
1576,2011-09-05T00:00:00.0000000,4503576,BATTLEMENT NO 5 RES,100.0,4500514,BATTLEMENT DITCH
1577,2011-09-06T00:00:00.0000000,4503576,BATTLEMENT NO 5 RES,100.0,4500514,BATTLEMENT DITCH
1578,2011-09-07T00:00:00.0000000,4503576,BATTLEMENT NO 5 RES,100.0,4500514,BATTLEMENT DITCH
1579,2011-09-08T00:00:00.0000000,4503576,BATTLEMENT NO 5 RES,100.0,4500514,BATTLEMENT DITCH
1580,2011-09-09T00:00:00.0000000,4503576,BATTLEMENT NO 5 RES,100.0,4500514,BATTLEMENT DITCH
1581,2011-09-10T00:00:00.0000000,4503576,BATTLEMENT NO 5 RES,100.0,4500514,BATTLEMENT DITCH
1582,2011-09-11T00:00:00.0000000,4503576,BATTLEMENT NO 5 RES,100.0,4500514,BATTLEMENT DITCH
1583,2011-09-12T00:00:00.0000000,4503576,BATTLEMENT NO 5 RES,33.3,4500514,BATTLEMENT DITCH
1689,2011-04-15T00:00:00.0000000,4503575,BATTLEMENT NO 4 RES,66.7,4500514,BATTLEMENT DITCH
1690,2011-04-16T00:00:00.0000000,4503575,BATTLEMENT NO 4 RES,100.0,4500514,BATTLEMENT DITCH
1691,2011-04-17T00:00:00.0000000,4503575,BATTLEMENT NO 4 RES,100.0,4500514,BATTLEMENT DITCH
1692,2011-04-18T00:00:00.0000000,4503575,BATTLEMENT NO 4 RES,100.0,4500514,BATTLEMENT DITCH
1693,2011-04-19T00:00:00.0000000,4503575,BATTLEMENT NO 4 RES,100.0,4500514,BATTLEMENT DITCH
