wdid,structureName,structureType,waterSource,streamMile,division,waterDistrict,subdistrict,county,designatedBasinName,managementDistrictName,latdecdeg,longdecdeg
3905062,BOILER CREEK SPRING,SPRING,EAST ELK CREEK,,5,39,,GARFIELD,,,39.631306,-107.514481
3905063,COLONY SPRING NO 1,SPRING,PARACHUTE CREEK,,5,39,,GARFIELD,,,39.645879,-108.120522
3905064,COLONY WELL NO 1-1,WELL,GROUNDWATER: PARACHUTE CREEK,,5,39,,GARFIELD,,,39.642253,-108.12048
3905065,COLONY WELL NO 6-1,WELL,GROUNDWATER: PARACHUTE CREEK,,5,39,,GARFIELD,,,39.645493,-108.095038
3905066,CONTO WELL,WELL,GROUNDWATER: COLORADO RIVER,,5,39,,GARFIELD,,,39.556128,-107.596831
3905067,COULTER WELL NO 1,WELL,GROUNDWATER: MIDDLE RIFLE CREEK,,5,39,,GARFIELD,,,39.736286,-107.716262
3905068,COULTER WELL NO 2,WELL,GROUNDWATER: MIDDLE RIFLE CREEK,,5,39,,GARFIELD,,,39.730594,-107.730412
3905069,COULTER WELL NO 2,WELL,GROUNDWATER: COLORADO RIVER,,5,39,,GARFIELD,,,39.565679,-107.711245
3905070,COULTER WELL NO 3,WELL,GROUNDWATER: MIDDLE RIFLE CREEK,,5,39,,GARFIELD,,,39.736971,-107.715126
3905071,COZZA WELL NO 3,WELL,GROUNDWATER: EAST ELK CREEK,,5,39,,GARFIELD,,,39.554038,-107.660492
3905072,CREEK CABIN WELL,WELL,GROUNDWATER: CANYON CREEK,,5,39,,GARFIELD,,,39.624608,-107.446049
3905073,D B MARTINEZ SPRING,SPRING,WEST RIFLE CREEK,,5,39,,GARFIELD,,,39.736033,-107.87617
3905074,DAIRY BASEMENT WELL,WELL,GROUNDWATER: COLORADO RIVER,,5,39,,GARFIELD,,,39.574881,-107.454916
3905075,DAVIS SPRING,SPRING,PARACHUTE CREEK,,5,39,,GARFIELD,,,39.645879,-108.120522
3905076,DAWSON DOM WELL NO 1,WELL,GROUNDWATER: MAIN ELK CREEK,,5,39,,GARFIELD,,,39.670777,-107.565791
3905077,DAWSON WELL,WELL,GROUNDWATER: COLORADO RIVER,,5,39,,GARFIELD,,,39.576138,-107.503633
3905078,DEN WELL,WELL,GROUNDWATER: COLORADO RIVER,,5,39,,GARFIELD,,,39.574777,-107.47043
