WDID,Stream Mile,Adjudication Date,Priority Admin No,Net Absolute,Latitude,Longitude,Lines
3804396,0.12,12/31/07,57941,8712,39.163227,-106.789241,4291
3804423,3.43,12/31/08,57920,131551.2,39.174342,-106.871004,3925
7003523,8.66,12/31/08,57708.57415,612453.6,39.572391,-108.347543,3925
3804420,50.43,12/31/08,57708.569,5183.64,39.150651,-106.785057,3925
3804399,0.67,12/31/08,57708.56679,229996.8,39.187934,-107.246814,3925
3903551,6,12/31/08,57708.56277,4356,39.672787,-107.569672,3925
3903605,2.2,1/21/08,57708.56156,21780,39.604404,-107.442088,4270
3903603,2.08,1/21/08,57708.56063,31363.2,39.602075,-107.438534,4270
3903604,2.08,1/21/08,57708.56063,8712,39.602438,-107.439256,4270
4503683,2.43,12/31/08,57708.54238,411642,39.412078,-107.530226,3925
3804419,5.6,12/31/07,57704,2178,39.266627,-106.959413,4291
5103523,5.45,12/31/07,57704,130680,40.00694,-106.183418,4291
5109178,25.52,12/31/07,57647,47044.8,39.885001,-105.76153,4291
3804143,3.1,12/31/07,57636,6098.4,39.298594,-106.960135,4291
3804144,3.04,12/31/07,57636,13939.2,39.298943,-106.961006,4291
5103596,282.28,12/31/07,57607,272250,40.288821,-105.857349,4291
7204135,5.73,12/31/07,57587,119790,39.164826,-108.604181,4291
5003688,4.73,12/31/07,57513,657756,40.204642,-106.482169,4291
3804392,40.35,12/31/07,57458,47044.8,39.239603,-106.866211,4291
3704046,2.13,12/31/07,57432,356756.4,39.664842,-106.738266,4291
3704047,21.01,12/31/07,57432,338896.8,39.683138,-106.752227,4291
7203741,5.67,12/31/07,57343.57099,95832,39.22169,-108.699193,4291
7203743,4.22,12/31/07,57343.56876,108900,39.141222,-108.606502,4291
7203744,4.22,12/31/07,57343.56876,152460,39.141504,-108.605425,4291
7203737,8.89,12/31/07,57343.56779,15681.6,39.074792,-108.130671,4291
3804386,1.11,12/31/07,57343.56765,169884,39.4793,-107.14013,4291
7203742,3.98,12/31/07,57343.56003,4356,39.208562,-108.804957,4291
7204134,4.72,12/31/07,57343.52321,17990.28,39.299349,-107.949477,4291
5003685,9.6,12/31/06,57340,60984,40.280182,-106.377606,4656
5003687,9.57,12/31/06,57340,317988,40.280936,-106.379811,4656
3804340,3.62,12/31/06,57323,10018.8,39.292257,-106.958301,4656
3804394,3.61,12/31/06,57323,170755.2,39.292872,-106.955977,4656
3703596,1.42,12/31/04,57249,4965.84,39.633494,-106.953356,5386
7203893,8.89,12/31/06,57212,4892223.6,39.076336,-108.037533,4656
3704024,31.15,12/31/06,57193,1045.44,39.661288,-106.629851,4656
7204136,10.57,12/31/06,57052,59677.2,39.188937,-108.144168,4656
3704032,2.12,12/31/06,56991,322344,39.608358,-106.620676,4656
3803693,47.08,12/31/06,56978.56917,33759,39.177301,-106.801011,4656
3703788,4.78,12/31/06,56978.56884,97574.4,39.583721,-106.707258,4656
3603575,18.41,12/31/06,56978.56753,9147600,39.415302,-106.172546,4656
7204127,3.51,12/31/06,56978.55973,130680,39.201528,-108.802672,4656
3804390,6.43,12/31/06,56978.52426,8537.76,39.20249,-106.944127,4656
3804391,6.43,12/31/06,56978.52426,5140.08,39.20179,-106.945011,4656
3804090,32.73,12/31/06,56978.50271,23086.8,39.317895,-106.936982,4656
7203964,47.27,12/31/06,56978.46449,163785.6,39.052486,-108.425353,4656
7203740,2.48,12/31/06,56978.45107,65340,39.113143,-108.586383,4656
3803717,9.54,12/31/06,56978.42612,65340,39.377836,-106.885867,4656
7203894,8.46,12/31/06,56978.40014,1107295.2,39.083859,-108.022735,4656
3603583,42.74,12/31/06,56978.26468,653400,39.645288,-106.064705,4656
3701416,38.03,12/31/05,56978,1400,39.632132,-106.522708,5021
3701417,38.07,12/31/05,56978,1400,39.631988,-106.521976,5021
3701418,38.11,12/31/05,56978,1400,39.631694,-106.521475,5021
3803913,0.54,12/31/05,56977,36154.8,39.199669,-106.837063,5021
3803917,0.29,12/31/05,56977,38332.8,39.200872,-106.840708,5021
3804466,1.01,12/31/05,56977,6098.4,39.202137,-106.848441,5021
3804467,0.97,12/31/05,56977,26136,39.194459,-106.839463,5021
3804468,1.37,12/31/05,56977,7405.2,39.190308,-106.83587,5021
3804469,1.23,12/31/05,56977,5662.8,39.192854,-106.836324,5021
3804470,1.23,12/31/05,56977,34848,39.192078,-106.836206,5021
3804471,0.79,12/31/05,56977,1306.8,39.195917,-106.834974,5021
3804472,0.79,12/31/05,56977,435.6,39.196096,-106.835036,5021
3804473,0.29,12/31/05,56977,24829.2,39.201029,-106.845645,5021
3804474,0.28,12/31/05,56977,13939.2,39.202165,-106.845003,5021
3804475,0.29,12/31/05,56977,15681.6,39.201737,-106.845193,5021
3804476,0.28,12/31/05,56977,50529.6,39.202438,-106.84281,5021
3804477,0.28,12/31/05,56977,32234.4,39.203671,-106.847752,5021
3804478,0.28,12/31/05,56977,18730.8,39.203349,-106.84798,5021
3804479,0.28,12/31/05,56977,2178,39.202802,-106.848492,5021
5303641,222.54,12/31/05,56970,65340,40.044643,-106.455418,5021
7203726,29.76,12/31/05,56911,5662.8,39.130768,-108.689599,5021
3804337,47.03,12/31/05,56903,291852,39.175582,-106.804545,5021
7204133,2.18,12/31/05,56886,18730.8,39.261961,-107.957699,5021
7203732,3.06,12/31/05,56854,6969.6,39.1588,-108.036907,5021
4503569,4.37,12/31/05,56784,28314,39.430269,-107.619339,5021
7203729,5.86,12/31/05,56734,49658.4,39.312945,-107.950464,5021
7203730,5.83,12/31/05,56734,49658.4,39.312895,-107.944258,5021
4503568,3.19,12/31/12,56721,87120,39.508679,-107.613358,2464
4503567,4.14,12/31/05,56614,37026,39.432984,-107.619334,5021
3804375,42.65,12/31/05,56613.56536,76186.44,39.220911,-106.84519,5021
3804376,42.01,12/31/05,56613.56536,263363.76,39.217857,-106.851478,5021
5303598,0,12/31/05,56613.56492,285318,39.913606,-106.800421,5021
5303599,0,12/31/05,56613.56492,77536.8,39.910875,-106.802508,5021
3803697,40.54,12/31/05,56613.56369,3049.2,39.234231,-106.861731,5021
3803698,40.54,12/31/05,56613.56369,123274.8,39.234695,-106.861497,5021
3803699,40.54,12/31/05,56613.56369,21780,39.234886,-106.861669,5021
5303600,0,12/31/05,56613.56346,131115.6,39.903136,-106.799088,5021
3803700,40.54,12/31/05,56613.56034,50529.6,39.235618,-106.862306,5021
5204029,1.28,12/31/05,56613.55152,21780,39.596708,-107.133943,5021
5204030,1.09,12/31/05,56613.55152,31363.2,39.599416,-107.134409,5021
3803574,35.59,12/31/05,56613.54908,8537.76,39.290795,-106.907005,5021
3803576,0.08,12/31/05,56613.54908,24785.64,39.290811,-106.90663,5021
3803595,35.61,12/31/05,56613.54908,3615.48,39.28918,-106.908046,5021
3803596,35.67,12/31/05,56613.54908,12806.64,39.288904,-106.907406,5021
3803616,36.05,12/31/05,56613.54908,3005.64,39.286161,-106.901792,5021
3803617,36.08,12/31/05,56613.54908,2395.8,39.285907,-106.900957,5021
3803618,36.1,12/31/05,56613.54908,4660.92,39.285605,-106.900706,5021
3803630,36.13,12/31/05,56613.54908,2613.6,39.285116,-106.900034,5021
3803631,36.19,12/31/05,56613.54908,3267,39.2845,-106.899395,5021
3803646,36.43,12/31/05,56613.54908,5924.16,39.28163,-106.896697,5021
3803649,36.79,12/31/05,56613.54908,1306.8,39.278944,-106.892481,5021
3803695,35.56,12/31/05,56613.54908,4922.28,39.290733,-106.907658,5021
3903956,3.96,12/31/05,56613.54877,1346004,39.472796,-108.085283,5021
5204031,1.74,12/31/05,56613.54786,67953.6,39.596146,-107.116871,5021
7203733,29.12,12/31/05,56613.54019,71438.4,39.102317,-108.696161,5021
3603539,1.31,12/31/05,56613.53112,65340,39.798451,-106.210832,5021
5103587,1.46,12/31/05,56613.51407,5662.8,39.999799,-105.773328,5021
7203739,35.39,12/31/05,56613.51224,6969.6,39.135728,-108.57447,5021
3803612,35.72,12/31/05,56613.51009,174065.76,39.28861,-106.906129,5021
3803613,35.81,12/31/05,56613.51009,35457.84,39.287742,-106.904745,5021
3803614,35.84,12/31/05,56613.51009,57717,39.28749,-106.904167,5021
3803615,35.97,12/31/05,56613.51009,13634.28,39.286985,-106.903483,5021
3803647,36.59,12/31/05,56613.5061,740.52,39.280996,-106.895626,5021
3803648,36.59,12/31/05,56613.5061,1437.48,39.280918,-106.895508,5021
5103575,1.49,12/31/05,56613.49884,8712,39.999699,-105.77167,5021
5304059,8.86,12/31/05,56613.46751,178596,39.773033,-107.161903,5021
3803571,0.25,12/31/05,56613.40877,65340,39.379752,-106.942349,5021
3704033,0.85,12/31/04,56599,6054.84,39.637621,-106.949461,5386
3704034,0.95,12/31/04,56599,42035.4,39.637075,-106.950027,5386
3704035,1.19,12/31/04,56599,42035.4,39.635573,-106.950093,5386
3704036,1.2,12/31/04,56599,42035.4,39.635208,-106.950198,5386
3704037,1.19,12/31/04,56599,2178,39.635914,-106.950056,5386
3704038,1.41,12/31/04,56599,871.2,39.633792,-106.953201,5386
3704039,1.78,12/31/04,56599,7535.88,39.628428,-106.953886,5386
3704040,1.84,12/31/04,56599,9844.56,39.62792,-106.954414,5386
3704041,2.17,12/31/04,56599,26832.96,39.627365,-106.954933,5386
3704042,1.83,12/31/04,56599,6359.76,39.627694,-106.953092,5386
3704043,2.17,12/31/04,56599,2003.76,39.627208,-106.953702,5386
3704044,1.77,12/31/04,56599,8102.16,39.629913,-106.954885,5386
3709120,3.44,12/31/04,56599,390515.4,39.614094,-106.963666,5386
3817084,50.61,12/31/03,56564,80150.4,39.148513,-106.783148,5752
3804365,44.61,12/28/04,56534,1306.8,39.19763,-106.820896,5389
3804366,44.63,12/28/04,56534,666.468,39.197543,-106.820431,5389
3703995,2.12,12/31/04,56461,53143.2,39.601008,-106.614763,5386
7203724,6.81,12/31/03,56444,21780,39.281893,-108.864397,5752
3804364,1.7,12/31/04,56400,38071.44,39.269049,-106.866913,5386
5103506,3.75,12/31/04,56368,530560.8,39.988434,-106.248558,5386
5103508,4.09,12/31/04,56368,850726.8,39.98607,-106.254915,5386
3704015,2.12,12/31/04,56247.5621,16727.04,39.618687,-106.608744,5386
3704016,2.12,12/31/04,56247.5621,1306.8,39.618772,-106.608937,5386
3704017,2.12,12/31/04,56247.5621,148539.6,39.621091,-106.609078,5386
3803557,2.93,12/31/04,56247.561,1032372,39.414795,-106.934576,5386
3804401,0.19,12/31/04,56247.56095,52184.88,39.211364,-106.852969,5386
