wdid,structureName,streamMile,latitude,longitude,adminNumber,netAbsolute
7200575,COLCLASURE NO 1 DITCH,5.08,39.128352,-108.065386,30895.23536,0.684
7200575,COLCLASURE NO 1 DITCH,5.08,39.128352,-108.065386,32811,0.305
7200576,COLCLASURE NO 2 DITCH,4.81,39.122288,-108.0586,30895.23865,1.49
7200576,COLCLASURE NO 2 DITCH,4.81,39.122288,-108.0586,32811,0.67
7200578,COLLIER DITCH,5.52,39.324764,-107.798378,37402,2.85
7200580,COOK DITCH,3.11,39.277668,-107.955669,13129,0.254
7200580,COOK DITCH,3.11,39.277668,-107.955669,13162,1.96
7200580,COOK DITCH,3.11,39.277668,-107.955669,14122,3.492
7200580,COOK DITCH,3.11,39.277668,-107.955669,28269.21385,0.17
7200580,COOK DITCH,3.11,39.277668,-107.955669,30895.13496,1.5
7200580,COOK DITCH,3.11,39.277668,-107.955669,30895.24211,1.498
7200580,COOK DITCH,3.11,39.277668,-107.955669,32811,3.213
7200581,COON CREEK DITCH,4.07,39.139936,-108.13481,13284,0
7200581,COON CREEK DITCH,4.07,39.139936,-108.13481,17099.15827,0.52
7200581,COON CREEK DITCH,4.07,39.139936,-108.13481,49673.35198,1
7200582,CO-OPERATIVE DITCH,2.55,39.310387,-107.738917,22995.21112,1.8
7200582,CO-OPERATIVE DITCH,2.55,39.310387,-107.738917,32248,3.22
7200582,CO-OPERATIVE DITCH,2.55,39.310387,-107.738917,32811,0.8
7200583,COTTONWOOD BRANCH PL,7.58,39.125523,-107.967302,37486,28
7200584,COPPOCK DITCH,1.34,39.18366,-108.267849,30895.2396,0.26
7200585,COYLE RANCH DITCH,38.03,39.501406,-108.71456,21861.17333,4.2
7200585,COYLE RANCH DITCH,38.03,39.501406,-108.71456,34515,1.3
7200586,CRAIG DITCH,6.65,39.103521,-108.150271,22995.16942,1.89
7200586,CRAIG DITCH,6.65,39.103521,-108.150271,22995.17241,0.216
7200586,CRAIG DITCH,6.65,39.103521,-108.150271,32811,0.84
7200586,CRAIG DITCH,6.65,39.103521,-108.150271,34419.20013,0.564
7200587,CRAIG STEWART DITCH,5.17,39.124948,-108.138748,18749.18536,2.88
7200587,CRAIG STEWART DITCH,5.17,39.124948,-108.138748,32811,1.28
7200588,CRANE DITCH,2.83,39.26205,-107.925636,18749.16345,0.39
7200588,CRANE DITCH,2.83,39.26205,-107.925636,31105,0.51
7200588,CRANE DITCH,2.83,39.26205,-107.925636,32811,0.12
7200589,CRAWFORD DITCH,1.37,39.131362,-108.296256,14222,3.55
7200590,CRESCENT DITCH,38.73,39.572474,-108.902969,24085.2248,0.3
7200590,CRESCENT DITCH,38.73,39.572474,-108.902969,53325.45425,0.5
7200591,CROWN POINT DITCH,2.3,39.17599,-108.031276,13853,0.26
7200591,CROWN POINT DITCH,2.3,39.17599,-108.031276,22995.14411,2.862
7200591,CROWN POINT DITCH,2.3,39.17599,-108.031276,30895.23494,0
7200591,CROWN POINT DITCH,2.3,39.17599,-108.031276,32811,0
7200592,CRUM JOHNSON RES D SYS,7.04,39.10405,-108.082995,30895.23584,4.83
7200592,CRUM JOHNSON RES D SYS,7.04,39.10405,-108.082995,30895.24389,0.39
7200593,CRUZEN SPRINGS DITCH,6.42,39.055861,-108.262082,24258.1327,1.8
7200594,DAUMAN DITCH,7.6,39.149725,-107.946187,30895.23619,2.16
7200594,DAUMAN DITCH,7.6,39.149725,-107.946187,32811,0.96
7200595,DAVENPORT DITCH (E SALT),26.47,39.419143,-108.79737,30963.21261,2
7200595,DAVENPORT DITCH (E SALT),26.47,39.419143,-108.79737,30963.238,1.12
7200595,DAVENPORT DITCH (E SALT),26.47,39.419143,-108.79737,34515,3
7200596,DAVENPORT D (COTTNWD),4.72,39.148037,-108.007642,14124,3.296
7200596,DAVENPORT D (COTTNWD),4.72,39.148037,-108.007642,22995.1487,1.8
7200596,DAVENPORT D (COTTNWD),4.72,39.148037,-108.007642,22995.1741,1.8
7200596,DAVENPORT D (COTTNWD),4.72,39.148037,-108.007642,30895.13738,2
7200598,DAVIES DITCH,46,39.053953,-108.449039,52595.49071,0.033
7200599,FRED DECAMP NO 1 DITCH,0.54,39.187523,-108.058419,30895.2822,0.054
7200600,DINGMAN SP SEEPAGE DITCH,3.42,39.147913,-108.131277,30895.23512,1
7200601,DOUGLAS DITCH,4.96,39.12909,-108.076683,30895.26795,0.84
7200601,DOUGLAS DITCH,4.96,39.12909,-108.076683,43829.26795,4.5
7200602,WALTER DREXEL DITCH,2.67,39.156347,-108.062783,31502,1.08
7200603,JAMES F DUFFY IRR DITCH,4.68,39.150331,-108.004986,22995.1437,0.432
7200603,JAMES F DUFFY IRR DITCH,4.68,39.150331,-108.004986,30895.22584,0.78
7200603,JAMES F DUFFY IRR DITCH,4.68,39.150331,-108.004986,30895.23521,0.54
7200604,DUNLAP DITCH (HAWXHURST),1.16,39.276852,-107.912297,14123,2.88
7200604,DUNLAP DITCH (HAWXHURST),1.16,39.276852,-107.912297,30895.12524,1
7200604,DUNLAP DITCH (HAWXHURST),1.16,39.276852,-107.912297,34419.14123,2
7200604,DUNLAP DITCH (HAWXHURST),1.16,39.276852,-107.912297,34419.27514,1.28
7200604,DUNLAP DITCH (HAWXHURST),1.16,39.276852,-107.912297,37215,1.31
7200604,DUNLAP DITCH (HAWXHURST),1.16,39.276852,-107.912297,47847.40329,1
7200605,DUNLAP NO 1 D (PLATEAU),26.35,39.260218,-107.913207,12113,0.11
7200605,DUNLAP NO 1 D (PLATEAU),26.35,39.260218,-107.913207,12905,0.2
7200605,DUNLAP NO 1 D (PLATEAU),26.35,39.260218,-107.913207,18749.15462,0.3
7200605,DUNLAP NO 1 D (PLATEAU),26.35,39.260218,-107.913207,30895.12127,1
7200605,DUNLAP NO 1 D (PLATEAU),26.35,39.260218,-107.913207,30895.29865,1.48
7200605,DUNLAP NO 1 D (PLATEAU),26.35,39.260218,-107.913207,32811,0.27
7200606,EAST CANON DITCH,0.75,39.440591,-108.644031,23432.22019,0.6
7200607,EAKIN-SMITH DITCH,5.3,39.180135,-107.950964,22995.16833,4.05
7200607,EAKIN-SMITH DITCH,5.3,39.180135,-107.950964,30895.24227,1.04
7200607,EAKIN-SMITH DITCH,5.3,39.180135,-107.950964,30895.24637,0.9
7200607,EAKIN-SMITH DITCH,5.3,39.180135,-107.950964,32811,2.21
7200608,EAST GULCH DITCH,30.18,39.447216,-108.636419,23432.22014,0.6
7200609,EAST FORK FEEDER CANAL,12.1,39.109001,-107.88628,37486,30
7200610,EAST SPRING CREEK D NO 1,4.9,39.13241,-108.062844,34419.26359,0.65
7200611,EAST SPRING CREEK D NO 2,4.01,39.140395,-108.064428,34419.26359,0.55
7200613,EGGAR DITCH,4.96,39.102969,-108.257133,30895.23649,2.73
7200614,ELIZABETH DITCH HDG 1,0.64,39.196929,-107.684371,30895.24173,2
7200614,ELIZABETH DITCH HDG 1,0.64,39.196929,-107.684371,32811,0.905
7200615,ERIE CANAL,40.35,39.197085,-107.749503,22995.20605,2.73
7200615,ERIE CANAL,40.35,39.197085,-107.749503,31571,2
7200615,ERIE CANAL,40.35,39.197085,-107.749503,32811,1.42
7200615,ERIE CANAL,40.35,39.197085,-107.749503,36706,2.55
7200615,ERIE CANAL,40.35,39.197085,-107.749503,37407,0.65
7200615,ERIE CANAL,40.35,39.197085,-107.749503,52960.50556,10
7200616,NEW ERIE CANAL,38.62,39.207735,-107.762355,22995.20605,4.09
7200616,NEW ERIE CANAL,38.62,39.207735,-107.762355,22995.22197,4.95
7200616,NEW ERIE CANAL,38.62,39.207735,-107.762355,30895.23583,0.45
7200616,NEW ERIE CANAL,38.62,39.207735,-107.762355,30895.24601,0.81
7200616,NEW ERIE CANAL,38.62,39.207735,-107.762355,30895.24957,1.04
7200616,NEW ERIE CANAL,38.62,39.207735,-107.762355,32811,4.52
7200616,NEW ERIE CANAL,38.62,39.207735,-107.762355,36746,20.5
7200618,FITZPATRICK SPRING DITCH,20.86,39.232838,-107.995613,18749.18718,0.09
7200618,FITZPATRICK SPRING DITCH,20.86,39.232838,-107.995613,40013.22431,0.21
7200619,JOHN A FITZPATRICK DITCH,23.94,39.242915,-107.946713,30895.27517,0.18
7200620,FORAKER DITCH,3.37,39.147206,-108.058557,30895.24241,0.72
7200621,FORD DITCH,0.57,39.187628,-108.057486,34419.25672,0.81
7200622,FRANCIS DITCH,2.85,39.171916,-107.850937,34419.18788,1.57
7200623,FREDA DITCH,22.95,39.248652,-107.960637,30895.26281,0.57
7200624,FREDERICK DITCH,4.63,39.134773,-108.035879,30895.2385,0.51
7200625,FREDERICK NO 2 DITCH,5.05,39.127518,-108.041177,30895.27245,3.55
7200625,FREDERICK NO 2 DITCH,5.05,39.127518,-108.041177,30895.27879,2.6
7200626,T J FRITZLER DITCH,1.84,39.180814,-108.036286,22995.16925,0.63
7200627,FULLER DITCH,19.37,39.225207,-108.017619,18749.16893,0
7200627,FULLER DITCH,19.37,39.225207,-108.017619,30895.24322,0.54
7200627,FULLER DITCH,19.37,39.225207,-108.017619,31105,0
7200627,FULLER DITCH,19.37,39.225207,-108.017619,32811,0.24
7200627,FULLER DITCH,19.37,39.225207,-108.017619,40013.3345,2.22
7200628,GALBRAITH DITCH,33.56,39.225382,-107.813941,18749.14411,1.8
7200628,GALBRAITH DITCH,33.56,39.225382,-107.813941,22995.20157,3.6
7200628,GALBRAITH DITCH,33.56,39.225382,-107.813941,30895.14411,2.5
7200628,GALBRAITH DITCH,33.56,39.225382,-107.813941,30895.23636,3.69
7200628,GALBRAITH DITCH,33.56,39.225382,-107.813941,32811,4.04
7200630,GAVIN WASTE WATER DITCH,29.8,39.126813,-108.68725,37251,3.5
7200630,GAVIN WASTE WATER DITCH,29.8,39.126813,-108.68725,53325.45077,3.5
7200631,GEARHART KOCH DITCH,7.76,39.171146,-107.893103,30895.2611,3
7200632,GEDNEY PUMPING PLANT,32.63,39.089087,-108.655913,35682,0.5
7200633,GIBSON DITCH (BIG CR),1.59,39.219605,-107.991425,22995.18687,1.296
7200633,GIBSON DITCH (BIG CR),1.59,39.219605,-107.991425,40013.27545,2
7200636,GILBERT WEBB DITCH,30.53,39.486429,-108.962934,25237.23541,1.5
7200636,GILBERT WEBB DITCH,30.53,39.486429,-108.962934,53325.45425,1.5
7200637,GILT EDGE DITCH,4.18,39.198932,-107.932555,22995.14366,2.916
7200637,GILT EDGE DITCH,4.18,39.198932,-107.932555,30895.14366,1.5
7200637,GILT EDGE DITCH,4.18,39.198932,-107.932555,30895.24957,0.45
7200637,GILT EDGE DITCH,4.18,39.198932,-107.932555,32811,0.2
7200638,GLACIER SPRING PIPELINE,,39.043764,-108.088836,30895.30497,0.07
7200639,WOOD DIVERSION REED WASH,3.46,39.202449,-108.800257,52886,0.2
7200640,GLEN DITCH,23.48,39.241072,-107.954745,13605,0.425
7200640,GLEN DITCH,23.48,39.241072,-107.954745,38181,0.25
7200641,GOFFREDI DITCH,0.47,39.13142,-108.316031,30895.27514,0.16
7200641,GOFFREDI DITCH,0.47,39.13142,-108.316031,37071,0
7200642,GOFFREDI PIPELINE & PS,56.57,39.131776,-108.324086,22729.1961,0
7200642,GOFFREDI PIPELINE & PS,56.57,39.131776,-108.324086,37071,0.76
7200643,GOLDEN AGE DITCH,5.32,39.179755,-107.951017,22995.14731,3.69
7200643,GOLDEN AGE DITCH,5.32,39.179755,-107.951017,22995.17384,2.16
