wdid,streamMile,adminNumber,netAbsolute,lat,long,sum_netAbs
7203740,2.48,56978.45107,65340.0,39.113143,-108.58638300000001,65340.0
3803717,9.54,56978.426120000004,65340.0,39.377836,-106.88586699999999,65340.0
7203894,8.46,56978.40014,1107295.2,39.083859000000004,-108.02273500000001,10547618.4
7203894,8.46,34419.32368,5419735.2,39.083859000000004,-108.02273500000001,10547618.4
7203894,8.46,25246.18949,4020588.0,39.083859000000004,-108.02273500000001,10547618.4
3603583,42.74,56978.26467999999,653400.0,39.645288,-106.064705,1306800.0
3603583,42.74,44925.41272,653400.0,39.645288,-106.064705,1306800.0
3701416,38.03,56978.0,1400.0,39.632132,-106.52270800000001,1400.0
3701417,38.07,56978.0,1400.0,39.631988,-106.521976,1400.0
3701418,38.11,56978.0,1400.0,39.631694,-106.521475,1400.0
3803913,0.54,56977.0,36154.8,39.199669,-106.83706299999999,45302.4
3803913,0.54,46020.454710000005,9147.6,39.199669,-106.83706299999999,45302.4
3803917,0.29,56977.0,38332.8,39.200872,-106.840708,42253.200000000004
3803917,0.29,46020.44192,3920.4,39.200872,-106.840708,42253.200000000004
3804466,1.01,56977.0,6098.4,39.202137,-106.848441,6098.4
3804467,0.97,56977.0,26136.0,39.194459,-106.839463,26136.0
3804468,1.37,56977.0,7405.2,39.190308,-106.83587,7405.2
3804469,1.23,56977.0,5662.8,39.192854,-106.836324,5662.8
3804470,1.23,56977.0,34848.0,39.192078,-106.836206,34848.0
3804471,0.79,56977.0,1306.8,39.195917,-106.834974,1306.8
3804472,0.79,56977.0,435.6,39.196096000000004,-106.83503600000002,435.6
3804473,0.29,56977.0,24829.2,39.201029,-106.84564499999999,24829.2
3804474,0.28,56977.0,13939.2,39.202165,-106.845003,13939.2
3804475,0.29,56977.0,15681.6,39.201737,-106.845193,15681.6
3804476,0.28,56977.0,50529.6,39.202438,-106.84281000000001,50529.6
3804477,0.28,56977.0,32234.4,39.203671,-106.847752,32234.4
3804478,0.28,56977.0,18730.8,39.203348999999996,-106.84798,18730.8
3804479,0.28,56977.0,2178.0,39.202802,-106.848492,2178.0
5303641,222.54,56970.0,65340.0,40.044643,-106.455418,65340.0
7203726,29.76,56911.0,5662.8,39.130767999999996,-108.689599,5662.8
3804337,47.03,56903.0,291852.0,39.175582,-106.80454499999999,291852.0
7204133,2.18,56886.0,18730.8,39.261961,-107.957699,18730.8
7203732,3.06,56854.0,6969.6,39.1588,-108.03690700000001,6969.6
4503569,4.37,56784.0,28314.0,39.430269,-107.619339,28314.0
7203729,5.86,56734.0,49658.4,39.312945,-107.950464,49658.4
7203730,5.83,56734.0,49658.4,39.312895000000005,-107.944258,49658.4
4503568,3.19,56721.0,87120.0,39.508679,-107.613358,87120.0
4503567,4.14,56614.0,37026.0,39.432984000000005,-107.61933400000001,37026.0
3804375,42.65,56613.56536,76186.44,39.220911,-106.84518999999999,76186.44
3804376,42.01,56613.56536,263363.76,39.217857,-106.851478,263363.76
5303598,0.0,56613.564920000004,285318.0,39.913606,-106.800421,285318.0
5303599,0.0,56613.564920000004,77536.8,39.910875,-106.802508,77536.8
3803697,40.54,56613.563689999995,3049.2,39.234231,-106.861731,3049.2
3803698,40.54,56613.563689999995,123274.8,39.234695,-106.861497,123274.8
3803699,40.54,56613.563689999995,21780.0,39.234885999999996,-106.86166899999999,21780.0
5303600,0.0,56613.563460000005,131115.6,39.903135999999996,-106.79908799999998,131115.6
3803700,40.54,56613.560339999996,50529.6,39.235618,-106.862306,50529.6
5204029,1.28,56613.55152000001,21780.0,39.596708,-107.13394299999999,21780.0
