PageNumber,PageCount,ResultCount,ResultDateTime
1,1,5479,2020-11-13T07:28:25.0158767-07:00
stationNum,abbrev,usgsSiteId,measType,measDate,value,flagA,flagB,flagC,flagD,dataSource,modified,measUnit
553,BUZOWECO,09096800,Streamflow,1955-12-05T00:00:00.0000000-07:00,1.400000,A,,,,USGS,2015-06-17T11:53:02.5930000-06:00,cfs
553,BUZOWECO,09096800,Streamflow,1955-12-06T00:00:00.0000000-07:00,1.400000,A,,,,USGS,2015-06-17T11:53:02.5930000-06:00,cfs
553,BUZOWECO,09096800,Streamflow,1955-12-07T00:00:00.0000000-07:00,1.400000,A,,,,USGS,2015-06-17T11:53:02.5930000-06:00,cfs
553,BUZOWECO,09096800,Streamflow,1955-12-08T00:00:00.0000000-07:00,1.400000,A,,,,USGS,2015-06-17T11:53:02.5930000-06:00,cfs
553,BUZOWECO,09096800,Streamflow,1955-12-09T00:00:00.0000000-07:00,1.400000,A,,,,USGS,2015-06-17T11:53:02.5930000-06:00,cfs
553,BUZOWECO,09096800,Streamflow,1955-12-10T00:00:00.0000000-07:00,1.400000,A,,,,USGS,2015-06-17T11:53:02.5930000-06:00,cfs
553,BUZOWECO,09096800,Streamflow,1955-12-11T00:00:00.0000000-07:00,1.400000,A,,,,USGS,2015-06-17T11:53:02.5930000-06:00,cfs
553,BUZOWECO,09096800,Streamflow,1955-12-12T00:00:00.0000000-07:00,1.400000,A,,,,USGS,2015-06-17T11:53:02.5930000-06:00,cfs
553,BUZOWECO,09096800,Streamflow,1955-12-13T00:00:00.0000000-07:00,1.400000,A,,,,USGS,2015-06-17T11:53:02.5930000-06:00,cfs
553,BUZOWECO,09096800,Streamflow,1955-12-14T00:00:00.0000000-07:00,1.400000,A,,,,USGS,2015-06-17T11:53:02.5930000-06:00,cfs
553,BUZOWECO,09096800,Streamflow,1955-12-15T00:00:00.0000000-07:00,1.400000,A,,,,USGS,2015-06-17T11:53:02.5930000-06:00,cfs
553,BUZOWECO,09096800,Streamflow,1955-12-16T00:00:00.0000000-07:00,1.400000,A,,,,USGS,2015-06-17T11:53:02.5930000-06:00,cfs
553,BUZOWECO,09096800,Streamflow,1955-12-17T00:00:00.0000000-07:00,1.400000,A,,,,USGS,2015-06-17T11:53:02.5930000-06:00,cfs
553,BUZOWECO,09096800,Streamflow,1955-12-18T00:00:00.0000000-07:00,1.400000,A,,,,USGS,2015-06-17T11:53:02.5930000-06:00,cfs
553,BUZOWECO,09096800,Streamflow,1955-12-19T00:00:00.0000000-07:00,1.400000,A,,,,USGS,2015-06-17T11:53:02.5930000-06:00,cfs
553,BUZOWECO,09096800,Streamflow,1955-12-20T00:00:00.0000000-07:00,1.400000,A,,,,USGS,2015-06-17T11:53:02.5930000-06:00,cfs
553,BUZOWECO,09096800,Streamflow,1955-12-21T00:00:00.0000000-07:00,1.400000,A,,,,USGS,2015-06-17T11:53:02.5930000-06:00,cfs
553,BUZOWECO,09096800,Streamflow,1955-12-22T00:00:00.0000000-07:00,1.400000,A,,,,USGS,2015-06-17T11:53:02.5930000-06:00,cfs
553,BUZOWECO,09096800,Streamflow,1955-12-23T00:00:00.0000000-07:00,1.400000,A,,,,USGS,2015-06-17T11:53:02.5930000-06:00,cfs
553,BUZOWECO,09096800,Streamflow,1955-12-24T00:00:00.0000000-07:00,1.400000,A,,,,USGS,2015-06-17T11:53:02.5930000-06:00,cfs
553,BUZOWECO,09096800,Streamflow,1955-12-25T00:00:00.0000000-07:00,1.400000,A,,,,USGS,2015-06-17T11:53:02.5930000-06:00,cfs
553,BUZOWECO,09096800,Streamflow,1955-12-26T00:00:00.0000000-07:00,1.400000,A,,,,USGS,2015-06-17T11:53:02.5930000-06:00,cfs
553,BUZOWECO,09096800,Streamflow,1955-12-27T00:00:00.0000000-07:00,1.400000,A,,,,USGS,2015-06-17T11:53:02.5930000-06:00,cfs
553,BUZOWECO,09096800,Streamflow,1955-12-28T00:00:00.0000000-07:00,1.400000,A,,,,USGS,2015-06-17T11:53:02.5930000-06:00,cfs
553,BUZOWECO,09096800,Streamflow,1955-12-29T00:00:00.0000000-07:00,1.400000,A,,,,USGS,2015-06-17T11:53:02.5930000-06:00,cfs
553,BUZOWECO,09096800,Streamflow,1955-12-30T00:00:00.0000000-07:00,1.400000,A,,,,USGS,2015-06-17T11:53:02.5930000-06:00,cfs
553,BUZOWECO,09096800,Streamflow,1955-12-31T00:00:00.0000000-07:00,1.400000,A,,,,USGS,2015-06-17T11:53:02.5930000-06:00,cfs
553,BUZOWECO,09096800,Streamflow,1956-01-01T00:00:00.0000000-07:00,1.500000,A,,,,USGS,2015-06-17T11:53:02.5930000-06:00,cfs
553,BUZOWECO,09096800,Streamflow,1956-01-02T00:00:00.0000000-07:00,1.500000,A,,,,USGS,2015-06-17T11:53:02.5930000-06:00,cfs
553,BUZOWECO,09096800,Streamflow,1956-01-03T00:00:00.0000000-07:00,1.500000,A,,,,USGS,2015-06-17T11:53:02.5930000-06:00,cfs
553,BUZOWECO,09096800,Streamflow,1956-01-04T00:00:00.0000000-07:00,1.500000,A,,,,USGS,2015-06-17T11:53:02.5930000-06:00,cfs
553,BUZOWECO,09096800,Streamflow,1956-01-05T00:00:00.0000000-07:00,1.500000,A,,,,USGS,2015-06-17T11:53:02.5930000-06:00,cfs
553,BUZOWECO,09096800,Streamflow,1956-01-06T00:00:00.0000000-07:00,1.500000,A,,,,USGS,2015-06-17T11:53:02.5930000-06:00,cfs
553,BUZOWECO,09096800,Streamflow,1956-01-07T00:00:00.0000000-07:00,1.500000,A,,,,USGS,2015-06-17T11:53:02.5930000-06:00,cfs
553,BUZOWECO,09096800,Streamflow,1956-01-08T00:00:00.0000000-07:00,1.500000,A,,,,USGS,2015-06-17T11:53:02.5930000-06:00,cfs
553,BUZOWECO,09096800,Streamflow,1956-01-09T00:00:00.0000000-07:00,1.500000,A,,,,USGS,2015-06-17T11:53:02.5930000-06:00,cfs
553,BUZOWECO,09096800,Streamflow,1956-01-10T00:00:00.0000000-07:00,1.500000,A,,,,USGS,2015-06-17T11:53:02.5930000-06:00,cfs
553,BUZOWECO,09096800,Streamflow,1956-01-11T00:00:00.0000000-07:00,1.500000,A,,,,USGS,2015-06-17T11:53:02.5930000-06:00,cfs
553,BUZOWECO,09096800,Streamflow,1956-01-12T00:00:00.0000000-07:00,1.500000,A,,,,USGS,2015-06-17T11:53:02.5930000-06:00,cfs
553,BUZOWECO,09096800,Streamflow,1956-01-13T00:00:00.0000000-07:00,1.500000,A,,,,USGS,2015-06-17T11:53:02.5930000-06:00,cfs
553,BUZOWECO,09096800,Streamflow,1956-01-14T00:00:00.0000000-07:00,1.500000,A,,,,USGS,2015-06-17T11:53:02.5930000-06:00,cfs
553,BUZOWECO,09096800,Streamflow,1956-01-15T00:00:00.0000000-07:00,1.500000,A,,,,USGS,2015-06-17T11:53:02.5930000-06:00,cfs
553,BUZOWECO,09096800,Streamflow,1956-01-16T00:00:00.0000000-07:00,1.500000,A,,,,USGS,2015-06-17T11:53:02.5930000-06:00,cfs
