analysisDate,analysisWdid,analysisStructureName,analysisWrAdminNo,analysisOutOfPriorityPercentOfDay,division,callType,dateTimeSet,dateTimeReleased,waterSourceName,locationWdid,locationStructure,locationWdidStreamMile,priorityWdid,priorityStructure,priorityAdminNo,priorityOrderNo,priorityDate,priorityNo,boundingWdid,boundingStructureName,setComments,releaseComment
2016-07-23T00:00:00.0000000,7203834,COLBY HORSE PARK RES,22995.18506,100.0,5,CALL,2016-07-13T07:00:00.0000000,2016-07-28T11:00:00.0000000,PLATEAU CREEK,7200540,BLACKMAN DUNLAP CLARK D,27.29,7200730,KIGGINS SALISBURY DITCH,18749.18486,0,1901-05-02T00:00:00.0000000,,,,,
2016-07-24T00:00:00.0000000,7203834,COLBY HORSE PARK RES,22995.18506,100.0,5,CALL,2016-07-13T07:00:00.0000000,2016-07-28T11:00:00.0000000,PLATEAU CREEK,7200540,BLACKMAN DUNLAP CLARK D,27.29,7200730,KIGGINS SALISBURY DITCH,18749.18486,0,1901-05-02T00:00:00.0000000,,,,,
2016-07-25T00:00:00.0000000,7203834,COLBY HORSE PARK RES,22995.18506,100.0,5,CALL,2016-07-13T07:00:00.0000000,2016-07-28T11:00:00.0000000,PLATEAU CREEK,7200540,BLACKMAN DUNLAP CLARK D,27.29,7200730,KIGGINS SALISBURY DITCH,18749.18486,0,1901-05-02T00:00:00.0000000,,,,,
2016-07-26T00:00:00.0000000,7203834,COLBY HORSE PARK RES,22995.18506,100.0,5,CALL,2016-07-13T07:00:00.0000000,2016-07-28T11:00:00.0000000,PLATEAU CREEK,7200540,BLACKMAN DUNLAP CLARK D,27.29,7200730,KIGGINS SALISBURY DITCH,18749.18486,0,1901-05-02T00:00:00.0000000,,,,,
2016-07-27T00:00:00.0000000,7203834,COLBY HORSE PARK RES,22995.18506,100.0,5,CALL,2016-07-13T07:00:00.0000000,2016-07-28T11:00:00.0000000,PLATEAU CREEK,7200540,BLACKMAN DUNLAP CLARK D,27.29,7200730,KIGGINS SALISBURY DITCH,18749.18486,0,1901-05-02T00:00:00.0000000,,,,,
2016-07-28T00:00:00.0000000,7203834,COLBY HORSE PARK RES,22995.18506,45.8,5,CALL,2016-07-13T07:00:00.0000000,2016-07-28T11:00:00.0000000,PLATEAU CREEK,7200540,BLACKMAN DUNLAP CLARK D,27.29,7200730,KIGGINS SALISBURY DITCH,18749.18486,0,1901-05-02T00:00:00.0000000,,,,,
2016-07-28T00:00:00.0000000,7203834,COLBY HORSE PARK RES,22995.18506,54.2,5,CALL,2016-07-28T11:00:00.0000000,2016-07-29T07:00:00.0000000,PLATEAU CREEK,7200540,BLACKMAN DUNLAP CLARK D,27.29,7200703,HOOSIER DITCH,18749.17653,0,1901-05-02T00:00:00.0000000,,,,,
2016-07-29T00:00:00.0000000,7203834,COLBY HORSE PARK RES,22995.18506,29.2,5,CALL,2016-07-28T11:00:00.0000000,2016-07-29T07:00:00.0000000,PLATEAU CREEK,7200540,BLACKMAN DUNLAP CLARK D,27.29,7200703,HOOSIER DITCH,18749.17653,0,1901-05-02T00:00:00.0000000,,,,,
2016-07-29T00:00:00.0000000,7203834,COLBY HORSE PARK RES,22995.18506,70.8,5,CALL,2016-07-29T07:00:00.0000000,2016-08-01T08:30:00.0000000,PLATEAU CREEK,7200540,BLACKMAN DUNLAP CLARK D,27.29,7200628,GALBRAITH DITCH,18749.14411,0,1901-05-02T00:00:00.0000000,119,,,,
2016-07-30T00:00:00.0000000,7203834,COLBY HORSE PARK RES,22995.18506,100.0,5,CALL,2016-07-29T07:00:00.0000000,2016-08-01T08:30:00.0000000,PLATEAU CREEK,7200540,BLACKMAN DUNLAP CLARK D,27.29,7200628,GALBRAITH DITCH,18749.14411,0,1901-05-02T00:00:00.0000000,119,,,,
2016-07-31T00:00:00.0000000,7203834,COLBY HORSE PARK RES,22995.18506,100.0,5,CALL,2016-07-29T07:00:00.0000000,2016-08-01T08:30:00.0000000,PLATEAU CREEK,7200540,BLACKMAN DUNLAP CLARK D,27.29,7200628,GALBRAITH DITCH,18749.14411,0,1901-05-02T00:00:00.0000000,119,,,,
2016-08-01T00:00:00.0000000,7203834,COLBY HORSE PARK RES,22995.18506,35.4,5,CALL,2016-07-29T07:00:00.0000000,2016-08-01T08:30:00.0000000,PLATEAU CREEK,7200540,BLACKMAN DUNLAP CLARK D,27.29,7200628,GALBRAITH DITCH,18749.14411,0,1901-05-02T00:00:00.0000000,119,,,,
2016-08-01T00:00:00.0000000,7203834,COLBY HORSE PARK RES,22995.18506,64.6,5,CALL,2016-08-01T08:30:00.0000000,2016-08-08T14:00:00.0000000,PLATEAU CREEK,7200540,BLACKMAN DUNLAP CLARK D,27.29,7200858,ROSA DITCH,18749.14913,0,1901-05-02T00:00:00.0000000,,,,,
2016-08-02T00:00:00.0000000,7203834,COLBY HORSE PARK RES,22995.18506,100.0,5,CALL,2016-08-01T08:30:00.0000000,2016-08-08T14:00:00.0000000,PLATEAU CREEK,7200540,BLACKMAN DUNLAP CLARK D,27.29,7200858,ROSA DITCH,18749.14913,0,1901-05-02T00:00:00.0000000,,,,,
2016-08-03T00:00:00.0000000,7203834,COLBY HORSE PARK RES,22995.18506,100.0,5,CALL,2016-08-01T08:30:00.0000000,2016-08-08T14:00:00.0000000,PLATEAU CREEK,7200540,BLACKMAN DUNLAP CLARK D,27.29,7200858,ROSA DITCH,18749.14913,0,1901-05-02T00:00:00.0000000,,,,,
2016-08-04T00:00:00.0000000,7203834,COLBY HORSE PARK RES,22995.18506,100.0,5,CALL,2016-08-01T08:30:00.0000000,2016-08-08T14:00:00.0000000,PLATEAU CREEK,7200540,BLACKMAN DUNLAP CLARK D,27.29,7200858,ROSA DITCH,18749.14913,0,1901-05-02T00:00:00.0000000,,,,,
2016-08-05T00:00:00.0000000,7203834,COLBY HORSE PARK RES,22995.18506,100.0,5,CALL,2016-08-01T08:30:00.0000000,2016-08-08T14:00:00.0000000,PLATEAU CREEK,7200540,BLACKMAN DUNLAP CLARK D,27.29,7200858,ROSA DITCH,18749.14913,0,1901-05-02T00:00:00.0000000,,,,,
2016-08-06T00:00:00.0000000,7203834,COLBY HORSE PARK RES,22995.18506,100.0,5,CALL,2016-08-01T08:30:00.0000000,2016-08-08T14:00:00.0000000,PLATEAU CREEK,7200540,BLACKMAN DUNLAP CLARK D,27.29,7200858,ROSA DITCH,18749.14913,0,1901-05-02T00:00:00.0000000,,,,,
2016-08-07T00:00:00.0000000,7203834,COLBY HORSE PARK RES,22995.18506,100.0,5,CALL,2016-08-01T08:30:00.0000000,2016-08-08T14:00:00.0000000,PLATEAU CREEK,7200540,BLACKMAN DUNLAP CLARK D,27.29,7200858,ROSA DITCH,18749.14913,0,1901-05-02T00:00:00.0000000,,,,,
2016-08-08T00:00:00.0000000,7203834,COLBY HORSE PARK RES,22995.18506,58.3,5,CALL,2016-08-01T08:30:00.0000000,2016-08-08T14:00:00.0000000,PLATEAU CREEK,7200540,BLACKMAN DUNLAP CLARK D,27.29,7200858,ROSA DITCH,18749.14913,0,1901-05-02T00:00:00.0000000,,,,,
2016-08-08T00:00:00.0000000,7203834,COLBY HORSE PARK RES,22995.18506,41.7,5,CALL,2016-08-08T14:00:00.0000000,2016-08-13T09:00:00.0000000,PLATEAU CREEK,7200540,BLACKMAN DUNLAP CLARK D,27.29,7200662,HARDSCRABBLE DITCH,18749.16354,0,1901-05-02T00:00:00.0000000,,,,,
2016-08-09T00:00:00.0000000,7203834,COLBY HORSE PARK RES,22995.18506,100.0,5,CALL,2016-08-08T14:00:00.0000000,2016-08-13T09:00:00.0000000,PLATEAU CREEK,7200540,BLACKMAN DUNLAP CLARK D,27.29,7200662,HARDSCRABBLE DITCH,18749.16354,0,1901-05-02T00:00:00.0000000,,,,,
2016-08-10T00:00:00.0000000,7203834,COLBY HORSE PARK RES,22995.18506,100.0,5,CALL,2016-08-08T14:00:00.0000000,2016-08-13T09:00:00.0000000,PLATEAU CREEK,7200540,BLACKMAN DUNLAP CLARK D,27.29,7200662,HARDSCRABBLE DITCH,18749.16354,0,1901-05-02T00:00:00.0000000,,,,,
2016-08-11T00:00:00.0000000,7203834,COLBY HORSE PARK RES,22995.18506,100.0,5,CALL,2016-08-08T14:00:00.0000000,2016-08-13T09:00:00.0000000,PLATEAU CREEK,7200540,BLACKMAN DUNLAP CLARK D,27.29,7200662,HARDSCRABBLE DITCH,18749.16354,0,1901-05-02T00:00:00.0000000,,,,,
2016-08-12T00:00:00.0000000,7203834,COLBY HORSE PARK RES,22995.18506,100.0,5,CALL,2016-08-08T14:00:00.0000000,2016-08-13T09:00:00.0000000,PLATEAU CREEK,7200540,BLACKMAN DUNLAP CLARK D,27.29,7200662,HARDSCRABBLE DITCH,18749.16354,0,1901-05-02T00:00:00.0000000,,,,,
2016-08-13T00:00:00.0000000,7203834,COLBY HORSE PARK RES,22995.18506,37.5,5,CALL,2016-08-08T14:00:00.0000000,2016-08-13T09:00:00.0000000,PLATEAU CREEK,7200540,BLACKMAN DUNLAP CLARK D,27.29,7200662,HARDSCRABBLE DITCH,18749.16354,0,1901-05-02T00:00:00.0000000,,,,,
2016-08-13T00:00:00.0000000,7203834,COLBY HORSE PARK RES,22995.18506,62.5,5,CALL,2016-08-13T09:00:00.0000000,2016-08-15T10:00:00.0000000,PLATEAU CREEK,7200540,BLACKMAN DUNLAP CLARK D,27.29,7200703,HOOSIER DITCH,18749.15117,0,1901-05-02T00:00:00.0000000,,,,,
2016-08-14T00:00:00.0000000,7203834,COLBY HORSE PARK RES,22995.18506,100.0,5,CALL,2016-08-13T09:00:00.0000000,2016-08-15T10:00:00.0000000,PLATEAU CREEK,7200540,BLACKMAN DUNLAP CLARK D,27.29,7200703,HOOSIER DITCH,18749.15117,0,1901-05-02T00:00:00.0000000,,,,,
2016-08-15T00:00:00.0000000,7203834,COLBY HORSE PARK RES,22995.18506,41.7,5,CALL,2016-08-13T09:00:00.0000000,2016-08-15T10:00:00.0000000,PLATEAU CREEK,7200540,BLACKMAN DUNLAP CLARK D,27.29,7200703,HOOSIER DITCH,18749.15117,0,1901-05-02T00:00:00.0000000,,,,,
