analysisAdminNo,priorityAdminNo,wt,analysisStreamMile,analysisNetAbs,analysisWdid,priorityStreamMile,priorityNetAbs,priorityWdid
36718.0,20427.18999,3720.0,6.46,30.0,3700683,147.54,1250.0,5300584
22964.22029,20427.18999,3100.0,2.05,25.0,3600662,147.54,1250.0,5300584
36524.0,20427.18999,216057600.0,5.53,1742400.0,5303562,147.54,1250.0,5300584
54421.3835,20427.18999,22686048.0,223.43,182952.0,5303587,147.54,1250.0,5300584
47847.32872,20427.18999,13503600.0,0.34,108900.0,3703684,147.54,1250.0,5300584
22834.19832,20427.18999,540144000.0,4.11,4356000.0,3803742,147.54,1250.0,5300584
37446.0,20427.18999,1335668083.2,5.95,10771516.8,5303966,147.54,1250.0,5300584
22705.0,20427.18999,1479.32,5.63,11.93,5300780,147.54,1250.0,5300584
54421.51986,20427.18999,2700720.0,0.69,21780.0,3703977,147.54,1250.0,5300584
22702.2237,20427.18999,2108.0,21.6,17.0,3700642,147.54,1250.0,5300584
53325.53142,20427.18999,767004.4800000001,0.92,6185.52,3703937,147.54,1250.0,5300584
47827.0,20427.18999,3273272640.0,52.41,26397360.0,5003624,147.54,1250.0,5300584
51499.51328,20427.18999,32408640.0,0.49,261360.0,3703736,147.54,1250.0,5300584
47755.0,20427.18999,974635833.6,0.0,7859966.4,5003646,147.54,1250.0,5300584
22435.20605,20427.18999,2294.0,5.39,18.5,3704642,147.54,1250.0,5300584
55175.0,20427.18999,15880233.6,6.24,128066.4,5300755,147.54,1250.0,5300584
37465.0,20427.18999,17583469675.2,17.8,141802174.8,5303971,147.54,1250.0,5300584
42519.0,20427.18999,540144.0,1.21,4356.0,3703883,147.54,1250.0,5300584
22232.18808,20427.18999,151834478.4,4.11,1224471.6,5304004,147.54,1250.0,5300584
39446.0,20427.18999,2700720.0,3.0,21780.0,3703825,147.54,1250.0,5300584
47671.0,20427.18999,18600.0,226.65,150.0,5102036,147.54,1250.0,5300584
54617.0,20427.18999,56715120.0,222.2,457380.0,5303588,147.54,1250.0,5300584
53461.0,20427.18999,43211520.0,8.35,348480.0,5003671,147.54,1250.0,5300584
54421.22053,20427.18999,8102160.0,3.38,65340.0,3603674,147.54,1250.0,5300584
31175.0,20427.18999,319387147.2,200.7,2575702.8,5203946,147.54,1250.0,5300584
47888.0,20427.18999,10802880.0,2.12,87120.0,3703751,147.54,1250.0,5300584
42618.0,20427.18999,135468115.20000002,13.7,1092484.8,5303979,147.54,1250.0,5300584
53656.0,20427.18999,27007200.0,0.79,217800.0,5302027,147.54,1250.0,5300584
30894.29745,20427.18999,5115163680.0,22.2,41251320.0,3703520,147.54,1250.0,5300584
54250.0,20427.18999,2480.0,13.07,20.0,5002000,147.54,1250.0,5300584
48339.0,20427.18999,432115200.0,2.67,3484800.0,5003655,147.54,1250.0,5300584
53624.0,20427.18999,16204320.0,32.36,130680.0,3703908,147.54,1250.0,5300584
30894.29746,20427.18999,1888.52,3.96,15.23,3700682,147.54,1250.0,5300584
42557.0,20427.18999,290705500.8,6.55,2344399.2,5303972,147.54,1250.0,5300584
37202.0,20427.18999,1860.0,10.27,15.0,5300754,147.54,1250.0,5300584
53596.0,20427.18999,1204521.1199999999,0.91,9713.88,3703939,147.54,1250.0,5300584
42520.0,20427.18999,540144.0,20.08,4356.0,3703811,147.54,1250.0,5300584
54377.0,20427.18999,69440912640.0,13.16,560007360.0,5003668,147.54,1250.0,5300584
43829.22015,20427.18999,1686167524.8,4.94,13598125.2,5103688,147.54,1250.0,5300584
30894.300710000003,20427.18999,3564950.4,5.26,28749.6,3703524,147.54,1250.0,5300584
54420.0,20427.18999,1193718.24,2.61,9626.76,3703927,147.54,1250.0,5300584
51499.5125,20427.18999,101763129.60000001,2.91,820670.4,3703958,147.54,1250.0,5300584
48485.0,20427.18999,622191873.6,43.8,5017676.4,5003651,147.54,1250.0,5300584
50313.0,20427.18999,15500.0,29.76,125.0,3602047,147.54,1250.0,5300584
47884.0,20427.18999,25386768.0,0.34,204732.0,3703684,147.54,1250.0,5300584
