analysisWdid,analysisStructureName,locationWdid,locationStructure,sum_wtd_count
5003641,WHEATLEY DIVR POND NO 2,5300584,SHOSHONE POWER PLANT,163.5
3703953,BARRY POND NO 2,5300584,SHOSHONE POWER PLANT,163.5
3703911,KP POND NO. 2,5300584,SHOSHONE POWER PLANT,163.5
3703913,LISA POND,5300584,SHOSHONE POWER PLANT,163.5
3703914,BETTY POND,5300584,SHOSHONE POWER PLANT,163.5
3703924,KUNKEL RESERVOIR,5300584,SHOSHONE POWER PLANT,163.5
3703925,MCKENZIE UPPER POND,5300584,SHOSHONE POWER PLANT,163.5
3703926,MCKENZIE UPPER POND,5300584,SHOSHONE POWER PLANT,163.5
3703927,THOMPSON POND,5300584,SHOSHONE POWER PLANT,163.5
3703930,BRETT RANCH POND NO 2,5300584,SHOSHONE POWER PLANT,163.5
3703931,EWING POND,5300584,SHOSHONE POWER PLANT,163.5
3703934,COTTON RANCH POND NO 3,5300584,SHOSHONE POWER PLANT,163.5
3703935,COTTON RANCH POND NO 4,5300584,SHOSHONE POWER PLANT,163.5
3703936,BRANDON POND,5300584,SHOSHONE POWER PLANT,163.5
3703937,VANHEE POND NO 1,5300584,SHOSHONE POWER PLANT,163.5
3703938,VANHEE POND NO 2,5300584,SHOSHONE POWER PLANT,163.5
3703939,VANHEE POND NO 3,5300584,SHOSHONE POWER PLANT,163.5
3703943,GYPSUM POND SYSTEM,5300584,SHOSHONE POWER PLANT,163.5
3703944,BUCKHORN POND NO 1,5300584,SHOSHONE POWER PLANT,163.5
3703948,RED CANYON ESTATES POND # 11A,5300584,SHOSHONE POWER PLANT,163.5
3703949,RED CANYON ESTATES POND # 11B,5300584,SHOSHONE POWER PLANT,163.5
3703950,RED CANYON ESTATES POND # 11C,5300584,SHOSHONE POWER PLANT,163.5
3703951,NELSON # 1 POND,5300584,SHOSHONE POWER PLANT,163.5
3703910,KP POND NO. 1,5300584,SHOSHONE POWER PLANT,163.5
3703909,MILLER POND,5300584,SHOSHONE POWER PLANT,163.5
3703908,CHIPMAN POND,5300584,SHOSHONE POWER PLANT,163.5
3703892,CJC POND NO. 1,5300584,SHOSHONE POWER PLANT,163.5
3703877,TRACEYS RESERVOIR,5300584,SHOSHONE POWER PLANT,163.5
3703878,TRAER GULCH RESERVOIR,5300584,SHOSHONE POWER PLANT,163.5
3703879,UBRUCR RES 1,5300584,SHOSHONE POWER PLANT,163.5
3703880,UBRUCR RES 2,5300584,SHOSHONE POWER PLANT,163.5
3703882,USAWMILL GUL RESERVOIR,5300584,SHOSHONE POWER PLANT,163.5
3703883,VANHORN RESERVOIR,5300584,SHOSHONE POWER PLANT,163.5
3703884,W THIRD GUL RESERVOIR,5300584,SHOSHONE POWER PLANT,163.5
3703889,FEZ RESERVOIR,5300584,SHOSHONE POWER PLANT,163.5
3703891,GRAHAM POND,5300584,SHOSHONE POWER PLANT,163.5
3703893,CJC POND NO. 2,5300584,SHOSHONE POWER PLANT,163.5
3703907,HARDESTY POND 4,5300584,SHOSHONE POWER PLANT,163.5
3703898,TRAIL POND,5300584,SHOSHONE POWER PLANT,163.5
3703899,LUKE POND,5300584,SHOSHONE POWER PLANT,163.5
3703900,OLIVER POND,5300584,SHOSHONE POWER PLANT,163.5
3703901,SUBSTATION POND,5300584,SHOSHONE POWER PLANT,163.5
3703902,LOWER TRAVIS POND,5300584,SHOSHONE POWER PLANT,163.5
3703903,UPPER TRAVIS POND,5300584,SHOSHONE POWER PLANT,163.5
3703904,HARDESTY POND 1,5300584,SHOSHONE POWER PLANT,163.5
3703905,HARDESTY POND 2,5300584,SHOSHONE POWER PLANT,163.5
3703906,HARDESTY POND 3,5300584,SHOSHONE POWER PLANT,163.5
3703952,BARRY POND NO 1,5300584,SHOSHONE POWER PLANT,163.5
3703954,GYPSUM RANCH SAND & GRAVEL PIT,5300584,SHOSHONE POWER PLANT,163.5
5003625,MATHESON RESERVOIR,5300584,SHOSHONE POWER PLANT,163.5
3703955,CORDILLERA GOLF COURSE POND NO. 1,5300584,SHOSHONE POWER PLANT,163.5
3704038,HOLE 13 POND A,5300584,SHOSHONE POWER PLANT,163.5
3704039,HOLE 13 POND B,5300584,SHOSHONE POWER PLANT,163.5
3704040,HOLE 13 POND C,5300584,SHOSHONE POWER PLANT,163.5
3704041,HOLE 13 POND D,5300584,SHOSHONE POWER PLANT,163.5
3704042,RED FOX POND A,5300584,SHOSHONE POWER PLANT,163.5
3704043,RED FOX POND B,5300584,SHOSHONE POWER PLANT,163.5
3704044,CLUBHOUSE POND,5300584,SHOSHONE POWER PLANT,163.5
3704050,BRIGHTWATER CLUB POND NO. 3,5300584,SHOSHONE POWER PLANT,163.5
3704051,BRIGHTWATER CLUB POND NO. 4,5300584,SHOSHONE POWER PLANT,163.5
3704052,BRIGHTWATER CLUB POND NO. 5,5300584,SHOSHONE POWER PLANT,163.5
3704065,CROTZER POND,5300584,SHOSHONE POWER PLANT,163.5
3704078,BRUSH CREEK ROAD AUG POND,5300584,SHOSHONE POWER PLANT,163.5
3704093,JONES CASTLE CREEK POND NO. 2,5300584,SHOSHONE POWER PLANT,163.5
3704516,HOMESTAKE PROJ RESERVOIR,5300584,SHOSHONE POWER PLANT,163.5
3704614,HOMESTAKE PROJ TUNNEL,5300584,SHOSHONE POWER PLANT,163.5
3704643,HOMESTAKE PROJ CONDUIT,5300584,SHOSHONE POWER PLANT,163.5
5000576,HAYPARK CANAL HGT NO 1,5300584,SHOSHONE POWER PLANT,163.5
5000762,MCMAHON DITCH (DEER CR),5300584,SHOSHONE POWER PLANT,163.5
5002000,MIN FLOW MUDDY CREEK,5300584,SHOSHONE POWER PLANT,163.5
5003620,INFANGER RESERVOIR NO 2,5300584,SHOSHONE POWER PLANT,163.5
5003621,INFANGER RESERVOIR NO 3,5300584,SHOSHONE POWER PLANT,163.5
3704037,HOLE 2 POND E,5300584,SHOSHONE POWER PLANT,163.5
3704036,HOLE 2 POND D,5300584,SHOSHONE POWER PLANT,163.5
3704035,HOLE 2 POND C,5300584,SHOSHONE POWER PLANT,163.5
3703990,RED CANYON POND 15 (A),5300584,SHOSHONE POWER PLANT,163.5
3703956,CORDILLERA GOLF COURSE POND NO. 2,5300584,SHOSHONE POWER PLANT,163.5
3703958,CORDILLERA GOLF COURSE POND NO. 4,5300584,SHOSHONE POWER PLANT,163.5
3703960,CORDILLERA GOLF COURSE POND NO. 6,5300584,SHOSHONE POWER PLANT,163.5
3703969,CORDILLERA RES NO. 1,5300584,SHOSHONE POWER PLANT,163.5
3703976,CALHOUN POND NO.1,5300584,SHOSHONE POWER PLANT,163.5
3703977,CALHOUN-BUDDY'S POND,5300584,SHOSHONE POWER PLANT,163.5
3703983,BUD'S UPPER POND,5300584,SHOSHONE POWER PLANT,163.5
3703984,RIPPY POND,5300584,SHOSHONE POWER PLANT,163.5
3703987,BEAVER CR SNOWMAKING RES NO 1,5300584,SHOSHONE POWER PLANT,163.5
3703991,RED CANYON POND 15 (B),5300584,SHOSHONE POWER PLANT,163.5
3704034,HOLE 2 POND B,5300584,SHOSHONE POWER PLANT,163.5
3703992,RED CANYON POND 15C,5300584,SHOSHONE POWER PLANT,163.5
3703993,BERRY CREEK POND,5300584,SHOSHONE POWER PLANT,163.5
3703995,GART POND,5300584,SHOSHONE POWER PLANT,163.5
3704015,HARTLAND POND NO 1,5300584,SHOSHONE POWER PLANT,163.5
3704016,HARTLAND POND NO 2,5300584,SHOSHONE POWER PLANT,163.5
3704017,HARTLAND POND NO 3,5300584,SHOSHONE POWER PLANT,163.5
3704021,TIMBER SPRINGS LOT 2 WATER FEATURE,5300584,SHOSHONE POWER PLANT,163.5
3704022,TIMBER SPRINGS LOT 5 WATER FEATURE,5300584,SHOSHONE POWER PLANT,163.5
3704033,HOLE 2 POND A,5300584,SHOSHONE POWER PLANT,163.5
5103528,SUNSET RIDGE POND,5300584,SHOSHONE POWER PLANT,163.5
5103665,HANKINSON RESERVOIR,5300584,SHOSHONE POWER PLANT,163.5
5103530,SKUNK CREEK RESERVOIR NO 3,5300584,SHOSHONE POWER PLANT,163.5
5303952,A J RESERVOIR,5300584,SHOSHONE POWER PLANT,163.5
5303513,GALLEGOS RANCH POND NO.4,5300584,SHOSHONE POWER PLANT,163.5
5303514,OLSON POND,5300584,SHOSHONE POWER PLANT,163.5
5303515,SHOP POND,5300584,SHOSHONE POWER PLANT,163.5
5303520,SKELTON DUCK POND,5300584,SHOSHONE POWER PLANT,163.5
5303536,HANGING LAKE,5300584,SHOSHONE POWER PLANT,163.5
5303543,LOST LAKE,5300584,SHOSHONE POWER PLANT,163.5
5303562,UP IS LAKE,5300584,SHOSHONE POWER PLANT,163.5
5303565,W DEAD HORSE RESERVOIR,5300584,SHOSHONE POWER PLANT,163.5
5303567,GUILMINEAU POND NO 1,5300584,SHOSHONE POWER PLANT,163.5
5303568,GUILMINEAU POND NO 2,5300584,SHOSHONE POWER PLANT,163.5
5303587,KIDS POND,5300584,SHOSHONE POWER PLANT,163.5
5303589,HOUSE POND,5300584,SHOSHONE POWER PLANT,163.5
5303590,TRAILER POND,5300584,SHOSHONE POWER PLANT,163.5
5303595,VICKI  RESERVOIR,5300584,SHOSHONE POWER PLANT,163.5
5303598,YARMONY LODGE POND A,5300584,SHOSHONE POWER PLANT,163.5
5303599,YARMONY LODGE POND B,5300584,SHOSHONE POWER PLANT,163.5
5303600,YARMONY LODGE POND C,5300584,SHOSHONE POWER PLANT,163.5
5303601,BAILEY MESA POND NO. 1,5300584,SHOSHONE POWER PLANT,163.5
5303603,TRR CAMERON POND,5300584,SHOSHONE POWER PLANT,163.5
5303604,TRR UPPER RECR POND,5300584,SHOSHONE POWER PLANT,163.5
5303605,TRR LOWER RECR POND,5300584,SHOSHONE POWER PLANT,163.5
5303512,GALLEGOS RANCH POND NO.3,5300584,SHOSHONE POWER PLANT,163.5
5303511,GALLEGOS RANCH POND NO.2,5300584,SHOSHONE POWER PLANT,163.5
5303510,GALLEGOS RANCH POND NO.1,5300584,SHOSHONE POWER PLANT,163.5
5300594,GRIMES BROOKS FDR2 D HG2,5300584,SHOSHONE POWER PLANT,163.5
5204013,TRIANGLE RESERVOIR,5300584,SHOSHONE POWER PLANT,163.5
5204014,TWINPINE RESERVOIR,5300584,SHOSHONE POWER PLANT,163.5
5204018,UNCAPHER SPR RESERVOIR,5300584,SHOSHONE POWER PLANT,163.5
5204019,WALTER RESERVOIR,5300584,SHOSHONE POWER PLANT,163.5
5204020,WASPRE PI21 RESERVOIR,5300584,SHOSHONE POWER PLANT,163.5
5204024,RIVER RANCH POND,5300584,SHOSHONE POWER PLANT,163.5
5204029,MARBLE POND,5300584,SHOSHONE POWER PLANT,163.5
5204030,WAPITI POND,5300584,SHOSHONE POWER PLANT,163.5
5204031,SPRUCE  POND,5300584,SHOSHONE POWER PLANT,163.5
