WDID,Y,X,Gridcell
72_ADC059,39.19606689,-107.9820853,x137y114
72_ADC060,39.15968998,-108.019071,x136y114
72_ADC061,39.15697857,-108.0594098,x136y114
72_ADC062,39.15290342,-108.1153043,x135y114
72_ADC063,39.1169481,-108.1457796,x135y113
72_ADC064,39.15617499,-108.1913945,x135y114
72_ADC065,39.36444275,-108.7426223,x131y115
72_GJMun,39.127617,-108.325965,x134y114
72_UWCD,39.193588,-108.0646,x136y114
MoffatBF,39.887233,-105.761203,x154y120
