adminNumber,streamMile,netAbs,wdid,latitude,longitude,adjudicationDate
15515.14376,3.71,100,3800869,39.16192,-106.847064,10/1/2009
15667.15066,0,169971120,3903505,39.605834,-107.66081,10/1/2009
15928,9.2,28.8,5300800,39.898968,-107.062074,7/17/2002
16223,1.85,12.5,3600832,39.856752,-106.365993,3/2/2010
16241.15813,6.02,15,3900540,39.652202,-107.49984,10/1/2009
16251.14832,5.26,1776376.8,3703524,39.479397,-106.735913,3/5/2001
16283,8.64,17801665.2,4503574,39.373511,-107.934014,10/1/2009
16588,8.79,30,5100584,39.970003,-106.159007,8/11/2006
16954,56.47,2709432,3601044,39.475293,-106.047168,3/2/2010
18367,5.26,1146934.8,3703524,39.479397,-106.735913,3/5/2001
18519,4.41,3005640,5000585,40.142082,-106.466124,8/11/2006
18536,4.72,50,5100530,39.911399,-105.877526,8/11/2006
18749.14154,27.85,11.07,7200703,39.262877,-107.887599,10/14/2005
18749.15919,14.67,34325280,7203904,39.080445,-107.888121,10/14/2005
18749.1595,13.07,68868360,7203905,39.096022,-107.885925,10/14/2005
18749.15973,13.74,12564010.8,7203906,39.07771,-107.915472,10/14/2005
18749.16276,10.44,80498880,7203923,39.075576,-107.967867,10/14/2005
18749.16296,13.66,4965840,7203907,39.08139,-107.919958,10/14/2005
18749.16649,11.57,8755560,7203885,39.065958,-108.069643,10/14/2005
18749.17015,11.37,6969600,7203925,39.075203,-107.951717,10/14/2005
18749.1738,10.89,8712000,7203926,39.087852,-107.954869,10/14/2005
18749.17412,12.34,41699988,7203909,39.104371,-107.901609,10/14/2005
18749.18415,12.1,8494200,7203884,39.064742,-108.062101,10/14/2005
18871,1.59,15,3600801,39.879016,-106.389365,3/2/2010
18940,1.59,15,3600803,39.86778,-106.387677,3/2/2010
18941,277.89,150,5100848,40.251869,-105.867817,8/11/2006
18977.11832,6.37,17.44,3800720,39.245671,-107.037043,6/2/2002
19145.11505,2.04,15,3801095,39.294473,-107.004611,6/21/2002
19145.18871,108.66,200,3900752,39.524197,-107.792254,7/11/2002
19190.15156,25.29,2999977.2,5303995,40.018428,-106.9404,11/14/2004
19267,4.41,8624880,5000585,40.142082,-106.466124,8/11/2006
19306.17802,3.03,25.6,3900638,39.620788,-107.546725,12/19/2002
19313.14878,7.67,19,3800840,39.326386,-107.209097,12/12/2002
19313.16293,10.09,31.8,3800651,39.293947,-107.21552,12/12/2002
19394,8.79,120,5100529,39.970031,-106.158973,8/11/2006
19410,6.26,20,5100948,40.084556,-105.816524,8/11/2006
19437,25.29,11666674.8,5303995,40.018428,-106.9404,11/14/2004
19573.1368,0.98,12,5300585,39.569679,-107.292547,12/9/2003
19597,4.41,914760,5000585,40.142082,-106.466124,8/11/2006
19635,11.71,14.5,5100788,39.939512,-106.136288,8/11/2006
19650,4.41,1306800,5000585,40.142082,-106.466124,8/11/2006
19720.1962,9.58,8712000,3903506,39.704996,-107.875395,3/18/2004
19805.18387,12.81,150,4500576,39.346955,-107.588768,3/25/2004
19888,21.09,2159704.8,5303993,40.043498,-106.875987,11/14/2004
19967,8.79,111,5100529,39.970031,-106.158973,8/11/2006
20041.19206,46.85,58,3800981,39.180601,-106.802566,1/21/2005
20041.19518,9.63,14178780,5303986,40.084422,-106.701838,8/14/2005
20196.16192,7.94,12.25,4500725,39.391925,-107.601793,4/19/2005
20198.13657,7.61,118047.6,7003589,39.412027,-108.416573,6/1/2005
20239.16595,3.01,31.8,3803737,39.49197,-107.087238,6/1/2005
20239.19006,11.83,50,3801038,39.272698,-107.225202,6/1/2005
20242.19143,13.9,13,3800881,39.467102,-107.062596,8/1/2005
20314.19318,8.95,25,5300657,40.003026,-106.687615,12/5/2005
20332,6.73,55756.8,5103658,39.990456,-106.291506,8/11/2006
20333,12.97,8712,3603560,39.578608,-105.864843,3/2/2010
20382,13.51,14,5000606,40.213675,-106.311416,8/11/2006
20414.19495,14.19,689119.2,3903501,39.760633,-107.698743,3/6/2006
20416.18397,7.94,16.67,4500725,39.391925,-107.601793,3/3/2006
20427.18788,14.81,1256270.4,3703528,39.476733,-106.889881,6/4/2007
20427.18999,147.54,1250,5300584,39.587911,-107.193675,12/9/2007
20427.19252,10.38,11.3,5300767,39.800312,-107.159055,12/9/2007
20427.19478,5.26,850726.8,3703524,39.479397,-106.735913,6/4/2007
20427.19981,10.06,13416480,3703530,39.792468,-106.746193,6/4/2007
20427.20179,5.26,1748062.8,3703524,39.479397,-106.735913,6/4/2007
20427.20223,5.26,17424,3703524,39.479397,-106.735913,6/4/2007
20518.15125,4.83,871200,4503584,39.435073,-107.746266,8/18/2006
20676.13665,2.25,22.82,5100546,40.136722,-105.928877,8/3/2011
20676.13818,236.23,11,5100763,40.055336,-106.284165,8/3/2011
20676.14748,264.14,20.875,5100585,40.127212,-105.88984,8/3/2011
20676.14883,5.62,973130.4,5003631,40.236874,-106.506624,8/3/2011
20676.16801,4.72,25.22,5100593,39.911508,-105.877497,8/3/2011
20676.17302,19.77,30666240,5101236,39.84921,-106.068078,8/3/2011
20676.19173,32.03,53.4,5104625,39.79902,-105.77669,8/3/2011
20676.19665,9.49,24,5000539,40.168934,-106.298658,8/3/2011
20676.19722,3.46,532738.8,5103696,39.921815,-106.156825,8/3/2011
20676.19822,3.29,2040786,5003616,40.196426,-106.45715,8/3/2011
20676.19919,4.42,5227200,3603705,40.005825,-106.326263,8/3/2011
20676.20258,6.25,1702324.8,5103654,39.933637,-106.17469,8/3/2011
20694,5.26,151153.2,3703524,39.479397,-106.735913,6/4/2007
20882,7.47,526640.4,5103666,39.980547,-106.294908,8/3/2011
21125,6.18,49385714.4,5103701,39.983164,-106.121448,8/3/2011
21323.19832,1.21,12.73,4500790,39.464832,-107.612259,7/1/2008
21397,6.16,41.36,5000653,40.134811,-106.288257,8/3/2011
21497.18744,2.72,25.4,3801481,39.502391,-107.160375,11/10/2008
21498.20315,3.31,7405200,3803734,39.403428,-107.038793,11/14/2008
21522.18584,13.08,28.65,3800712,39.417669,-107.232604,12/5/2008
21561.16618,10.27,15,5300704,39.93012,-107.069714,2/26/2010
21684,3.43,22.75,5000631,40.199319,-106.459783,8/3/2011
21814,2.37,63.5,5100941,40.074483,-105.85757,8/3/2011
21852.14986,11.79,13,3800653,39.189722,-106.985555,3/1/2010
21853,12.25,86,5000593,40.19878,-106.309966,8/3/2011
21914,3.56,522720,3804197,39.421763,-106.970849,12/31/1972
21971.20226,7.82,527947.2,5303964,39.979321,-106.674658,11/14/2010
21978.21687,3.94,5209776,3803728,39.532875,-107.208463,4/30/2010
22020.20596,3.95,14.43,4500627,39.375153,-107.642966,4/29/2010
22061,5.91,25,5100810,40.136511,-106.20092,8/3/2011
22232.09029,2.23,21,5300870,40.065448,-106.432667,11/10/2013
22232.18808,4.11,1224471.6,5304004,39.944945,-106.813937,11/10/2013
22435.20605,5.39,18.5,3704642,39.36515,-106.29201,11/13/2011
22494.1966,4.41,6272640,5000585,40.142082,-106.466124,3/20/2015
22494.20254,5.04,14.5,5000584,40.25115,-106.503945,3/20/2015
22494.20897,4.41,653400,5000585,40.142082,-106.466124,3/20/2015
22494.20968,4.41,1176120,5000585,40.142082,-106.466124,3/20/2015
22494.2097,4.41,261360,5000585,40.142082,-106.466124,3/20/2015
22494.21699,4.41,653400,5000585,40.142082,-106.466124,3/20/2015
22494.21701,4.41,3136320,5000585,40.142082,-106.466124,3/20/2015
22494.22423,10.86,148104000,5000617,40.160817,-106.559201,3/20/2015
22596.11962,2.21,30,3700514,39.550449,-106.42137,2/27/2012
22702.2237,21.6,17,3700642,39.689736,-106.746039,6/3/2012
22705,5.63,11.93,5300780,39.898668,-106.992658,11/10/2013
22722.20553,7.21,7100280,3903507,39.681007,-107.649098,4/3/2012
22729.11922,53.09,520.81,7200645,39.101353,-108.350223,7/22/2012
22729.13971,76.68,14.39,4500861,39.331377,-108.204942,7/22/2012
22729.14519,54.37,573,7200817,39.118273,-108.335172,7/22/2012
22729.14873,12.41,10405612.8,7203873,39.045698,-108.090524,7/22/2012
22729.15612,12.1,12099225.6,7203874,39.057351,-108.085308,7/22/2012
22729.15938,11.75,10757577.6,7203871,39.050688,-108.096593,7/22/2012
22729.16437,82.62,39.11,4500969,39.382585,-108.129986,7/22/2012
22729.17158,12.09,2125728,7203872,39.048877,-108.090844,7/22/2012
22729.1816,12.1,8674102.8,7203874,39.057351,-108.085308,7/22/2012
22729.18783,11.84,686070,7203875,39.054234,-108.092843,7/22/2012
22729.19544,54.37,667,7200783,39.118356,-108.335208,7/22/2012
22729.21116,61.8,450,7200646,39.188796,-108.282621,7/22/2012
22729.21241,61.8,730,7200646,39.188796,-108.282621,7/22/2012
22834.19832,4.11,4356000,3803742,39.487835,-107.075127,7/20/2012
22922.22146,7.61,1690128,7003604,39.375738,-108.53273,11/16/2012
22964.22029,2.05,25,3600662,39.857656,-106.346406,11/16/2012
22995.16649,10.05,7187400,7203924,39.081226,-107.984054,6/1/2016
22995.1781,3.1,152460000,7203839,39.068302,-107.802107,6/1/2016
22995.1811,8.81,19602000,7203934,39.10153,-107.955856,6/1/2016
22995.18425,3.11,54,7204715,39.06777,-107.806639,6/1/2016
22995.18506,10.08,19440828,7203834,39.081224,-107.791869,6/1/2016
22995.22106,10.44,3979206,7203923,39.075576,-107.967867,6/1/2016
22995.2243,5.71,12336192,7203849,39.35932,-107.880454,6/1/2016
23187.20939,8.32,4356000,3803725,39.235534,-107.008064,6/28/2013
23378.20946,8.19,12.64,4500519,39.419586,-107.826886,1/6/2014
23432.22125,31.86,12670732.8,7203920,39.475295,-108.637505,2/28/2014
23454.19691,2.41,1465358.4,5103664,39.995981,-106.235996,3/18/2015
23454.2219,5.31,2830093.2,5103679,39.949755,-106.183436,3/18/2015
23454.22207,7.5,1742400,5103680,40.050559,-105.936839,3/18/2015
23454.23278,3.97,1078110,5103681,40.012316,-106.112621,3/18/2015
23531,6.32,1081159.2,5103656,39.921766,-106.171522,3/18/2015
23542,4.28,170319.6,5103677,39.981501,-106.253729,3/18/2015
23802.2374,3.41,27.7,3700539,39.614502,-106.96348,6/7/2015
24262.24262,10.21,2885414.4,5203950,39.846678,-106.50091,7/17/2016
24263.2344,5.26,45302.4,3703524,39.479397,-106.735913,7/17/2016
24430.17728,3.53,474368.4,3803751,39.514123,-107.091286,3/16/2017
24430.20619,6.06,762300,3803755,39.538267,-107.086231,3/16/2017
24446,14.39,435600000,3904013,39.576638,-108.030001,12/31/1987
24626.23911,0,12,5200633,39.872865,-106.827026,6/13/2021
24626.24301,10.17,32,5300547,39.739431,-107.201625,3/5/2018
24650,1.2,1951923.6,5103676,40.093915,-106.085491,8/11/2017
24694.24042,2.44,1649181.6,5103663,39.980194,-106.217393,7/12/2019
24983,12.03,348480,5103662,39.944995,-106.122751,7/12/2019
25086.22641,5.42,121111174.8,3803744,39.435393,-107.089115,9/27/2018
25246.16605,10.35,4010133.6,7203890,39.066367,-108.017924,8/16/2020
25246.18949,8.89,6806685.6,7203893,39.076336,-108.037533,8/16/2020
25375.19691,6.15,13249863,3700927,39.737076,-106.844778,11/10/2019
25376.19283,26.15,4673988,5303962,40.028811,-106.95723,11/15/2020
25394.22387,1.72,724838.4,5103646,40.127208,-105.994189,8/5/2022
25758.20697,1.74,49,4500704,39.459302,-107.625268,11/26/2020
25924.24919,18.46,4477968,3604923,39.368315,-106.182027,11/26/2021
25942.19967,1.89,1494108,3803740,39.513822,-107.141455,1/17/2021
25942.2024,1.89,155944.8,3803741,39.511034,-107.14558,1/17/2021
25949.17783,2.45,25918200,3803722,39.519347,-107.144277,2/15/2021
26125.25505,4.22,2334816,5000693,40.232232,-106.505628,8/5/2022
26348.22213,2.99,811087.2,4503581,39.441905,-107.937151,8/1/2022
26429,11.71,11.5,5100788,39.939512,-106.136288,8/5/2022
26474.22035,26.64,170319.6,3701370,39.700893,-106.674286,11/13/2022
26614.25902,0.27,11.9,3700590,39.524949,-106.404452,10/30/2023
27132.27059,1.28,38.13,7000521,39.49045,-108.321926,1/11/1937
27925.24026,3.54,31.76,5300678,39.900102,-107.094302,11/12/2028
27960.23921,4.41,784080,5000585,40.142082,-106.466124,7/22/2026
28394.22461,25.34,20,3800805,39.320233,-106.66729,1/9/2028
28394.2611,35.13,52272000,3803732,39.272964,-106.508566,1/9/2028
28394.27299,5.21,50,3801761,39.296696,-106.520276,1/9/2028
28394.27306,7.99,25,3801760,39.252492,-106.503571,1/9/2028
28394.28365,5.91,70,3801762,39.277735,-106.526034,1/9/2028
29022.25372,5.61,4870008,3604626,39.622948,-105.79142,1/9/1930
29228.28284,18.46,30,3604923,39.368315,-106.182027,2/27/1931
29228.28408,18.46,50,3604923,39.368315,-106.182027,2/27/1931
29437.25459,5.16,2252052,5203948,39.770402,-106.903315,8/30/1946
29484.20209,26.65,20,3800757,39.357198,-107.026504,1/12/1931
29531,1,4356,3703842,39.504999,-106.813199,12/31/1972
29642.28956,18.46,55,3604923,39.368315,-106.182027,8/22/1932
30170.22738,1.21,24.58,4500790,39.464832,-107.612259,6/22/1939
30180.19612,8.86,5856206.4,5303991,40.039395,-106.748961,9/12/1936
30184.14246,3.45,71995968,3603538,39.835406,-106.316827,10/26/1937
30184.21915,4.84,16,3604685,39.413501,-105.967911,10/26/1937
30184.23526,28.69,17.1,3600660,39.795947,-106.163345,10/26/1937
30184.29071,0.41,40,3604689,39.373721,-106.054549,10/26/1937
30184.29584,3.57,18.33,3600709,40.012803,-106.383593,10/26/1937
30194.15523,5.26,787564.8,3703524,39.479397,-106.735913,3/13/1933
30506.14397,3.21,15,5000734,40.062836,-106.393727,12/14/1935
30845.19052,1.54,18.6,3800853,39.187907,-106.834962,7/25/1934
30870.1401,2.12,647301.6,5103683,40.074045,-106.040609,11/5/1937
30870.2208,6.94,657756,5103714,40.150374,-106.210674,11/5/1937
30870.26117,25.36,928,5104655,39.887233,-105.761203,11/5/1937
30894.17657,2.12,13.16,3700560,39.615485,-106.614854,10/3/1936
30894.18061,36.6,11.92,3700658,39.63714,-106.546979,10/3/1936
30894.24592,5.26,91476,3703524,39.479397,-106.735913,10/3/1936
30894.26571,21.44,11.83,3700848,39.688493,-106.748421,10/3/1936
30894.26783,5.26,391168.8,3703524,39.479397,-106.735913,10/3/1936
30894.26906,4.95,14.91,3700857,39.623455,-106.773835,10/3/1936
30894.28011,21.6,20.42,3700642,39.689736,-106.746039,10/3/1936
30894.29013,2.2,85,3704648,39.354099,-106.352703,10/3/1936
30894.2934,5.26,43995.6,3703524,39.479397,-106.735913,10/3/1936
30894.29391,7.14,30,3704641,39.375708,-106.234958,10/3/1936
30894.29745,22.2,41251320,3703520,39.467583,-106.778274,10/3/1936
30894.29746,3.96,15.23,3700682,39.448937,-106.777962,10/3/1936
30894.30071,5.26,28749.6,3703524,39.479397,-106.735913,10/3/1936
30895.11922,53.09,300,7200645,39.101353,-108.350223,7/25/1941
30895.16437,82.62,25,4500969,39.382585,-108.129986,7/25/1941
30895.21241,61.8,1020,7200646,39.188796,-108.282621,7/25/1941
30895.2259,12.01,5893668,7203914,39.129937,-107.851034,7/25/1941
30895.22591,12.02,3288780,7203915,39.125849,-107.847891,7/25/1941
30895.22592,12.62,14171810.4,7203883,39.065295,-108.055098,7/25/1941
30895.22593,38.5,958320,7203841,39.211524,-107.751308,7/25/1941
30895.22594,38.5,740520,7203841,39.211524,-107.751308,7/25/1941
30895.22596,6.81,2395800,7203919,39.185266,-107.894196,7/25/1941
30895.22597,12.47,5096520,7203901,39.075693,-108.056619,7/25/1941
30895.226,11.01,2626668,7203931,39.080914,-107.952452,7/25/1941
30895.22604,12.34,18425880,7203909,39.104371,-107.901609,7/25/1941
30895.22606,12.62,27007.2,7203883,39.065295,-108.055098,7/25/1941
30895.22872,7.97,5629258.8,7203902,39.08269,-108.044387,7/25/1941
30895.2321,10.43,3952634.4,7203929,39.062514,-107.995665,7/25/1941
30895.23491,53.09,119.47,7200645,39.101353,-108.350223,7/25/1941
30895.23496,82.62,16.89,4500969,39.382585,-108.129986,7/25/1941
30895.24033,7.76,130680,7203918,39.15675,-107.905406,7/25/1941
30895.24988,61.8,23.5,7200646,39.188796,-108.282621,7/25/1941
30895.25758,9.79,5471136,7203888,39.068807,-108.021762,7/25/1941
30895.26137,1.41,2090880,7203913,39.121231,-107.889503,7/25/1941
30895.26526,9.32,3647278.8,7203895,39.076819,-108.006422,7/25/1941
30895.26528,11.01,4830368.4,7203931,39.080914,-107.952452,7/25/1941
30895.27237,10.3,1463746.68,7203903,39.127065,-107.892894,7/25/1941
30895.29764,10.39,2178000,7203928,39.080473,-107.967333,7/25/1941
30895.29903,12.47,3898620,7203901,39.075693,-108.056619,7/25/1941
30895.30608,0.88,3789720,7203837,39.113979,-107.806762,7/25/1941
30941.1331,1,15,3800768,39.202733,-106.808204,8/25/1936
30941.1467,19.93,33.2,3800528,39.399815,-107.119918,8/25/1936
30941.1472,17.91,21.56,3801062,39.399768,-107.154835,8/25/1936
30941.14723,27.73,12.24,3800715,39.346417,-107.013347,8/25/1936
30941.14761,17.66,42.68,3800996,39.400525,-107.159049,8/25/1936
30941.14776,4.59,14,3800547,39.367164,-107.202849,8/25/1936
30941.14916,22.77,14.821,3800740,39.374939,-107.084595,8/25/1936
30941.17592,5.23,20,3801012,39.271569,-106.958102,8/25/1936
30941.18377,23.72,20.06,3800968,39.369826,-107.070723,8/25/1936
30941.18949,13.08,17.238,3800712,39.417669,-107.232604,8/25/1936
30941.19238,3.56,536005.8,3803743,39.421753,-106.970895,8/25/1936
30941.20701,11.75,22.89,3800890,39.198128,-106.986387,8/25/1936
30941.20923,26.65,16.5,3800757,39.357198,-107.026504,8/25/1936
30941.21064,5.12,15.68,3801078,39.273262,-106.958137,8/25/1936
30941.23845,15.11,11.2,3800920,39.40545,-107.2019,8/25/1936
30941.23895,4.46,25,3800970,39.368861,-107.202217,8/25/1936
30941.24258,0.14,13.34,3800606,39.256193,-106.84895,8/25/1936
30941.25336,4.36,65485054.8,3803729,39.47956,-107.359221,8/25/1936
30941.25658,4.01,36.24,3800574,39.375094,-107.201809,8/25/1936
30941.26945,7.67,21.5,3800840,39.326386,-107.209097,8/25/1936
30941.28447,3.83,176749.056,3803745,39.316584,-107.163043,8/25/1936
30941.28641,3.98,18,3800924,39.253243,-106.838136,8/25/1936
30941.29454,6.72,625,3804617,39.0789,-106.613323,8/25/1936
30953,8.14,24850980,7203858,39.081538,-108.217863,7/25/1941
31031.27818,4.93,19.72,3900635,39.476396,-108.100497,1/4/1937
31160,4.92,1199990.88,7203853,39.105217,-108.255979,7/25/1941
31175,200.7,2575702.8,5203946,39.83571,-106.690446,8/30/1946
31258,266.45,23686098480,5104055,40.148114,-105.865992,10/12/1955
31259.30133,8.03,222156000,5103686,40.052502,-105.752172,11/5/1937
31272,18.46,190,3604923,39.368315,-106.182027,10/26/1937
31333,8.39,2718144,7203889,39.088724,-108.011156,7/25/1941
31359,2.22,4078827720,5103709,40.035047,-106.205338,11/5/1937
31393.23745,3.34,10628640,5003606,40.212187,-106.382669,7/13/1938
31393.26176,4.05,2913728.4,5003643,40.233676,-106.503109,7/13/1938
31393.29065,4.92,10454400,5003627,40.138271,-106.473643,7/13/1938
31393.30163,5.34,2623183.2,5003637,40.248682,-106.508229,7/13/1938
31393.31206,6.6,24.5,5000601,40.356447,-106.571609,7/13/1938
31499,47.27,163785.6,7203964,39.052486,-108.425353,7/25/1941
31566,18.46,55,3604923,39.368315,-106.182027,10/26/1937
31780.2275,5.48,11.2,3900548,39.644321,-107.446489,1/9/1937
31983.21512,7.6,895593.6,3703516,39.753303,-106.852015,2/7/1956
31983.22492,9.27,3053556,3703517,39.76648,-106.866727,2/7/1956
32054,1.86,1150419.6,5203940,39.951577,-106.461995,8/30/1946
32075.09324,1.89,13.4,3600687,39.768836,-106.181301,3/10/1952
32075.1461,5.49,86998032,3603533,39.795581,-106.270854,3/10/1952
32075.18262,3.57,17.85,3600709,40.012803,-106.383593,3/10/1952
32075.1894,1.59,15,3600803,39.86778,-106.387677,3/10/1952
32075.19601,41.95,1742400,3603534,39.652326,-106.074459,3/10/1952
32075.20453,0.57,13.79,3600796,39.813944,-106.203719,3/10/1952
32075.22262,2.97,15184580.4,3603548,39.845824,-106.349786,3/10/1952
32075.2366,1.56,22,3600649,39.772565,-106.178702,3/10/1952
32075.23878,3.5,14,3600645,39.838853,-106.35029,3/10/1952
32075.28032,40.18,18.67,3600734,39.671478,-106.08953,3/10/1952
32075.30102,1.56,12.39,3600649,39.772565,-106.178702,3/10/1952
32075.31166,33.99,18.8,3600671,39.736577,-106.13337,3/10/1952
32075.31563,2.97,24955959.6,3603548,39.845824,-106.349786,3/10/1952
32085.32039,3.93,1581228,5103684,39.986141,-105.984065,7/13/1938
32309,1.79,6838920,3603565,39.583053,-105.996948,3/10/1952
32335.11677,226.93,12,5000613,40.045833,-106.393731,7/17/1941
32335.11971,227.74,12,5000612,40.048666,-106.384052,7/17/1941
32335.22424,2.71,1593860.4,5003612,40.253965,-106.41001,7/17/1941
32347,4.09,1386079.2,5203936,39.832426,-106.597335,8/30/1946
32644,26.22,5174928,3804184,39.316526,-106.640679,12/31/1972
32653,52.41,8581320,5003624,40.346619,-106.605395,7/17/1941
32733,6.36,26621258.4,5000574,40.163442,-106.491878,7/17/1941
32871,3,21780,3703858,39.677752,-106.523958,12/31/1972
32907.15565,4.46,65,3800854,39.163787,-106.880651,8/25/1949
32907.31655,1.19,15.26,3801073,39.273971,-106.87351,8/25/1949
32907.31989,1.65,24,3804680,39.316429,-107.405447,8/25/1949
32959.25995,0.85,21.1935,3900687,39.578272,-107.545778,1/11/1943
32977,1.16,33671880,5003642,40.32765,-106.517349,7/17/1941
33012,7.56,1934064,3703814,39.542781,-106.220878,12/31/1972
33023.1952,5.95,7787656.8,5303966,39.990398,-106.815526,2/7/1956
33023.28989,147.54,158,5300584,39.587911,-107.193675,2/7/1956
33025,3.21,51.75,5000734,40.062836,-106.393727,7/17/1941
33063.12023,236.23,24,5100763,40.055336,-106.284165,10/1/1940
33070,13.51,62.25,5000606,40.213675,-106.311416,7/17/1941
33094,4.56,18658490.4,3603569,39.804933,-106.262959,3/10/1952
33099.32262,9.89,12.63,4500749,39.485754,-107.449926,7/23/1941
33160,3.7,18,3800570,39.378623,-107.204847,8/25/1949
33289,5.77,12.96,3601058,39.624925,-105.794891,3/10/1952
33433.33149,240.53,11.03,5100629,40.060998,-106.214923,3/2/1942
33433.3315,2.15,8407080,5103693,40.077424,-106.21854,3/2/1942
33466,2.33,4080265.2,3603571,39.963483,-106.414383,3/10/1952
33602,26.02,43560,7203612,39.254866,-107.646949,12/31/1972
33799,7.92,278784,3603692,39.541875,-106.141964,12/31/1972
33978.33865,5.03,779724,3903500,39.665232,-107.822646,9/5/1952
34241.18263,236.23,18,5100763,40.055336,-106.284165,11/7/1952
34241.23679,2.25,14.14,5100546,40.136722,-105.928877,11/7/1952
34419.16285,12.01,5071690.8,7203914,39.129937,-107.851034,7/21/1959
34419.19201,3.5,4791600,7203838,39.062688,-107.768426,7/21/1959
34419.21127,8.08,1393920,7203863,39.099232,-108.205683,7/21/1959
34419.23541,11.37,6534000,7203925,39.075203,-107.951717,7/21/1959
34419.23861,10.05,2395800,7203924,39.081226,-107.984054,7/21/1959
34419.25339,7.96,757944,7203870,39.101928,-108.21535,7/21/1959
34419.25733,10.89,6098400,7203926,39.087852,-107.954869,7/21/1959
34419.27315,5.45,2010294,7203854,39.084047,-108.274104,7/21/1959
34419.27316,5.45,7159957.2,7203854,39.084047,-108.274104,7/21/1959
34419.28794,6.93,3310560,7203857,39.078787,-108.240093,7/21/1959
34419.29493,8.89,6814090.8,7203893,39.076336,-108.037533,7/21/1959
34419.30467,22.91,174240,7203845,39.263208,-107.711736,7/21/1959
34419.30888,12.27,408592.8,7203868,39.047167,-108.091631,7/21/1959
34419.30938,8.14,25340594.4,7203858,39.081538,-108.217863,7/21/1959
34419.31358,36,392040,7203770,39.210775,-108.518959,7/21/1959
34419.31672,8.1,5227200,7203887,39.082981,-108.033557,7/21/1959
34419.32368,8.46,5419735.2,7203894,39.083859,-108.022735,7/21/1959
34419.3281,14.29,635976,7203790,39.362278,-108.907068,7/21/1959
34419.3313,7.89,9422028,7203833,39.129305,-107.82624,7/21/1959
34419.33402,10,121968,7203763,39.308062,-109.046119,7/21/1959
34419.3371,2.53,60984,7203769,39.148288,-109.039493,7/21/1959
34419.34088,6.81,17206200,7203919,39.185266,-107.894196,7/21/1959
34648,4.41,4676166,5003632,40.268171,-106.404895,3/5/1945
34762.13122,3.21,21.15,5000734,40.062836,-106.393727,9/5/1964
34762.14397,2.77,154202.4,5003640,40.142589,-106.325012,9/5/1964
34762.23131,119.54,80.09,4500845,39.540357,-107.617269,8/5/1964
34762.33024,11.04,12,5000754,40.178133,-106.31772,9/5/1964
34762.33466,52.88,18813564,5003623,40.349108,-106.592472,9/5/1964
34762.34553,13.11,81587880,5003629,40.179433,-106.572301,9/5/1964
34762.3464,4.03,4464900,5000770,40.264264,-106.403853,9/5/1964
35016,6.1,958320,3603537,39.96806,-106.439245,3/10/1952
35238,44.67,11006653680,3604512,39.618299,-106.065573,3/10/1952
35279,2.39,15.53,3802113,39.207511,-106.787233,8/25/1949
