analysisWdid,analysisStructure,priorityWdid,priorityStructure,sumWtdCount,analysisStreamMile,analysisNetAbs,analysisWaterDistrict,priorityStreamMile,priorityNetAbs,priorityWaterDistrict,edgeWt
5104008,GLENN POND NO 2,5300584,SHOSHONE POWER PLANT,266.0,5.5,2.28,51,147.54,1408.0,53,606.4799999999999
5303515,SHOP POND,5104634,CBT ALVA B ADAMS TUNNEL,5.0,5.53,33.4,53,0.85,550.0,51,167.0
5303562,UP IS LAKE,5104634,CBT ALVA B ADAMS TUNNEL,5.0,5.53,40.0,53,0.85,550.0,51,200.0
5303562,UP IS LAKE,5104655,MOFFAT WATER TUNNEL,3.0,5.53,40.0,53,25.36,928.0,51,120.0
3803941,ST BENEDICTS MONAST TANK,7200646,GRAND VALLEY PROJECT,5.6670000000000025,5.53,0.0145,38,61.8,2313.7,72,0.08217150000000004
5303562,UP IS LAKE,5300584,SHOSHONE POWER PLANT,133.0,5.53,40.0,53,147.54,1408.0,53,5320.0
5303515,SHOP POND,5300584,SHOSHONE POWER PLANT,133.0,5.53,33.4,53,147.54,1408.0,53,4442.2
5303515,SHOP POND,5104655,MOFFAT WATER TUNNEL,3.0,5.53,33.4,53,25.36,928.0,51,100.19999999999999
3703644,OLSEN RESERVOIR NO 1,5300584,SHOSHONE POWER PLANT,133.0,5.54,5.0,37,147.54,1408.0,53,665.0
3703644,OLSEN RESERVOIR NO 1,5104655,MOFFAT WATER TUNNEL,3.0,5.54,5.0,37,25.36,928.0,51,15.0
3703644,OLSEN RESERVOIR NO 1,5104634,CBT ALVA B ADAMS TUNNEL,5.0,5.54,5.0,37,0.85,550.0,51,25.0
3803542,BOBSON POND NO.1,7200646,GRAND VALLEY PROJECT,5.6670000000000025,5.54,1.0,38,61.8,2313.7,72,5.6670000000000025
3803801,HIGNETT POND,7200646,GRAND VALLEY PROJECT,5.6670000000000025,5.55,1.8,38,61.8,2313.7,72,10.200600000000005
3804122,MCCABE POND NO 9,3800858,MARTIN DITCH NO 1,13.0,5.57,1.06,38,3.76,1.33,38,13.780000000000001
3804122,MCCABE POND NO 9,7200646,GRAND VALLEY PROJECT,5.6670000000000025,5.57,1.06,38,61.8,2313.7,72,6.007020000000003
3803928,HUNT RESERVOIR NO 1,7200646,GRAND VALLEY PROJECT,5.6670000000000025,5.58,1.0,38,61.8,2313.7,72,5.6670000000000025
5104007,GLENN POND NO 1,5300584,SHOSHONE POWER PLANT,266.0,5.59,4.74,51,147.54,1408.0,53,1260.8400000000001
3803679,DORMAN POND,7200646,GRAND VALLEY PROJECT,5.6670000000000025,5.59,0.47,38,61.8,2313.7,72,2.663490000000001
5104007,GLENN POND NO 1,5104655,MOFFAT WATER TUNNEL,6.0,5.59,4.74,51,25.36,928.0,51,28.44
5104007,GLENN POND NO 1,5104634,CBT ALVA B ADAMS TUNNEL,10.0,5.59,4.74,51,0.85,550.0,51,47.400000000000006
5100804,MOORE CATCH DITCH,5300584,SHOSHONE POWER PLANT,126.0,5.6,30.0,51,147.54,1408.0,53,3780.0
5003631,OAKS RESERVOIR,5300584,SHOSHONE POWER PLANT,126.0,5.62,75.94,50,147.54,1408.0,53,9568.44
3803512,STAINTON POND NO 8,3800516,ATKINSON DITCH,41.667,5.62,0.22399999999999998,38,2.77,17.2,38,9.333407999999999
5300780,ROGERS DITCH,5300584,SHOSHONE POWER PLANT,126.0,5.63,21.4,53,147.54,1408.0,53,2696.3999999999996
3804123,MCCABE POND NO 10,7200646,GRAND VALLEY PROJECT,5.6670000000000025,5.64,0.05,38,61.8,2313.7,72,0.28335000000000016
5103732,GAYLORD RESERVOIR,5104634,CBT ALVA B ADAMS TUNNEL,5.0,5.64,170.0,51,0.85,550.0,51,850.0
3804123,MCCABE POND NO 10,3800858,MARTIN DITCH NO 1,13.0,5.64,0.05,38,3.76,1.33,38,0.65
5103732,GAYLORD RESERVOIR,5300584,SHOSHONE POWER PLANT,133.0,5.64,170.0,51,147.54,1408.0,53,22610.0
5103732,GAYLORD RESERVOIR,5104655,MOFFAT WATER TUNNEL,3.0,5.64,170.0,51,25.36,928.0,51,510.0
5003648,LEWIS RESERVOIR,5104655,MOFFAT WATER TUNNEL,6.0,5.66,93.24,50,25.36,928.0,51,559.4399999999999
5003648,LEWIS RESERVOIR,5000734,DEBERARD DITCH OVERFLOW SYSTEM,32.0,5.66,93.24,50,3.21,96.4,50,2983.68
5003648,LEWIS RESERVOIR,5300584,SHOSHONE POWER PLANT,266.0,5.66,93.24,50,147.54,1408.0,53,24801.84
