analysisWdid,analysisStructure,priorityWdid,priorityStructure,sumWtdCount,analysisStreamMile,analysisNetAbs,analysisWaterDistrict,priorityStreamMile,priorityNetAbs,priorityWaterDistrict
7204046,SUNSET POND NO 1,7200645,GRAND VALLEY CANAL,15.084000000000001,8.04,2.0,72,53.09,940.28,72
3600776,PHARO BAUER DITCH,5300584,SHOSHONE POWER PLANT,17.333,8.05,39.25,36,147.54,1408.0,53
3600776,PHARO BAUER DITCH,7200645,GRAND VALLEY CANAL,15.084000000000001,8.05,39.25,36,53.09,940.28,72
3600776,PHARO BAUER DITCH,3603543,GREEN MOUNTAIN RESERVOIR,19.031,8.05,39.25,36,15.77,209199.0,36
3600776,PHARO BAUER DITCH,3604684,BLUE RIVER DIVERSION PROJECT,17.167,8.05,39.25,36,45.59,520.0,36
3600985,BLUE VALLEY RANCH HYDRO,5300584,SHOSHONE POWER PLANT,17.333,8.06,129.0,36,147.54,1408.0,53
3600985,BLUE VALLEY RANCH HYDRO,3604684,BLUE RIVER DIVERSION PROJECT,17.167,8.06,129.0,36,45.59,520.0,36
3600985,BLUE VALLEY RANCH HYDRO,7200645,GRAND VALLEY CANAL,15.084000000000001,8.06,129.0,36,53.09,940.28,72
3600985,BLUE VALLEY RANCH HYDRO,3603543,GREEN MOUNTAIN RESERVOIR,19.031,8.06,129.0,36,15.77,209199.0,36
7203863,DOG LAKE RESERVOIR NO 2,7200645,GRAND VALLEY CANAL,15.084000000000001,8.08,32.0,72,53.09,940.28,72
7203863,DOG LAKE RESERVOIR NO 2,3603543,GREEN MOUNTAIN RESERVOIR,19.031,8.08,32.0,72,15.77,209199.0,36
4503601,PARKER RESERVOIR NO 17,3604684,BLUE RIVER DIVERSION PROJECT,7.167000000000001,8.08,0.4,45,45.59,520.0,36
4503601,PARKER RESERVOIR NO 17,3603543,GREEN MOUNTAIN RESERVOIR,19.031,8.08,0.4,45,15.77,209199.0,36
4503601,PARKER RESERVOIR NO 17,7200645,GRAND VALLEY CANAL,15.084000000000001,8.08,0.4,45,53.09,940.28,72
5103661,F W LINKE NO 3 RESERVOIR,5300584,SHOSHONE POWER PLANT,17.333,8.09,26.16,51,147.54,1408.0,53
5103661,F W LINKE NO 3 RESERVOIR,3603543,GREEN MOUNTAIN RESERVOIR,19.031,8.09,26.16,51,15.77,209199.0,36
5103661,F W LINKE NO 3 RESERVOIR,3604684,BLUE RIVER DIVERSION PROJECT,17.167,8.09,26.16,51,45.59,520.0,36
5103661,F W LINKE NO 3 RESERVOIR,7200645,GRAND VALLEY CANAL,15.084000000000001,8.09,26.16,51,53.09,940.28,72
7203887,BIG BEAVER RESERVOIR,3603543,GREEN MOUNTAIN RESERVOIR,38.062,8.1,130.0,72,15.77,209199.0,36
7203887,BIG BEAVER RESERVOIR,7200645,GRAND VALLEY CANAL,30.168000000000003,8.1,130.0,72,53.09,940.28,72
7203887,BIG BEAVER RESERVOIR,3604684,BLUE RIVER DIVERSION PROJECT,7.167000000000001,8.1,130.0,72,45.59,520.0,36
5304058,SHEEP CORRAL POND,7200645,GRAND VALLEY CANAL,15.084000000000001,8.12,11.25,53,53.09,940.28,72
5303590,TRAILER POND,3603543,GREEN MOUNTAIN RESERVOIR,19.031,8.12,2.67,53,15.77,209199.0,36
3603606,OFFICERS GULCH POND,3603543,GREEN MOUNTAIN RESERVOIR,343.0,8.12,100.0,36,15.77,209199.0,36
7203859,RAPID CREEK RES NO 2,3603543,GREEN MOUNTAIN RESERVOIR,38.062,8.12,521.1,72,15.77,209199.0,36
5304058,SHEEP CORRAL POND,3604684,BLUE RIVER DIVERSION PROJECT,17.167,8.12,11.25,53,45.59,520.0,36
5303590,TRAILER POND,3604684,BLUE RIVER DIVERSION PROJECT,17.167,8.12,2.67,53,45.59,520.0,36
5303590,TRAILER POND,5300584,SHOSHONE POWER PLANT,17.333,8.12,2.67,53,147.54,1408.0,53
7203859,RAPID CREEK RES NO 2,7200645,GRAND VALLEY CANAL,30.168000000000003,8.12,521.1,72,53.09,940.28,72
7203859,RAPID CREEK RES NO 2,3604684,BLUE RIVER DIVERSION PROJECT,14.334000000000001,8.12,521.1,72,45.59,520.0,36
5303590,TRAILER POND,7200645,GRAND VALLEY CANAL,15.084000000000001,8.12,2.67,53,53.09,940.28,72
5304058,SHEEP CORRAL POND,5300584,SHOSHONE POWER PLANT,17.333,8.12,11.25,53,147.54,1408.0,53
5304058,SHEEP CORRAL POND,3603543,GREEN MOUNTAIN RESERVOIR,19.031,8.12,11.25,53,15.77,209199.0,36
4503597,PARKER RESERVOIR NO 09,7200645,GRAND VALLEY CANAL,15.084000000000001,8.13,0.5,45,53.09,940.28,72
