wdid,streamMile,sum_netAbs,waterDistrict
3600733,0.98,9.33,36
3600734,40.18,18.67,36
3600739,4.5,0.111,36
3600741,1.77,5.6,36
3600742,1.34,5.6,36
3600743,0.17,1,36
3600744,0.79,1,36
3600746,0.73,6.8,36
3600749,27.63,1.65,36
3600752,12.87,10,36
3600758,1.45,4.02,36
3600759,1.85,3.31,36
3600763,0.29,1,36
3600764,0.68,1,36
3600765,27.61,14.87,36
3600766,1.59,1,36
3600767,2.9,4.1,36
3600768,1.74,2.25,36
3600770,1.86,4.25,36
3600771,0.2,2.5,36
3600775,9,17.25,36
3600776,8.05,39.25,36
3600777,6.9,18,36
3600780,32.49,19,36
3600782,4.04,1,36
3600783,1.29,2.32,36
3600784,2.67,3.5,36
3600789,15.93,1,36
3600790,3.67,1.06,36
3600791,0.37,9.56,36
3600793,0.97,1,36
3600794,1.25,3,36
3600795,3.78,4,36
3600796,0.57,17.04,36
3600797,1.25,6.33,36
3600800,1.22,27.4,36
3600801,1.59,30,36
3600802,1.58,5,36
3600803,1.59,30,36
3600805,6.73,0.575,36
3600806,0.5,1.374,36
3600810,1.33,3.5,36
3600811,0.62,3.7,36
3600812,0.28,6.48,36
3600813,0.91,6.48,36
3600814,1.97,5.25,36
3600815,1.96,3.06,36
3600816,0.5,8,36
3600818,1.5,1,36
3600819,1.31,6.34,36
3600820,1.88,7.42,36
3600821,1.44,2.09,36
3600822,1.08,7.42,36
3600824,0.5,1.374,36
3600826,0,1,36
3600827,12.65,8,36
3600828,0,1,36
3600829,2.62,3.5,36
3600830,18.46,20,36
3600832,1.85,12.5,36
3600838,2.59,4,36
3600845,1.03,15.3,36
3600847,2.38,0,36
3600849,0.91,1,36
3600850,0.87,1,36
3600851,1.15,1.25,36
3600852,0.75,1.5,36
3600854,44.42,1.44,36
3600856,0.71,0,36
3600857,1.86,9.57,36
3600858,2.06,2,36
3600859,1.67,2,36
3600860,0.89,3,36
3600861,0.57,2,36
3600862,0.33,3,36
3600863,0.42,7.98,36
3600868,0.93,16.07,36
3600869,1.8,0,36
3600871,0.95,4,36
3600872,0.95,1,36
3600873,1.44,1,36
3600874,0.92,1,36
3600875,0.88,1,36
3600876,10.94,5,36
3600881,15.56,1726,36
3600883,,0.0067,36
3600885,58.55,1.86,36
3600887,,0,36
3600888,,0,36
3600889,43.84,2.637,36
3600891,,0.132,36
3600892,,0.0067,36
3600893,,0.015,36
3600895,,1.39,36
3600896,,0.0264,36
3600897,0.36,1,36
3600898,0.38,1,36
3600900,4.04,0.033,36
3600902,,0.018,36
3600903,7.82,2,36
3600906,4.56,0,36
3600907,11.36,0,36
3600908,6.46,7.3,36
3600909,23.13,0.01,36
3600912,51.42,19.99,36
3600913,,0.044,36
3600914,,0.0067,36
3600915,18.64,0.0222,36
3600916,,0.066,36
3600918,,1.017,36
3600920,,0.1,36
3600921,,0.0067,36
3600922,,0.017,36
3600923,,0.016,36
3600924,,0.022,36
3600926,0.22,25.045,36
3600929,64.05,0.288,36
3600931,,0.011,36
3600932,5.64,0,36
3600934,18.64,0.05,36
3600935,,0.6,36
3600936,0.54,7,36
3600937,44.3,0.4,36
3600938,5.57,10,36
3600940,,0.044,36
3600941,41.24,0.15,36
3600943,3,0,36
3600944,13.38,1,36
3600945,2.11,5,36
3600946,7.47,3,36
3600947,2.03,0,36
3600948,,0.033,36
3600949,,0.1,36
3600950,16.67,0.409,36
3600953,,0.033,36
3600954,,0.033,36
3600956,,0,36
3600957,,0,36
3600958,,0,36
3600959,,0,36
3600961,17.53,1.2,36
3600962,,0.2,36
3600963,0.03,18.776,36
3600964,0.04,17,36
3600966,2.53,7.553,36
3600982,0.49,15.395,36
3600985,8.06,129,36
3600988,1.25,6.77,36
3600989,56.47,0,36
3600991,0.91,0,36
3600999,2.29,0.11,36
3601001,0.2,4.16,36
3601002,2.56,0,36
3601003,2.48,0,36
3601004,1.44,0,36
3601005,3.02,0,36
3601006,1.21,3,36
3601008,58.55,0,36
3601009,1.32,2.45,36
3601010,,0.001,36
3601011,0.5,0,36
3601012,62.02,0.2817,36
3601014,2.97,0,36
3601015,1.78,0,36
3601017,2.67,10.5,36
3601018,1.39,25,36
3601019,1.24,2,36
3601020,0.94,0.5,36
3601021,0.24,2.36,36
3601023,42.2,0,36
3601025,1.18,1,36
3601027,1.86,3.31,36
3601029,3,0,36
3601030,1.55,1.31,36
3601042,1.46,1,36
3601044,56.47,417.43,36
3601047,1.56,10,36
3601048,1.15,1,36
3601049,1.03,2,36
3601051,18.46,20,36
3601052,18.46,20,36
3601053,5.05,0.0225,36
3601054,11.1,0.0225,36
3601055,5.64,2.8,36
3601056,5.74,7.6,36
3601057,5.77,0.4,36
3601058,5.77,28.46,36
3601059,5.31,6.6,36
3601060,5.13,3.6,36
3601061,4.66,0,36
3601062,4.66,0,36
3601063,4.63,0,36
3601064,3.77,0,36
3601065,3.3,0,36
3601066,3.28,0,36
3601067,3.12,0,36
3601068,6.35,0,36
3601069,6.36,0,36
3601070,6.52,0,36
3601071,6.47,0,36
3601072,1.64,0,36
3601073,1.62,0,36
3601074,5.74,0,36
3601075,5.54,0,36
3601076,4.97,0,36
3601077,4.97,0,36
3601078,4.53,0,36
3601079,4.53,0,36
3601080,1.25,0,36
3601081,1.25,0,36
3601082,0.56,0,36
3601085,1.33,14.4,36
3601086,1.35,1.5,36
3601087,1.13,2.5,36
3601088,11.8,5.78,36
3601089,0.59,7.1,36
3601090,0.65,7.1,36
3601091,0.9,5.73,36
3601092,10.51,1.1,36
3601093,3.63,4,36
3601094,30.59,0,36
3601095,30.12,0,36
3601096,1.7,0,36
3601097,2.11,0.08,36
3601098,43.55,4,36
3601100,42.22,3,36
3601101,0.44,10,36
3601102,0.37,10,36
3601103,2.04,0,36
3601105,12.21,0.01,36
3601106,1.94,0,36
3601107,0.5,0,36
3601108,49.24,9.52,36
3601109,0.95,0.3025,36
3601110,0.64,0,36
3601111,1.06,1,36
3601112,1.89,0,36
3601113,40.85,0,36
3601114,42.34,0,36
3601115,0.08,5.36,36
3601116,3.45,0,36
3601118,2.03,0,36
3601119,7.51,0,36
3601120,45.19,0,36
3601121,22.44,0.25,36
3601122,2.8,0,36
3601123,43.85,0,36
3601124,43.81,0,36
3601125,43.77,0,36
3601126,9.97,0,36
3601127,10.4,0.53,36
3601137,2.97,0,36
3601138,2.97,0,36
3601139,3.04,0,36
3601148,0.63,0,36
3601149,44.74,0,36
3601150,28.19,0,36
3601151,1.35,6.5,36
3601152,49.03,0,36
3601153,49.03,0,36
3601154,1.52,0,36
3601155,1.31,0,36
3601157,0.51,2.4,36
3601158,0.49,0,36
3601159,,0,36
3602000,0.29,6,36
3602001,0.61,3,36
3602002,0.03,3,36
3602003,0.13,4,36
3602004,3.85,6,36
3602006,0,5,36
3602007,0.49,4,36
3602008,0.03,1,36
3602009,0,1,36
3602010,0.03,6,36
3602011,0,1,36
3602012,0.07,7,36
3602013,26.29,1,36
3602014,1.23,1,36
3602015,1.17,2,36
3602016,1.16,3,36
3602017,1.16,2,36
3602018,1.16,3,36
3602019,6.56,2,36
3602020,14.12,2,36
3602021,7.83,1.5,36
3602022,6.53,3,36
3602023,0.02,3,36
3602024,1.34,2,36
3602025,,0.5,36
3602026,2.32,3,36
3602027,,2.5,36
3602028,0,1.5,36
3602029,7.03,3.5,36
3602030,50.93,20,36
3602031,1.95,5,36
3602032,10.46,10,36
3602033,2.52,12,36
3602034,64.54,2,36
3602035,59.16,5,36
3602036,1.81,7,36
3602037,49.01,32,36
3602038,0,6,36
3602039,11.38,3.5,36
3602040,2.97,2.5,36
3602041,0.03,2,36
3602042,2.61,1.5,36
3602043,44.07,50,36
3602044,41.96,55,36
3602045,35.6,75,36
3602046,33.97,115,36
3602047,29.76,125,36
3602048,22.86,125,36
3602049,0.02,60,36
3602050,0.3,1.5,36
3602063,48.37,1.5,36
3602066,2.9,0,36
3602067,33.96,0,36
3602068,30.84,0,36
3602069,29.76,0,36
3602072,8.13,1.5,36
3602073,2.13,1,36
3603501,29.38,0,36
3603502,1.31,0,36
3603503,1.4,0,36
3603504,1.4,0,36
3603505,1.32,0,36
3603506,0.95,0,36
3603507,0.95,0,36
3603508,0.95,0,36
3603509,27.07,0,36
3603510,26.69,0,36
3603511,27.25,0,36
3603513,0.18,0,36
3603514,0.18,0,36
3603533,5.49,1997.2,36
3603534,41.95,40,36
3603537,6.1,22,36
3603538,3.45,1652.8,36
3603539,1.31,2.5,36
3603540,,323.41,36
3603542,58.62,1498.73,36
3603543,15.77,209199,36
3603544,0.31,40.8,36
3603545,0.71,7.85,36
3603548,2.97,921.5,36
3603549,5.13,14.6,36
3603555,23.9,75,36
3603557,64.36,0,36
3603558,2.87,0,36
3603560,12.97,0.2,36
3603565,1.79,206.84,36
3603567,2.61,0,36
3603569,4.56,428.34,36
3603570,64.36,2140,36
3603571,2.33,93.67,36
3603573,4.43,8,36
3603574,8.63,271,36
3603575,18.41,8710,36
3603576,4.09,0,36
3603578,0.45,34.734,36
3603579,0.18,4.1,36
3603580,0.46,2.3,36
3603581,0.51,1.2,36
3603582,0.62,1,36
3603583,42.74,30,36
3603584,8.13,9,36
3603585,9.58,48,36
3603586,2.87,444,36
3603587,2.87,64,36
3603588,2.87,288,36
3603589,2.87,15,36
3603591,37.34,70,36
3603592,0.32,6,36
3603593,10.03,350,36
3603594,9.58,70,36
3603595,64.43,4.2,36
3603596,0.82,16.83,36
3603599,0.94,36.894,36
3603602,6.41,0,36
3603604,6.63,173,36
3603605,9,41,36
3603606,8.12,100,36
3603607,42.39,1,36
3603609,16.67,0.018,36
3603610,16.69,0.013,36
3603611,16.7,0.013,36
3603612,16.71,0.062,36
3603613,16.72,0.096,36
3603614,16.76,0.55,36
3603615,17.42,0.062,36
3603616,17.55,0.013,36
3603617,17.86,0.096,36
3603624,1.41,56,36
3603625,0.62,53.14,36
3603628,2.27,2.5,36
3603629,2.25,0,36
3603630,2.77,0,36
3603632,4.82,0,36
3603635,1.28,15,36
3603636,39.97,25,36
3603638,10.03,336,36
3603639,15.6,0,36
3603644,0.55,0.26,36
3603645,0.52,0.54,36
3603646,0.56,0,36
3603648,6.34,0,36
3603649,,0,36
3603651,36.75,1,36
3603652,36.51,40,36
3603655,36.81,5.2,36
3603656,0.51,1.75,36
3603657,0.5,0.5,36
3603658,0.5,2.1,36
3603659,0.5,2.62,36
3603660,0.5,1.19,36
3603661,2.02,10,36
3603662,0.47,12.4,36
3603663,0.29,6.4,36
3603664,0.5,3.3,36
3603665,0.5,1.4,36
3603666,1.06,7.7,36
3603667,1.01,2.3,36
3603668,1.01,2.5,36
3603669,1.25,3.2,36
3603670,1.25,1.3,36
3603671,1.25,2.5,36
3603672,0.96,5,36
3603673,31.08,2,36
3603674,3.38,1.5,36
3603675,3.28,0.6,36
3603678,0.31,4,36
3603679,0.55,1,36
3603680,1.68,2,36
3603681,1.69,0,36
3603682,1.69,0,36
3603683,0.42,0.1,36
3603684,0.32,1.1,36
3603685,0.31,7.5,36
3603686,0.24,5.3,36
3603687,,0.45,36
3603688,0.29,5,36
3603690,0.93,0.5,36
3603691,0.08,3,36
3603692,7.92,6.4,36
3603693,22.3,4,36
3603694,4.78,5.6,36
3603695,0.5,0.133,36
3603696,0.5,0.009,36
3603697,0.5,0.037,36
3603698,0.5,0.003,36
3603699,0.24,0.1,36
3603700,0.23,0.017,36
3603701,0.5,0.156,36
3603703,58.62,0,36
3603704,4,0,36
3603705,4.42,120,36
3604512,44.67,407914,36
3604620,3.67,0,36
3604626,5.61,147.26,36
3604657,18.46,10,36
3604658,8.55,0.9,36
3604683,64.54,200,36
3604684,45.59,520,36
3604685,4.84,16,36
3604687,2.09,40,36
3604688,64.54,50,36
3604689,0.41,90,36
3604690,1.65,60,36
3604692,0.41,60,36
3604694,0.62,0,36
3604695,2.13,0,36
3604696,64.54,37,36
3604697,2.6,60,36
3604699,64.54,20,36
3604900,,0,36
3604903,15.58,0,36
3604912,44.48,0,36
3604923,18.46,519.3342,36
3605000,,0.033,36
3605001,,0.033,36
3605002,,0.033,36
3605003,,0.044,36
3605004,,0.066,36
3605005,,0.022,36
3605006,,0.022,36
3605007,,0.0333,36
3605008,,0.022,36
3605009,,0.766,36
3605011,,0.022,36
3605012,,0.1,36
3605013,,0.089,36
3605014,,0.033,36
3605015,,0.058,36
3605016,,0,36
3605017,,0.055,36
3605018,,0.066,36
3605019,,0.0266,36
3605020,,0.044,36
3605021,,0,36
3605022,,0.022,36
3605023,,0.044,36
3605024,,0.0912,36
3605025,,0.0334,36
3605026,,0.0223,36
3605027,,0.055,36
3605028,,0.089,36
3605029,,0.022,36
3605030,,0.7,36
3605031,,0.88,36
3605032,,0.89,36
3605033,,0.035,36
3605034,,0.0022,36
3605035,,0.033,36
3605036,,0.0156,36
3605037,,0.002,36
3605038,,0.033,36
3605039,,0.022,36
3605040,,0.033,36
3605041,,0.044,36
3605042,,0.078,36
3605043,,0.088,36
3605044,,0.067,36
3605045,,0.033,36
3605046,,0.0446,36
3605047,,0.011,36
3605048,,0.022,36
3605049,,0.01,36
3605050,,2.327,36
3605051,,0.11,36
3605052,,0.033,36
3605053,,0.033,36
3605054,,0.067,36
3605055,,0.067,36
3605056,,0.033,36
3605057,,0.044,36
3605058,,0.044,36
3605059,,0.067,36
3605060,,0.033,36
3605061,,0.055,36
3605065,,0.033,36
3605066,,0.011,36
3605067,,0.067,36
3605068,,0.0843,36
3605069,,0.1703,36
3605070,,0.1503,36
3605071,,0.6283,36
3605072,,0,36
3605073,,0.066,36
3605074,,0.07,36
3605075,,0.089,36
3605076,,0.027,36
3605077,,0.089,36
3605078,,0.033,36
3605079,,0.067,36
3605080,,0.044,36
3605081,,0.0334,36
3605082,,0.088,36
3605083,,0.055,36
3605084,,0.055,36
3605085,,0.14,36
3605086,,0.022,36
3605087,,0.011,36
3605088,,0.033,36
3605089,,0.0396,36
3605090,,0.667,36
3605091,,0.667,36
3605092,,0.667,36
3605093,,0.667,36
3605094,,1.98,36
3605095,,0.067,36
3605096,,0.044,36
3605097,,0.044,36
3605098,,0.11,36
3605099,,0.0444,36
3605100,,0.044,36
3605101,,0.089,36
3605102,,0.022,36
3605103,,0,36
3605104,,0,36
3605105,,0,36
3605106,,0,36
3605107,,0,36
3605108,,0,36
3605109,,0,36
3605110,,0,36
3605111,,0,36
3605112,,0,36
3605113,,0,36
3605114,,0,36
3605115,,0,36
3605116,,0,36
3605117,,0,36
3605118,,1.5,36
3605119,,1.7,36
3605120,,0,36
3605121,,0,36
3605122,,0,36
3605123,,0,36
3605124,,0,36
3605125,,0.111,36
3605126,,0.0555,36
3605127,,0.02,36
3605128,,0,36
3605129,,0.018,36
3605130,,0.007,36
3605131,,0,36
3605132,,0.0222,36
3605133,,0.03,36
3605134,,0.055,36
3605135,,0.033,36
3605136,,0.031,36
3605137,,0.0088,36
3605138,,0.0066,36
3605139,,0.022,36
3605140,,0.044,36
3605141,,0.111,36
3605142,,0.0444,36
3605143,,0.018,36
3605144,,0.056,36
3605145,,0.045,36
3605146,,0.033,36
3605147,,0.133,36
3605148,,0.133,36
3605149,,0.771,36
3605150,,0.111,36
3605151,,0.667,36
3605152,,0.011,36
3605153,,0.033,36
3605154,,0,36
3605155,,0,36
3605156,,0,36
3605158,,0,36
3605159,,0,36
3605160,,0,36
3605169,,0.022,36
3605170,,0.044,36
3605171,,0.044,36
3605173,,0.0667,36
3605174,,0,36
3605175,,0.022,36
3605176,,1.07,36
3605177,,1.184,36
3605178,,0.033,36
3605179,,0.0308,36
3605180,,0.033,36
3605181,,0.0088,36
3605182,,0.033,36
3605183,,40.489,36
3605184,,40.489,36
3605185,,40.489,36
3605186,,0.022,36
3605187,,0.0557,36
3605188,,0.0426,36
3605189,,0.0718,36
3605190,,0.635,36
3605191,,0.579,36
3605192,,0,36
3605193,,0,36
3605194,,0,36
3605195,,0,36
3605196,,0,36
3605197,,0,36
3605198,,0,36
3605199,,0,36
3605200,,0,36
3605201,,0.178,36
3605202,,0.2,36
3605203,,0,36
3605204,,0.077,36
3605205,,0.133,36
3605206,,0,36
3605207,,0,36
3605208,,0,36
3605209,,0,36
3605210,,0.067,36
3605212,,0.066,36
3605213,,0.012,36
3605214,,0.033,36
3605215,49.94,0,36
3605217,,2.57,36
3605219,,0,36
3605220,,0,36
3605221,,0.469,36
3605222,,1.67,36
3605224,,0.044,36
3605225,,0.169,36
3605226,,0,36
3605228,,1.54,36
3605230,50.03,0,36
3605231,,0,36
3605233,,0.022,36
3605234,,0.022,36
3605235,,0.014,36
3605236,,0.008,36
3605237,,0.011,36
3605238,,1.2,36
3605239,,0.4234,36
3605240,,13.2583,36
3605241,,0,36
3605242,,0.4234,36
3605243,,0.4234,36
3605244,,0.027,36
3605248,,0,36
3605249,,0.03,36
3605250,,1.313,36
3605251,,0.311,36
3605252,,0.311,36
3605253,,0.313,36
3605254,,0.3066,36
3605255,,0.3178,36
3605256,,0.3066,36
3605257,,0.313,36
3605258,,0.313,36
3605259,,0.3267,36
3605260,,0.3267,36
3605261,,0,36
3605262,,0.3222,36
3605263,,0,36
3605264,,0.3022,36
3605265,,0.3066,36
3605266,,0.3178,36
3605267,,0.3178,36
3605268,,1.311,36
3605269,,0,36
3605270,,0,36
3605272,,1.322,36
3605273,,2.527,36
3605274,,2.565,36
3605276,,1.5,36
3605277,,0.33,36
3605278,,0.33,36
3605279,,0.033,36
3605281,,0.033,36
3605282,,0,36
3605283,,0,36
3605284,,0.0668,36
3605285,,0.0334,36
3605288,,0.408,36
3605292,,0.033,36
3605293,,0.031,36
3605295,,0.022,36
3605298,,0.0154,36
3605301,,0.022,36
3605302,,0.033,36
3605305,,0.026,36
3605306,,0.026,36
3605307,,0.022,36
3605310,,0.026,36
3605314,,0.029,36
3605316,,0.033,36
3605317,,0.026,36
3605318,,0,36
3605319,,0.027,36
3605320,,0.03,36
3605322,,0.033,36
3605323,,0,36
3605326,,0.026,36
3605328,,0.013,36
3605331,,0,36
3605335,,0.025,36
3605336,,0.021,36
3605337,,0.027,36
3605339,,0,36
3605340,,0.066,36
3605342,,0.435,36
3605344,,0.033,36
3605346,,0,36
3605348,,0.029,36
3605349,,0.033,36
3605350,,0.03,36
3605352,,0.033,36
3605353,,0.0223,36
3605354,,0.022,36
3605355,,0,36
3605356,,0,36
3605358,,0.0334,36
3605359,,0.0264,36
3605360,,0.033,36
3605361,,0,36
3605362,,0.033,36
3605363,,0.0067,36
3605364,,0.029,36
3605365,,0,36
3605366,,0.033,36
3605367,,0.026,36
3605368,,0.018,36
3605369,,0,36
3605370,,0,36
3605373,,0.017,36
3605374,,0.04,36
3605375,,0.02,36
3605376,,0.007,36
3605377,,0.0045,36
3605378,,5.6,36
3605379,,5.6,36
3605380,,3.1,36
3605381,,3.1,36
3605382,1.25,5.6,36
3605383,,0,36
3605384,,0,36
3605385,,0,36
3605386,,0,36
3605387,,0,36
3605388,,0,36
3605389,,0.0668,36
3605390,,0.058,36
3605391,,0.112,36
3605392,,0,36
3605393,,0,36
3605394,,0.372,36
3605395,,0,36
3605396,,0,36
3605397,,0.022,36
3605398,,0.033,36
3605400,,0.033,36
3605401,,0.245,36
3605402,,0.0223,36
3605403,,0.0223,36
3605404,,0.0223,36
3605405,,0.0223,36
3605406,,0.0223,36
3605407,,0.0223,36
3605408,,0,36
3605409,,0.033,36
3605411,,0.0089,36
3605412,,0.0045,36
3605413,,0.0056,36
3605414,,12.5,36
3605415,,0.067,36
3605416,,0.02,36
3605417,,17.216,36
3605419,,0.1,36
3605420,,0.0267,36
3605445,,0,36
3605446,,0,36
3605449,,0.0499,36
3605450,,0.0499,36
3605451,,0.02,36
3605452,,1.862,36
3605453,,0.033,36
3605454,,0.03,36
3605455,,0.03,36
3605456,,0,36
3605457,,0.033,36
3605458,,0.018,36
3605459,,0.016,36
3605460,,0.022,36
3605461,,0,36
3605462,,0,36
3605463,,0,36
3605464,,0,36
3605465,,0,36
3605466,,0.001,36
3605467,,0.001,36
3605468,,0.002,36
3605469,,0.011,36
3605470,,0.003,36
3605471,,0.003,36
3605472,,0.005,36
3605473,,0.008,36
3605474,,0.002,36
3605475,,0.002,36
3605476,,0.005,36
3605477,,0,36
3605478,,0,36
3605479,,0,36
3605480,,0,36
3605481,,0,36
3605482,,0.011,36
3605483,,0,36
3605484,,0,36
3605485,,0,36
3605486,,0,36
3605487,,0,36
3605490,,0,36
3605491,,0,36
3605492,,0.135,36
3605493,,0.033,36
3605495,,0,36
3605496,,1.283,36
3605497,,0,36
3605498,,0,36
3605499,,0,36
3605500,,0.033,36
3605501,,0,36
3605502,,0,36
3605503,,0,36
3605504,,0.066,36
3605505,,0.111,36
3605506,,0.111,36
3605507,,0,36
3605508,,0,36
3605509,,0,36
3605510,,0.022,36
3605511,,0.033,36
3605512,,0.022,36
3605513,,0.462,36
3605514,,0,36
3605515,,0,36
3605516,,0,36
3605517,,0,36
3605520,,0.037,36
3605521,,0,36
3605522,,0,36
3605523,,0,36
3605524,,0,36
3605525,,0,36
3605526,,0,36
3605527,,0,36
3605528,,0,36
3605529,,0,36
3605530,,0,36
3605531,,0,36
3605532,,0,36
3605533,,0.004,36
3605534,,0.017,36
3605535,,0.011,36
3605536,,0.022,36
3605537,,0.013,36
3605538,,0,36
3605539,,0.022,36
3605540,,0,36
3605541,,0,36
3605542,,0,36
3605543,,0,36
3605544,,0,36
3605545,,0,36
3605546,,0,36
3605547,,0,36
3605548,,0,36
3605549,,0,36
3605550,,0,36
3605551,,0,36
3605552,,0.0045,36
3605553,,0,36
3605554,,0,36
3605555,,0,36
3605556,,0.0045,36
3605557,,0,36
3605558,,0,36
3605559,,0.0045,36
3605560,,0,36
3605561,,0.0045,36
3605562,,0.0045,36
3605563,,0.0045,36
3605564,,0,36
3605565,,0.0045,36
3605566,,0.0045,36
3605567,,0.0045,36
3605568,,0,36
3605569,,0.0045,36
3605570,,0.0045,36
3605571,,0,36
3605572,,0,36
3605573,,0.0045,36
3605574,,0.0045,36
3605575,,0,36
3605576,,0.0045,36
3605577,,0.0045,36
3605578,,0.0045,36
3605580,,19.88,36
3605581,,29.88,36
3605585,,0,36
3605586,,1.033,36
3605588,,0,36
3605589,,0,36
3605590,,0,36
3605591,,0,36
3605592,,0,36
3605593,,0,36
3605594,,0,36
3605596,,0,36
3605597,,0,36
3605598,,0.0022,36
3605607,,0,36
3605609,,0,36
3605610,,0,36
3605611,,0,36
3605612,,0,36
3605613,,0,36
3605614,,0,36
3607000,,6.431,36
3607005,,0,36
3607007,,0,36
3607010,43.92,0,36
3607011,43.92,0,36
3607012,0,0,36
3607143,,130,36
3607144,15.51,0,36
3607161,,0,36
3607182,0.02,0,36
3607193,0.95,0,36
3607284,,1011.68,36
3607287,44.48,0,36
3607290,44.5,0,36
3607291,44.5,0,36
3607292,44.5,0,36
3607293,55.1,500,36
3607294,0,0,36
3607295,44.48,0,36
3607298,0,0,36
3607312,3.67,0,36
3607314,5.6,0,36
3607315,5.98,0,36
3607328,0,0,36
3607384,0,0,36
3607385,0,0,36
3607407,0.02,0,36
3607409,15.76,0,36
3607413,54.33,0,36
3607438,15.76,0,36
3607439,0,0,36
3607538,,0,36
3607577,57.45,0,36
3607587,15.76,0,36
3607588,,0,36
3607591,,0,36
3607597,15.55,0,36
3607599,15.58,0,36
3607600,0,0,36
3607605,15.76,0,36
3607607,44.5,0,36
3607687,15.76,0,36
3607690,40.84,0,36
3607696,45.81,0,36
3607698,44.12,0,36
3607699,,0,36
3607721,,0,36
3607875,30.11,0,36
3607902,1.24,0,36
3607931,2.79,0,36
3607995,1.33,0,36
3609006,44.48,0,36
3609009,58.55,0,36
3609010,44.69,0,36
3609012,43.83,0,36
3609013,18.41,0,36
3609014,226.62,0,36
3609015,44.7,0,36
3609017,43.51,0,36
3609021,6.45,0,36
3609024,0,0,36
3609026,50.11,0.21,36
3609027,0,0,36
3609028,0,0,36
3609029,43.91,0,36
3609030,0,0,36
3609031,0.47,0,36
3609032,0.01,0,36
3609035,62.66,0,36
3609037,43.93,0,36
3609039,0.86,0,36
3609040,1.31,0,36
3609042,30.25,0,36
3609044,11.8,0,36
3609054,0.01,0,36
3609056,57.63,0,36
3609058,51.18,0,36
3609061,30.66,0,36
3609065,58.68,0,36
3609068,1.33,0,36
3609069,31.08,0,36
3609070,49.54,0,36
3609071,2.19,0,36
3609074,0.25,0,36
3609076,0.29,0,36
3609079,0.97,0,36
3609080,3.64,0,36
3609082,3.66,0,36
3609083,2.32,0,36
3609086,30.25,0,36
3609087,64.54,0,36
3609088,3.16,0,36
3609094,33.23,0,36
