analysisAdminNo,priorityAdminNo,wt
52230.4361,20427.18999,124.0
43052.0,20427.18999,124.0
56613.54786,20427.18999,124.0
52482.0,20427.18999,124.0
52595.42885,20427.18999,124.0
44925.39993,20427.18999,124.0
50403.35303,20427.18999,124.0
55882.539339999996,20427.18999,124.0
47116.32797,20427.18999,124.0
36040.0,20427.18999,124.0
55882.54191,20427.18999,124.0
32733.0,20427.18999,124.0
32871.0,20427.18999,124.0
52595.36705,20427.18999,124.0
32977.0,20427.18999,124.0
49308.45168,20427.18999,124.0
55882.54755,20427.18999,124.0
47116.23375,20427.18999,124.0
51134.49308,20427.18999,124.0
55882.55457000001,20427.18999,124.0
47116.2221,20427.18999,124.0
52595.33085,20427.18999,124.0
55882.55722,20427.18999,124.0
35973.0,20427.18999,124.0
41199.32292,20427.18999,124.0
55882.55761,20427.18999,124.0
47105.0,20427.18999,124.0
33012.0,20427.18999,124.0
41272.0,20427.18999,124.0
32653.0,20427.18999,124.0
41531.0,20427.18999,124.0
32347.0,20427.18999,124.0
41707.0,20427.18999,124.0
20427.19981,20427.18999,124.0
30894.180610000003,20427.18999,124.0
41799.0,20427.18999,124.0
44925.293710000005,20427.18999,124.0
20427.19478,20427.18999,124.0
39095.38998,20427.18999,124.0
52883.0,20427.18999,124.0
55470.0,20427.18999,124.0
20427.19252,20427.18999,124.0
52822.0,20427.18999,124.0
55517.0,20427.18999,124.0
32075.31563,20427.18999,124.0
49833.0,20427.18999,124.0
49216.0,20427.18999,124.0
52700.0,20427.18999,124.0
41684.0,20427.18999,124.0
52595.524110000006,20427.18999,124.0
49304.0,20427.18999,124.0
52595.52184,20427.18999,124.0
32335.11677,20427.18999,124.0
51864.30785,20427.18999,124.0
32335.119710000003,20427.18999,124.0
55694.0,20427.18999,124.0
32335.224239999996,20427.18999,124.0
55973.0,20427.18999,124.0
44925.42542,20427.18999,124.0
45290.0,20427.18999,124.0
41231.0,20427.18999,124.0
56247.55799,20427.18999,124.0
33070.0,20427.18999,124.0
56247.5621,20427.18999,124.0
37905.0,20427.18999,124.0
52230.498719999996,20427.18999,124.0
41245.0,20427.18999,124.0
56368.0,20427.18999,124.0
47086.0,20427.18999,124.0
49802.0,20427.18999,124.0
51864.351539999996,20427.18999,124.0
56461.0,20427.18999,124.0
49308.491239999996,20427.18999,124.0
35969.0,20427.18999,124.0
38236.0,20427.18999,124.0
39095.36174,20427.18999,124.0
56599.0,20427.18999,124.0
45290.18263,20427.18999,124.0
56613.46751,20427.18999,124.0
46883.0,20427.18999,124.0
44925.44528,20427.18999,124.0
33063.12023,20427.18999,124.0
56247.542689999995,20427.18999,124.0
51864.32323,20427.18999,124.0
33023.1952,20427.18999,124.0
46751.43716,20427.18999,124.0
44925.42885,20427.18999,124.0
51134.44925,20427.18999,124.0
33023.28989,20427.18999,124.0
41253.0,20427.18999,124.0
52230.52217,20427.18999,124.0
40884.0,20427.18999,124.0
44925.43464,20427.18999,124.0
56247.53959,20427.18999,124.0
37837.0,20427.18999,124.0
33025.0,20427.18999,124.0
56247.55457000001,20427.18999,124.0
44925.436069999996,20427.18999,124.0
52230.515080000005,20427.18999,124.0
33433.33149,20427.18999,124.0
56247.5579,20427.18999,124.0
50403.38654,20427.18999,124.0
30870.261169999998,20427.18999,123.833
46020.43584,20427.18999,121.833
51818.0,20427.18999,121.833
50038.4304,20427.18999,121.833
48942.48884,20427.18999,121.833
52803.0,20427.18999,121.833
41045.0,20427.18999,121.833
35927.0,20427.18999,121.833
32085.320389999997,20427.18999,121.833
40221.0,20427.18999,121.833
52395.0,20427.18999,121.833
41393.0,20427.18999,121.833
49308.44803,20427.18999,121.833
53559.0,20427.18999,121.833
48577.3141,20427.18999,121.833
49308.42613,20427.18999,121.833
34241.236789999995,20427.18999,121.833
52067.0,20427.18999,121.833
49308.39659,20427.18999,121.833
53691.51541,20427.18999,121.833
41551.0,20427.18999,121.833
31258.0,20427.18999,121.833
48577.321410000004,20427.18999,121.833
53340.0,20427.18999,121.833
36186.0,20427.18999,121.833
31259.301330000002,20427.18999,121.833
39795.0,20427.18999,121.833
44559.33769,20427.18999,121.833
51499.38715,20427.18999,121.833
54126.0,20427.18999,121.833
58074.57731,20427.18999,121.833
51465.0,20427.18999,121.833
54168.0,20427.18999,121.833
58074.55304,20427.18999,121.833
43622.38929,20427.18999,121.833
57647.0,20427.18999,121.833
55152.48819,20427.18999,121.833
47921.0,20427.18999,121.833
20676.191730000002,20427.18999,121.833
54268.0,20427.18999,121.833
54699.0,20427.18999,121.833
47116.445589999996,20427.18999,121.833
39095.3698,20427.18999,121.833
57607.0,20427.18999,121.833
50961.0,20427.18999,121.833
54531.0,20427.18999,121.833
44194.41467,20427.18999,121.833
54421.54229,20427.18999,121.833
55855.0,20427.18999,121.833
39095.29887,20427.18999,121.833
55882.42215,20427.18999,121.833
45290.37805,20427.18999,121.833
37566.36808,20427.18999,121.833
39095.3564,20427.18999,121.833
54421.53724,20427.18999,121.833
38593.0,20427.18999,121.833
46749.0,20427.18999,121.833
55882.54695,20427.18999,121.833
20676.168009999998,20427.18999,121.833
45655.43802,20427.18999,121.833
54786.35276,20427.18999,121.833
55152.54301,20427.18999,121.833
46980.0,20427.18999,121.833
37566.33146,20427.18999,121.833
46020.44375,20427.18999,121.833
59685.583470000005,20427.18999,121.833
51499.51074,20427.18999,121.833
55287.0,20427.18999,121.833
54042.0,20427.18999,121.833
46751.46211,20427.18999,121.833
46020.42575,20427.18999,121.833
46751.4529,20427.18999,121.833
46020.379239999995,20427.18999,121.833
56613.49884,20427.18999,121.833
56613.514070000005,20427.18999,121.833
20676.13665,20427.18999,121.833
54421.4458,20427.18999,121.833
43621.42906,20427.18999,121.833
58560.0,20427.18999,121.833
20676.14748,20427.18999,121.833
54056.531970000004,20427.18999,121.833
47602.0,20427.18999,121.833
47023.0,20427.18999,121.833
45943.0,20427.18999,121.833
43621.41467,20427.18999,121.833
48212.39993,20427.18999,121.833
37177.0,20427.18999,121.833
47450.0,20427.18999,121.833
21814.0,20427.18999,121.833
54786.53842999999,20427.18999,121.833
16283.0,12936.0,113.0
31983.22492,20972.2051,105.771
48212.317760000005,20972.2051,105.771
31983.215119999997,20972.2051,105.771
35973.0,20972.2051,105.771
43829.346489999996,13395.0,95.0
20242.191430000003,13395.0,95.0
44925.41272,20427.18999,93.333
52595.47847,20427.18999,93.333
47116.46933,20427.18999,93.333
55152.54756,20427.18999,93.333
32075.30102,20427.18999,93.333
32075.2366,20427.18999,93.333
49308.4885,20427.18999,93.333
32075.311660000003,20427.18999,93.333
32075.204530000003,20427.18999,93.333
55517.51746,20427.18999,93.333
50038.48023,20427.18999,93.333
32309.0,20427.18999,93.333
48827.0,20427.18999,93.333
32075.196010000003,20427.18999,93.333
