analysisWdid,analysisStructureName,locationWdid,locationStructure,sum_wtd_count
5102047,MIN LEVEL PAWNEE LAKE,5300584,SHOSHONE POWER PLANT,293.731
5102048,MIN LEVEL STONE LAKE,5300584,SHOSHONE POWER PLANT,293.731
5102068,MIN FLOW NORTH FORK COLORADO RIVER,5300584,SHOSHONE POWER PLANT,293.731
5102069,MIN FLOW COLORADO RIVER RANGER CK-GRANBY RESERVOIR,5300584,SHOSHONE POWER PLANT,293.731
5102070,MIN FLOW ARAPAHO CREEK,5300584,SHOSHONE POWER PLANT,293.731
5102089,MIN FLOW COLORADO RIVER GRANBY OUTLET-FRASER,5300584,SHOSHONE POWER PLANT,293.731
5102096,MIN FLOW FRASER RIVER VASQUEZ - ST LOUIS,5300584,SHOSHONE POWER PLANT,293.731
5102109,MIN FLOW FRASER RIVER ST LOUIS CK - RANCH CK,5300584,SHOSHONE POWER PLANT,293.731
5102111,MIN FLOW ST LOUIS CK - EAST ST LOUIS-WEST ST LOUIS,5300584,SHOSHONE POWER PLANT,293.731
5102112,MIN FLOW ST LOUIS CK - WEST ST LOUIS-KING CREEK,5300584,SHOSHONE POWER PLANT,293.731
5102113,MIN FLOW FRASER RIVER RANCH CK - CROOKED CK,5300584,SHOSHONE POWER PLANT,293.731
5103745,POLE CREEK MEADOWS RESERVOIR NO 1,5300584,SHOSHONE POWER PLANT,293.731
5103747,DIXON NORTHROP RESERVOIR,5300584,SHOSHONE POWER PLANT,293.731
5204019,WALTER RESERVOIR,5300584,SHOSHONE POWER PLANT,293.731
5203963,OLSEN RESERVOIR NO 4,5300584,SHOSHONE POWER PLANT,293.731
5203974,PINEY PEAK POND NO 4,5300584,SHOSHONE POWER PLANT,293.731
5203973,PINEY PEAK POND NO 3,5300584,SHOSHONE POWER PLANT,293.731
5203972,PINEY PEAK POND NO 2,5300584,SHOSHONE POWER PLANT,293.731
5203971,PINEY PEAK POND NO 1,5300584,SHOSHONE POWER PLANT,293.731
5203967,GORE CANYON RANCH LAKE 1,5300584,SHOSHONE POWER PLANT,293.731
5203964,OLSEN RESERVOIR NO 5,5300584,SHOSHONE POWER PLANT,293.731
5203962,OLSEN RESERVOIR NO 3,5300584,SHOSHONE POWER PLANT,293.731
5203978,HARTMAN RESERVOIR,5300584,SHOSHONE POWER PLANT,293.731
5203961,OLSEN RESERVOIR NO 2,5300584,SHOSHONE POWER PLANT,293.731
