analysisWdid,analysisStructure,priorityWdid,priorityStructure,sumWtdCount,analysisStreamMile,analysisNetAbs,analysisWaterDistrict,priorityStreamMile,priorityNetAbs,priorityWaterDistrict
3603586,MIN LAKE MOHAWK NO 2,3600881,GREEN MTN HYDRO-ELECTRIC,83.0,2.87,444.0,36,15.56,1726.0,36
3603588,MIN LAKE MOHAWK NO 6,5104655,MOFFAT WATER TUNNEL,3.0,2.87,288.0,36,25.36,928.0,51
3603586,MIN LAKE MOHAWK NO 2,5104655,MOFFAT WATER TUNNEL,3.0,2.87,444.0,36,25.36,928.0,51
3603589,MIN LAKE MOHAWK  NO 7,5300584,SHOSHONE POWER PLANT,133.0,2.87,15.0,36,147.54,1408.0,53
3603589,MIN LAKE MOHAWK  NO 7,3600881,GREEN MTN HYDRO-ELECTRIC,83.0,2.87,15.0,36,15.56,1726.0,36
3603589,MIN LAKE MOHAWK  NO 7,5104655,MOFFAT WATER TUNNEL,3.0,2.87,15.0,36,25.36,928.0,51
3603588,MIN LAKE MOHAWK NO 6,5300584,SHOSHONE POWER PLANT,133.0,2.87,288.0,36,147.54,1408.0,53
3603587,MIN LAKE MOHAWK NO 5,5104655,MOFFAT WATER TUNNEL,3.0,2.87,64.0,36,25.36,928.0,51
3603588,MIN LAKE MOHAWK NO 6,3600881,GREEN MTN HYDRO-ELECTRIC,83.0,2.87,288.0,36,15.56,1726.0,36
3603589,MIN LAKE MOHAWK  NO 7,3603543,GREEN MOUNTAIN RESERVOIR,24.0,2.87,15.0,36,15.77,209199.0,36
3603586,MIN LAKE MOHAWK NO 2,5300584,SHOSHONE POWER PLANT,133.0,2.87,444.0,36,147.54,1408.0,53
3603587,MIN LAKE MOHAWK NO 5,5300584,SHOSHONE POWER PLANT,133.0,2.87,64.0,36,147.54,1408.0,53
4503630,RICHARDSON POND NO 01,7200646,GRAND VALLEY PROJECT,5.667000000000002,2.89,0.1,45,61.8,2313.7,72
3804174,OWL CR RANCH S. POND NO1,7200646,GRAND VALLEY PROJECT,5.667000000000002,2.89,0.11,38,61.8,2313.7,72
3703747,WILSON POND NO 4,5104634,CBT ALVA B ADAMS TUNNEL,5.0,2.9,2.8,37,0.85,550.0,51
3703747,WILSON POND NO 4,5300584,SHOSHONE POWER PLANT,133.0,2.9,2.8,37,147.54,1408.0,53
3703747,WILSON POND NO 4,5104655,MOFFAT WATER TUNNEL,3.0,2.9,2.8,37,25.36,928.0,51
3703745,WILSON POND NO 2,5104655,MOFFAT WATER TUNNEL,3.0,2.9,0.6,37,25.36,928.0,51
3703745,WILSON POND NO 2,5300584,SHOSHONE POWER PLANT,133.0,2.9,0.6,37,147.54,1408.0,53
3703745,WILSON POND NO 2,5104634,CBT ALVA B ADAMS TUNNEL,5.0,2.9,0.6,37,0.85,550.0,51
4500584,EAST DIVIDE CREEK DITCH,4500790,TALLMADGE AND GIBSON D,22.0,2.91,25.24,45,1.21,56.05,45
4500584,EAST DIVIDE CREEK DITCH,4500810,WARD AND REYNOLDS DITCH,17.0,2.91,25.24,45,1.82,9.92,45
4500584,EAST DIVIDE CREEK DITCH,4500704,MULTA-TRINA DITCH,7.0,2.91,25.24,45,1.74,49.75,45
3703958,CORDILLERA GOLF COURSE POND NO. 4,5300584,SHOSHONE POWER PLANT,133.0,2.91,18.84,37,147.54,1408.0,53
3703958,CORDILLERA GOLF COURSE POND NO. 4,5104655,MOFFAT WATER TUNNEL,3.0,2.91,18.84,37,25.36,928.0,51
3703958,CORDILLERA GOLF COURSE POND NO. 4,5104634,CBT ALVA B ADAMS TUNNEL,5.0,2.91,18.84,37,0.85,550.0,51
4500584,EAST DIVIDE CREEK DITCH,4500693,MINEOTA DITCH,34.667,2.91,25.24,45,3.19,23.53,45
5303989,NOBLE RESERVOIR,5300584,SHOSHONE POWER PLANT,133.0,2.92,32.6,53,147.54,1408.0,53
5303989,NOBLE RESERVOIR,5300729,NELLIE BLY DITCH,95.791,2.92,32.6,53,1.81,5.4,53
4503608,HALL POND,4500693,MINEOTA DITCH,49.667,2.92,0.25,45,3.19,23.53,45
4503608,HALL POND,4500704,MULTA-TRINA DITCH,10.0,2.92,0.25,45,1.74,49.75,45
5303989,NOBLE RESERVOIR,5104634,CBT ALVA B ADAMS TUNNEL,5.0,2.92,32.6,53,0.85,550.0,51
4503608,HALL POND,4500725,PORTER DITCH,4.0,2.92,0.25,45,7.94,62.5,45
5303989,NOBLE RESERVOIR,5104655,MOFFAT WATER TUNNEL,3.0,2.92,32.6,53,25.36,928.0,51
4503608,HALL POND,4500810,WARD AND REYNOLDS DITCH,17.0,2.92,0.25,45,1.82,9.92,45
3703744,WILSON POND NO 1,5300584,SHOSHONE POWER PLANT,133.0,2.93,2.4,37,147.54,1408.0,53
3703744,WILSON POND NO 1,5104655,MOFFAT WATER TUNNEL,3.0,2.93,2.4,37,25.36,928.0,51
3703746,WILSON POND NO 3,5300584,SHOSHONE POWER PLANT,133.0,2.93,1.1,37,147.54,1408.0,53
3703744,WILSON POND NO 1,5104634,CBT ALVA B ADAMS TUNNEL,5.0,2.93,2.4,37,0.85,550.0,51
3703746,WILSON POND NO 3,5104634,CBT ALVA B ADAMS TUNNEL,5.0,2.93,1.1,37,0.85,550.0,51
3703746,WILSON POND NO 3,5104655,MOFFAT WATER TUNNEL,3.0,2.93,1.1,37,25.36,928.0,51
5003647,CONFLUENCE RESERVOIR,5000734,DEBERARD DITCH OVERFLOW SYSTEM,48.0,2.94,17.0,50,3.21,96.4,50
5003647,CONFLUENCE RESERVOIR,5104655,MOFFAT WATER TUNNEL,9.0,2.94,17.0,50,25.36,928.0,51
5003647,CONFLUENCE RESERVOIR,5300584,SHOSHONE POWER PLANT,399.0,2.94,17.0,50,147.54,1408.0,53
5003647,CONFLUENCE RESERVOIR,5104634,CBT ALVA B ADAMS TUNNEL,15.0,2.94,17.0,50,0.85,550.0,51
3804244,HARDY POND,7200646,GRAND VALLEY PROJECT,5.667000000000002,2.94,1.21,38,61.8,2313.7,72
5103725,MORAINE LAKE NO 2,5104634,CBT ALVA B ADAMS TUNNEL,5.0,2.96,5.0,51,0.85,550.0,51
5103725,MORAINE LAKE NO 2,5104655,MOFFAT WATER TUNNEL,3.0,2.96,5.0,51,25.36,928.0,51
5103725,MORAINE LAKE NO 2,5300584,SHOSHONE POWER PLANT,133.0,2.96,5.0,51,147.54,1408.0,53
3804088,BROOKE POND,7200646,GRAND VALLEY PROJECT,5.667000000000002,2.97,0.54,38,61.8,2313.7,72
3603548,HOAGLAND NO 1 RESERVOIR,5104655,MOFFAT WATER TUNNEL,6.0,2.97,921.5,36,25.36,928.0,51
3603548,HOAGLAND NO 1 RESERVOIR,5104634,CBT ALVA B ADAMS TUNNEL,10.0,2.97,921.5,36,0.85,550.0,51
3804051,EASTWICK RESERVOIR,7200646,GRAND VALLEY PROJECT,5.667000000000002,2.97,4.184,38,61.8,2313.7,72
3603548,HOAGLAND NO 1 RESERVOIR,5300584,SHOSHONE POWER PLANT,252.0,2.97,921.5,36,147.54,1408.0,53
4503632,RICHARDSON POND NO 03,7200646,GRAND VALLEY PROJECT,5.667000000000002,2.98,0.1,45,61.8,2313.7,72
5103726,MORAINE LAKE NO 3,5300584,SHOSHONE POWER PLANT,133.0,2.98,8.0,51,147.54,1408.0,53
3903543,COLONY SEDIMENT POND A,7200646,GRAND VALLEY PROJECT,5.667000000000002,2.98,0.6,39,61.8,2313.7,72
5103726,MORAINE LAKE NO 3,5104655,MOFFAT WATER TUNNEL,3.0,2.98,8.0,51,25.36,928.0,51
5103726,MORAINE LAKE NO 3,5104634,CBT ALVA B ADAMS TUNNEL,5.0,2.98,8.0,51,0.85,550.0,51
3803822,COLE POND,3800516,ATKINSON DITCH,41.667,2.98,2.0,38,2.77,17.2,38
4503631,RICHARDSON POND NO 02,7200646,GRAND VALLEY PROJECT,5.667000000000002,2.98,0.1,45,61.8,2313.7,72
3703851,LOST LAKE,3700655,H O R DITCH,4.0,3.0,15.0,37,7.01,18.19,37
5303963,E M CURRY RESERVOIR,5104634,CBT ALVA B ADAMS TUNNEL,5.0,3.0,26.0,53,0.85,550.0,51
3703858,METCALF RESERVOIR,5300584,SHOSHONE POWER PLANT,126.0,3.0,0.5,37,147.54,1408.0,53
3703851,LOST LAKE,5300584,SHOSHONE POWER PLANT,128.0,3.0,15.0,37,147.54,1408.0,53
3703858,METCALF RESERVOIR,5104655,MOFFAT WATER TUNNEL,3.0,3.0,0.5,37,25.36,928.0,51
3703825,CROSS GUL #2 RESERVOIR,5104634,CBT ALVA B ADAMS TUNNEL,5.0,3.0,0.5,37,0.85,550.0,51
3703851,LOST LAKE,3700595,ERICKSON NO 2 DITCH,21.0,3.0,15.0,37,12.68,2.416,37
3703604,WEBSTER FISH POND NO 1,5104655,MOFFAT WATER TUNNEL,3.0,3.0,3.5,37,25.36,928.0,51
3703825,CROSS GUL #2 RESERVOIR,5300584,SHOSHONE POWER PLANT,133.0,3.0,0.5,37,147.54,1408.0,53
3703825,CROSS GUL #2 RESERVOIR,5104655,MOFFAT WATER TUNNEL,3.0,3.0,0.5,37,25.36,928.0,51
3703851,LOST LAKE,5104634,CBT ALVA B ADAMS TUNNEL,3.0,3.0,15.0,37,0.85,550.0,51
5303963,E M CURRY RESERVOIR,5104655,MOFFAT WATER TUNNEL,3.0,3.0,26.0,53,25.36,928.0,51
3703604,WEBSTER FISH POND NO 1,5300584,SHOSHONE POWER PLANT,133.0,3.0,3.5,37,147.54,1408.0,53
5303963,E M CURRY RESERVOIR,5300584,SHOSHONE POWER PLANT,133.0,3.0,26.0,53,147.54,1408.0,53
